codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5894,135125,Desarquivamento do PLS 224/2016.,Não,2019,RQS
5894,155530,Retirada do RQN nº 140/2022.,Sim,2022,RQN
5894,155529,Destaque para votação em separado referente ao VET nº 46/2021.,Sim,2022,RQN
5894,155368,Retirada de tramitação do RQS 791/2022.,Sim,2022,RQS
5894,155366,"Destaque para votação em separado do Art. 121, caput e parágrafo único, acrescido ao Art. 2º da Emenda nº 55 - PLEN (Substitutiva), apresentada pelo Senador Alexandre Silveira em seu relatório da PEC nº 32/2022.",Sim,2022,RQS
5894,155525,Destaque para votação em separado referente ao VET nº 41/2022.,Sim,2022,RQN
5894,155365,"Destaque para votação em separado do Art. 121, caput e parágrafo único, acrescido ao Art. 2º da Emenda nº 53-CCJ (substitutivo) à PEC 32/2022.",Sim,2022,RQS
5894,155089,"Requeiro, com fundamento no art. 154, inciso IV e § 7° do Regimento Interno do Senado Federal, que o Excelentíssimo Senhor Alexandre de Moraes, ministro do Supremo Tribunal Federal (STF) e presidente do Tribunal Superior Eleitoral (TSE), seja respeitosamente convidado a comparecer a sessão do Plenário do Senado Federal, a fim de esclarecer aos senadores, questões atinentes às Eleições Gerais de 2022.",Não,2022,RQS
5894,154105,"Destaque para votação em separado da Emenda nº 41730001, apresentada ao PLN nº 5/2022.",Sim,2022,RQN
5894,162750,Requer a realização de Sessão Especial destinada a celebrar os 45 anos de regulamentação da Profissão de Biólogo.,Não,2024,RQS
5894,163364,Solicita que a Emenda 21-U ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
5894,162279,"Altera a Lei nº 14.597, de 14 de junho de 2023, que institui a Lei Geral do Esporte, para estabelecer medidas de proteção ao atleta profissional, deveres e responsabilidades das organizações esportivas, bem como definir o crime de violência física e moral contra o atleta profissional e dá outras providências.",Sim,2024,PL
5894,163592,"Requer o adiamento da discussão do Projeto de Lei nº 4129/2021, para oitiva da Comissão de Constituição, Justiça e Cidadania.",Sim,2024,RQS
5894,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
