codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6008,157431,"Requeremos calendário especial para a Proposta de Emenda à Constituição nº 162, de 2019, que ""altera a redação do inciso VIII-A do caput do art. 93 da Constituição Federal, para permitir a permuta entre juízes de direito vinculados a diferentes tribunais"".",Não,2023,RQS
6008,164598,Requer licença das atividades parlamentares no período de 18/06/24 a 20/06/24 a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,162911,Requer licença das atividades parlamentares no período de 02 a 03 de abril a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,164185,Requer licença das atividades parlamentares no período de 11/06/24 a 13/06/24 a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,164023,Requer licença das atividades parlamentares no período de 04 a 05 de junho a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,164691,"Requer a oitiva da Comissão de Constituição, Justiça e Cidadania sobre o Projeto de Lei nº 4717/2020.",Sim,2024,RQS
6008,163049,Requer licença das atividades parlamentares no período de 10 a 11 de abril a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,163904,Requer licença das atividades parlamentares no período de 21 a 23 de maio a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,163565,Requer licença das atividades parlamentares no período de 07 a 09 de maio a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,162910,Requer licença das atividades parlamentares no dia 26 de março a fim de participar de compromissos políticos no Estado de São Paulo.,Sim,2024,REQ
6008,163244,Requer licença das atividades parlamentares no período de 23 a 25 de abril a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,163154,Requer licença das atividades parlamentares no período de 16 a 18 de abril a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,163342,"Requer licença para desempenhar missão oficial, a fim de participar do II Benchmarking Internacional Resíduos Sólidos, em Zurique, Suíça.",Sim,2024,REQ
6008,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
6008,164024,Requer licença das atividades parlamentares no dia 29 de maio a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,163918,Requer realização de Sessão Solene em homenagem ao Dia do Policial Legislativo.,Sim,2024,REQ
6008,162650,"Dispõe sobre a doação de alimentos humanos ou animais, por indústrias, estabelecimentos comerciais e assemelhados, a pessoas jurídicas de direito público e de direito privado, sem fins lucrativos bem como, as doações financeiras feitas a entidades de proteção dos animais, sem fins lucrativos.",Sim,2024,PL
6008,162739,Requer licença das atividades parlamentares no período de 19 a 21 de março a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,162246,Requer licença das atividades parlamentares no período de 27 a 29 de fevereiro a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,161963,Requer licença das atividades parlamentares no período de 06 a 08 de fevereiro a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2024,REQ
6008,161988,"Requer informações ao Senhor Silvio Costa Filho, Ministro de Estado de Portos e Aeroportos, sobre fatos relacionados à Autoridade Portuária de Santos.",Sim,2024,RQS
6008,161269,Dispõe sobre o regime jurídico aplicável ao Banco Central.,Não,2023,PEC
6008,161354,Requer licença para desempenhar atividade de interesse parlamentar de 28 a 30/11/2023.,Sim,2023,REQ
6008,161307,Abre novo prazo de parcelamento especial de débitos dos municípios com seus Regimes Próprios de Previdência Social dos Servidores Públicos e com o Regime Geral de Previdência Social.,Não,2023,PEC
6008,161273,Requer a inclusão da Associação Brasileira de Resíduos e Meio Ambiente – ABREMA na audiência pública objeto do requerimento nº 02/23.,Sim,2023,REQ
6008,161034,"Requer autorização para antecipação do retorno da missão oficial na COP 28, para 12/12/2023.",Sim,2023,REQ
6008,160348,"Requer destaque, para votação em separado, da Emenda no 63 ao PL 412/2022, que “regulamenta o Mercado Brasileiro de Redução de Emissões (MBRE)",Sim,2023,REQ
6008,160315,"Requer licença para desempenhar missão oficial, a fim de participar da Inauguração da Casa da Cidadania da Língua, em Coimbra, Portugal, e do Fórum Internacional Esfera, em Paris, França.",Sim,2023,REQ
6008,160675,Requer licença das atividades parlamentares no período de 24 a 26 de outubro a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2023,REQ
6008,160338,"Requer apoiamento à PEC 45/2023, de autoria do Senador Rodrigo Pacheco",Sim,2023,RQS
6008,160656,"Requer, nos termos do art. 58, § 3º, da Constituição Federal e dos arts. 74, III, e 145 do Regimento Interno do Senado Federal, a constituição de uma Comissão Parlamentar de Inquérito para investigar o seguinte fato determinado: “Os efeitos da responsabilidade jurídica socioambiental da empresa Braskem S.A decorrente do maior acidente ambiental urbano já constatado no País, Caso Pinheiro/Braskem, em Maceió, Alagoas.",Não,2023,RQS
6008,160048,Requer licença das atividades parlamentares no período de 19 a 21 de setembro a fim de participar de compromissos políticos no estado de São Paulo.,Sim,2023,REQ
6008,159933,"Altera o art. 101 da Constituição Federal, para determinar a realização de arguição pública, pelo Senado Federal, dos Ministros do Supremo Tribunal Federal a cada oito anos.",Não,2023,PEC
6008,159964,Altera as condições de elegibilidade por militares da ativa das Forças Armadas.,Não,2023,PEC
6008,159924,Acrescenta o art. 124 ao Ato das Disposições Constitucionais Transitórias para aumentar temporariamente a parcela do produto da arrecadação dos impostos sobre renda e proventos de qualquer natureza e sobre produtos industrializados devida ao Fundo de Participação dos Municípios.,Não,2023,PEC
6008,159534,Requer licença para desempenhar atividade de interesse parlamentar no período de 29 a 31/08/2023.,Sim,2023,REQ
