codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5385,135358,"Autorização para desempenho de missão no exterior nos dias 21 e 22 do corrente. (Aditamento ao Requerimento nº 36, de 2019)",Sim,2019,RQS
5385,163801,Requer a oitiva da Comissão de Assuntos Econômicos sobre o Projeto de Lei nº 4717/2020.,Sim,2024,RQS
5385,162319,Requer licença para desempenhar missão política no estado de Tocantins.,Sim,2024,REQ
5385,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5385,162027,Requer licença para participar da 31ª PRODEXPO em Moscou (Rússia).,Sim,2024,REQ
5385,164231,"Requer licença para desempenhar missão oficial, a fim de participar do SBC Cassinos Beats Summit, em Valeta, Malta.",Sim,2024,REQ
5385,163628,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
5385,163627,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
5385,162440,"Requer que na audiência pública objeto do REQ 6/2024 - CI, com o objetivo de instruir o PL 2736/2021, que “altera a Lei nº 10.209, de 23 de março de 2001, que institui o Vale-Pedágio obrigatório sobre o transporte rodoviário de carga e dá outras providências, para dispor sobre sua forma de pagamento”, seja incluído como convidado um representante da Associação Nacional do Transporte de Cargas e Logística.",Sim,2024,REQ
5385,163095,Requer licença para desempenhar missão politica no estado de Tocantins.,Sim,2024,REQ
5385,162460,Requer a oitiva da Comissão de Assuntos Econômicos sobre o Projeto de Lei nº 2.796/2021.,Sim,2024,RQS
5385,162438,Licença para desempenhar missão política no estado de TO.,Sim,2024,REQ
5385,163350,"Requer inserção em ata de Monção de apoio à Senadora Mara Gabrilli, pela candidatura ao Comitê sobre os Direitos das Pessoas com Deficiência da ONU (CRPD), nos termos do art. 222 do Regimento Interno do Senado Federal.",Não,2024,RQS
5385,162829,Requer licença para desempenhar missão política no estado de Tocantins,Sim,2024,REQ
5385,162828,Requer licença para desempenhar missão política no estado de Tocantins.,Sim,2024,REQ
5385,164230,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
5385,163248,Requer licença para missão política no Estado de Tocantins.,Sim,2024,REQ
5385,162721,Missão Política no Estado de Tocantins,Sim,2024,REQ
5385,162172,Requer licença para desempenhar missão política em Palmas.,Sim,2024,REQ
