codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6015,164078,"Requer realização de Sessão de Debates Temáticos destinada a discutir a participação do Brasil como país sede da 30ª Conferência das Partes (COP 30) da Convenção-Quadro das Nações Unidas sobre a Mudança do Clima, a ser realizada na cidade de Belém, no Pará, em 2025.",Não,2024,RQS
6015,163161,"Susta os efeitos do Decreto 11.995/2024, que “Institui o Programa Terra da Gente e dispõe sobre a incorporação de imóveis rurais no âmbito da Política Nacional de Reforma Agrária.”",Sim,2024,PDL
6015,163866,"Sugere ao Poder Executivo a edição de portaria para permitir a atualização do Cadastro Único para Programas Sociais do Governo Federal em formato digital ou telefônico, exclusivo para moradores do estado do Rio Grande do Sul.",Sim,2024,INS
6015,163660,"Dispõe sobre a desvinculação do objeto e dos compromissos previamente estabelecidos em atos normativos, e sobre transposição, transferência e remanejamento de recursos financeiros, incluindo as emendas parlamentares, depositados nas contas dos respectivos fundos municipais do Rio Grande do Sul, para utilização em ações emergenciais de resposta a desastres.",Sim,2024,PLP
6015,164163,Sugere à Casa Civil da Presidência da República que adote as medidas necessárias para criação de um programa de recuperação de estradas municipais no Rio Grande do Sul.,Sim,2024,INS
6015,164635,"Requer urgência para o Projeto de Lei nº 715/2023, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
6015,164679,Requer a realização de Sessão Especial destinada a celebrar o Dia Nacional do Hematologista e do Hemoterapeuta.,Não,2024,RQS
6015,164557,"Institui o Programa de Microcrédito Emergencial RECOMEÇAR para empreendedores formais e informais de pequeno porte do Rio Grande do Sul, destinado ao apoio financeiro e técnico dos empreendedores impactados pelos desastres naturais no Estado, em 2024.",Sim,2024,PL
6015,164317,"Sugere ao Poder Executivo que apresente proposição com o objetivo de estender aos servidores especificados a indenização pelo exercício em unidades situadas em localidades estratégicas, vinculadas à prevenção, controle, fiscalização e repressão dos delitos transfronteiriços.",Sim,2024,INS
6015,163491,"Dispõe sobre a concessão de auxílio emergencial financeiro às santas casas e hospitais filantrópicos sem fins lucrativos, que atuam de forma complementar no Sistema Único de Saúde - SUS, afetados pelo estado de calamidade pública no Rio Grande do Sul, e dá outras providências.",Sim,2024,PL
6015,163298,Sugere ao Poder Executivo Federal ações urgentes e imediatas para mitigar os impactos da maior tragédia climática que atinge o Rio Grande do Sul.,Sim,2024,INS
6015,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
6015,163836,"Sugere ao Poder Executivo Federal, por intermédio do Ministério da Fazenda, a adoção de medidas para compensar as perdas de arrecadação do Imposto sobre Circulação de Mercadorias e Prestação de Serviços – ICMS – do Estado e Municípios do Rio Grande do Sul.",Sim,2024,INS
6015,164464,"Acrescenta o art. 40-A ao Ato das Disposições Constitucionais Transitórias da Constituição Federal, para criar a Zona Franca do Rio Grande do Sul.",Sim,2024,PEC
6015,163663,Dá nova redação ao § 4º do art. 225 da Constituição Federal para incluir entre os patrimônios nacionais o Pantanal Sul-Mato-Grossense.,Não,2024,PEC
6015,163302,"Dispõe sobre o remanejamento de recursos do Fundo Eleitoral para as obras de reconstrução e recuperação do estado do Rio Grande do Sul, afetado pela maior catástrofe climática já registrada.",Sim,2024,PL
6015,164051,"Requerem, nos termos dos arts. 50, caput, e 58, § 2º, III, da Constituição Federal e dos arts. 90, III, 397, § 1º e 400-A do Regimento Interno do Senado Federal, a convocação do Senhor Ricardo Lewandowski, Ministro da Justiça e Segurança Pública, para que compareça a esta Comissão, a fim de prestar informações sobre o desvirtuamento das funções da Diretoria de Inteligência Policial (DIP), setor da Polícia Federal responsável por realizar, precipuamente, ações de contrainteligência e investigações sobre terrorismo.",Não,2024,REQ
6015,163699,"Sugere ao Senhor Luiz Marinho, Ministro de Estado do Trabalho e Emprego, que edite, com urgência, atos administrativos para permitir a adoção de medidas trabalhistas alternativas e para instituir o Programa Emergencial de Manutenção do Emprego e da Renda, visando o enfrentamento do estado de calamidade pública no Rio Grande do Sul.",Sim,2024,INS
6015,163327,"Dispõe sobre a suspensão temporária do pagamento das dívidas do Estado do Rio Grande do Sul com a União nos anos de 2024, 2025 e 2026, em razão da catástrofe climática.",Sim,2024,PLP
6015,164104,Requer realização de Sessão de Debates Temáticos destinada a discutir as Políticas Públicas para prevenção e tratamento do câncer de pulmão.,Não,2024,RQS
6015,164352,"Sugere ao Poder Executivo, por meio do Ministério da Fazenda, que edite decreto estabelecendo isenção total para alíquota do Adicional ao Frete para a Renovação da Marinha Mercante – AFRMM – para as importações de fertilizantes, tendo como destino o estado do Rio Grande do Sul.",Sim,2024,INS
