codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6010,154649,Voto de aplauso pela passagem do aniversário de Blumenau.,Sim,2022,RQS
6010,162889,"Requer informações à Senhora Nísia Verônica Trindade Lima, Ministra de Estado da Saúde, sobre o atendimento ao usuário com câncer de mama, especialmente quanto à existência de descontinuidades no acesso a medicamentos quimioterápicos.",Sim,2024,RQS
6010,162940,"Requer voto de repúdio ao Sr. Ciro Ferreira Gomes, por suas declarações preconceituosas, misóginas e agressivas contra a Senadora Janaína Farias.",Não,2024,RQS
6010,164389,"Altera os arts. 213 e 217-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar imprescritível o crime de estupro.",Não,2024,PL
6010,164283,"Requer a realização de Sessão Especial destinada a celebrar o Dia Internacional da Mulher Negra Latino-Americana e Caribenha e o Dia Nacional de Tereza de Benguela e da Mulher Negra, celebrados em 25 de julho, com a celebração do Acordo de Cooperação Técnica entre o Ministério da Igualdade Racial e o Senado Federal.",Não,2024,RQS
6010,162259,"Requer realização de Sessão Especial a fim de conscientizar a população quanto ao ""Dia Internacional da Síndrome de Down"".",Não,2024,RQS
6010,162818,Altera o art. 6º da Constituição Federal para determinar que a cultura é um direito social.,Não,2024,PEC
6010,164234,Requer licenças médica do dia 11 ao 17 de junho,Sim,2024,REQ
6010,163212,"Concede ao município de Joinville, no estado de Santa Catarina, o título de Capital Nacional da Cultura e da Arte.",Sim,2024,PL
6010,164464,"Acrescenta o art. 40-A ao Ato das Disposições Constitucionais Transitórias da Constituição Federal, para criar a Zona Franca do Rio Grande do Sul.",Não,2024,PEC
6010,164256,Requer realização de Sessão de Debates Temáticos destinada a discutir a exploração de jogos e apostas em todo território nacional.,Não,2024,RQS
6010,163812,Requer Licenças de atestado médico do dia 14 à 20 de maio.,Sim,2024,REQ
6010,162776,"Revoga a competência concorrente para legislar sobre direito penitenciário, atribuindo-a aos Estados.",Não,2024,PEC
6010,162881,Requer Licenças dia 26 de março,Sim,2024,REQ
6010,162888,Requer a realização de Sessão Especial destinada a celebrar os 200 anos da igreja luterana no Brasil.,Sim,2024,RQS
6010,162506,Requer Licenças político partidária de 05 a 07 de março,Sim,2024,REQ
