codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
4770,135118,"Modifica o art. 37 da Constituição Federal, para suspender o transcurso do prazo de validade de concurso público na hipótese de o Poder Público suspender as nomeações por falta de recursos financeiros.",Não,2019,PEC
4770,161217,"Requer a realização de Sessão de Debates Temáticos destinada a discutir a obrigatoriedade de vacinação contra Covid-19 em crianças, em virtude de inclusão da vacina no Programa Nacional de Imunização (PNI).",Não,2023,RQS
4770,161174,"Requer calendário especial para a Proposta de Emenda à Constituição nº 8, de 2021.",Não,2023,RQS
4770,159057,"Requer, nos termos do inciso IV e § 7º do art. 154 do Regimento Interno do Senado Federal, que na sessão de Sessão de Debates Temáticos, objeto do RQS 690 de 2023, com o objetivo de debater a “descriminalização do porte de drogas para consumo pessoal”, sejam incluídos os convidados que especifica.",Não,2023,RQS
4770,157243,"Requeiro, em nome da Liderança do PSDB, nos termos do art. 312, II, e parágrafo único, do Regimento Interno do Senado Federal, destaque, para votação em separado, dos artigos 11 e 12 do PLV 9/2023 da MPV 1147/2022, que “altera a Lei nº 14.148, de 3 de maio de 2021, que instituiu o Programa Emergencial de Retomada do Setor de Eventos - Perse, e reduz a zero por cento as alíquotas da contribuição para o Programa de Integração Social e o Programa de Formação do Patrimônio do Servidor Público - PIS/Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins incidentes sobre as receitas decorrentes da atividade de transporte aéreo regular de passageiros”.",Sim,2023,RQS
4770,157431,"Requeremos calendário especial para a Proposta de Emenda à Constituição nº 162, de 2019, que ""altera a redação do inciso VIII-A do caput do art. 93 da Constituição Federal, para permitir a permuta entre juízes de direito vinculados a diferentes tribunais"".",Não,2023,RQS
4770,157197,"Requeiro, em nome da Liderança do PSDB, nos termos do art. 312, II, e parágrafo único, do Regimento Interno do Senado Federal, destaque, para votação em separado, da Emenda nº 20 ao PLV 6/2023.",Sim,2023,RQS
4770,157126,Destaque para votação em separado do Veto nº 2/2023.,Sim,2023,RQN
4770,157123,Destaque para votação em separado do Veto nº 46/2021.,Sim,2023,RQN
4770,157113,Sessão de Debates Temáticos a fim de apresentar balanço detalhado do monitoramento do Plano Nacional de Educação (PNE) em seu 9º (nono) ano de vigência.,Não,2023,RQS
4770,157096,"Requer destaque para votação em separado do parágrafo 15, do artigo 98 do PL 1.825 de 2022, com a supressão da referência às alíneas a, b, c, g, i, j, k, l, m, n e p.",Sim,2023,RQS
4770,155293,Retirada de tramitação do RQS nº 771/2022.,Sim,2022,RQS
4770,155288,"Destaque para votação em separado da Emenda nº 7-PLEN, apresentada  à PEC nº 63/2013.",Sim,2022,RQS
4770,154305,"Realização de sessão de debates temáticos, em data a ser definida, a fim de debater o PL nº 1293/2021.",Não,2022,RQS
4770,155296,"Destaque para votação em separado do § 10 do artigo 39 da Constituição Federal na forma da Emenda nº 7-PLEN, apresentada à PEC nº 63/2013.",Sim,2022,RQS
4770,155282,"Realização de Sessão Temática para debater o PL 5983, de 2019, que regulamenta o exercício profissional de acupuntura.",Não,2022,RQS
4770,154275,Destaque para votação em separado da Emenda nº 64 à MPV 1108/2022.,Sim,2022,RQS
4770,154265,"Destaque para votação em separado, da Emenda nº 12 à MPV 1113/2022.",Sim,2022,RQS
4770,154158,Destaque para votação em separado referente ao VET nº 71/2021.,Sim,2022,RQN
4770,154267,Destaque para votação em separado da Emenda nº 59 à MPV 1112/2022.,Sim,2022,RQS
4770,154148,Destaque para votação em separado referente ao VET nº 67/2021.,Sim,2022,RQN
4770,154104,"Destaque para votação em separado da Emenda nº 60080005, apresentada ao PLNº 5, de 2022.",Sim,2022,RQN
4770,154157,Destaque para votação em separado referente ao VET nº 22/2022.,Sim,2022,RQN
4770,154147,Destaque para votação em separado referente ao VET nº 46/2021.,Sim,2022,RQN
4770,153852,"Destaque para votação em separado da Emenda nº 2-PLEN, apresentada ao PLS nº 5/2015.",Sim,2022,RQS
4770,153297,Destaque para votação em separado da Emenda nº 347 apresentada à MPV nº 1085/2021.,Sim,2022,RQS
4770,153238,"Destaque para votação em separado da Emenda nº 257, apresentada à MPV nº 1085/2021.",Sim,2022,RQS
4770,153070,"Realização de Sessões de Debates Temáticos, no período de 20/06/2022 a 24/06/2022, a fim de realizar balanço e avaliação do cumprimento das metas do Plano Nacional de Educação.",Não,2022,RQS
4770,152923,"Destaque para votação em separado da Emenda nº 52, apresentada à MPV nº 1076/2021.",Sim,2022,RQS
4770,152979,Destaque para votação em separado da Emenda nº 7 - PLEN ao PL 5284/2020.,Sim,2022,RQS
4770,152991,Destaque para votação sem separado referente ao VET nº 9/2022.,Sim,2022,RQN
4770,152848,"Destaque, para votação em separado, da Emenda nº 92 à MPV 1077/2021.",Sim,2022,RQS
4770,152706,"Realização de Sessões de Debates Temáticos, com a finalidade de debater o PL nº 700/2022.",Sim,2022,RQS
4770,152993,Destaque para votação sem separado referente ao VET nº 67/2021.,Sim,2022,RQN
4770,152990,Destaque para votação em separado referente ao VET nº 71/2021.,Sim,2022,RQN
4770,152849,Destaque para votação em separado da Emenda nº 4 - PLEN ao PL nº 4059/2021.,Sim,2022,RQS
4770,152992,Destaque para votação sem separado referente ao VET nº 25/2021.,Sim,2022,RQN
4770,152487,Destaque para votação em separado referente ao VET nº 73/2021.,Sim,2022,RQN
4770,152448,Destaque para votação em separado referente ao VET nº 67/2021,Sim,2022,RQN
4770,152488,Destaque para votação em separado referente ao VET nº 71/2021.,Sim,2022,RQN
4770,152479,Destaque para votação em separado referente ao VET nº 09/2022.,Sim,2022,RQN
4770,152645,"Requer, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal, urgência para o PLS nº 68/2017.",Não,2022,RQS
4770,152067,"Destaque para votação em  separado da Emenda nº 19-PLEN, apresentada ao PLP nº 11/2020.",Sim,2022,RQS
4770,152223,Sessão de Debates Temáticos destinada a discutir o PAPEL DO BRASIL NA MEDIAÇÃO DE CONFLITOS E CONSTRUÇÃO DE UMA CULTURA DE PAZ.,Não,2022,RQS
4770,152204,Destaque para votação em separado da Emenda nº 6 ao PL 4438/2021.,Sim,2022,RQS
4770,151625,Destaque para votação em separado do Veto nº 2/2022.,Sim,2022,RQN
