codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6340,155883,Requer o desarquivamento do PLS nº 166/2018.,Não,2023,RQS
6340,162966,Requer a realização de Sessão Especial destinada a celebrar os 25 anos de fundação da Associação Brasileira de Magistrados Espíritas (ABRAME).,Não,2024,RQS
6340,162493,"Requeiro, nos termos dos arts. 50, caput, e 58, § 2º, III, da Constituição Federal e dos arts. 90, III, 397, § 1º e 400-A do Regimento Interno do Senado Federal, o CONVITE à Exma. Sra. Esther Dweck, Ministra de Estado da Gestão e da Inovação em Serviços Públicos, para que compareça a esta Comissão, a fim de prestar informações sobre a Operação Reestruturação que envolve a carreira dos Auditores Fiscais Federais Agropecuários e dos Técnicos de Fiscalização Federal Agropecuária.",Sim,2024,REQ
6340,163364,Solicita que a Emenda 21-U ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
6340,164390,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
6340,162401,"Requeiro, nos termos regimentais do Senado Federal, a realização de Ciclo de Palestras e Debates, no âmbito da Comissão de Agricultura e Reforma Agrária – CRA - do Senado Federal, no dia 8 de março do corrente ano, sexta-feira, a partir das 14 horas, durante a Expodireto Cotrijal 2024, para discutir projetos e oportunidades do modal ferroviário para o estado do Rio Grande do Sul. Como convidados para esse importante debate indico os seguintes nomes, ou seus representantes, além de outros que poderão ser incluídos posteriormente:
1. Nei César Manica, presidente da Cotrijal;
2. Leonardo Cezar Ribeiro, secretário Nacional de Transporte Ferroviários do Ministério dos Transportes;
3. Ismael Trinks, superintendente de Transporte Ferroviário da Agência Nacional de Transportes Terrestres - ANTT;
4. Paulo Cezar Vieira Pires, presidente da Fecoagro/RS;
5. Gedeão Pereira, presidente do Sistema Farsul;
6. Luiz Carlos Bohn, presidente da Fecomércio/RS;
7. Rodrigo de Sousa Costa, presidente da Federasul;
8. Gilberto Porcello Petry, presidente da Fiergs;
9. Roges Pagnussat, presidente da Acergs;
10. Carlos Joel da Silca, presidente da Fetag/RS; e 
11. Representante da empresa Rumo Logística.",Não,2024,REQ
6340,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
6340,162262,"Requer, nos termos do art. 58, § 2°, II e V, da Constituição Federal, que seja convidado o Exmo. Sr. Volodymyr Zelensky, Presidente da Ucrânia, a comparecer a esta Comissão, a fim de debater a dificuldade que a Ucrânia tem enfrentado em estabelecer relações diplomáticas com o nosso país, demonstrada pela demora do governo brasileiro em convidar o Chanceler ucraniano DmytroKuleba para visitar o Brasil.",Não,2024,REQ
6340,162162,"Requer, nos termos 58, §2º, II, da Constituição Federal e 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública para debater o alcoolismo na adolescência no Brasil.",Não,2024,REQ
6340,162161,"Requer  nos termos art. 58, §2º, II, da Constituição Federal e 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública para debater sobre o uso de cigarros eletrônicos.",Não,2024,REQ
6340,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
6340,162877,Requer licença para desempenhar missão política ou cultural de interesse parlamentar,Sim,2024,REQ
6340,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
6340,162154,Requer a realização de Sessão Especial destinada a celebrar o aniversário de 34 anos da Companhia Nacional de Abastecimento - CONAB.,Não,2024,RQS
