codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
581,135152,Dispõe sobre a política de valorização do salário mínimo para o período de 2020 a 2023.,Não,2019,PL
581,163985,"Requer, pelas Lideranças do PT, PSD, MDB e do Governo, destaque para votação em separado do art. 50 e o inciso II e do art. 51 do PL 914/2024.",Não,2024,RQS
581,163890,"Requer urgência para o Projeto de Lei nº 914/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Sim,2024,RQS
581,162100,Requer a realização de Sessão de Debates Temáticos sobre a PEC 42/2023.,Sim,2024,RQS
581,161084,"Requer urgência para o Projeto de Lei nº 2757/2022, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2023,RQS
581,161083,"Requer urgência para o Projeto de Lei nº 2012/2022, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2023,RQS
581,160887,"Requer calendário especial para a Proposta de Emenda à Constituição nº 45, de 2019.",Não,2023,RQS
581,158630,Requer extinção de Urgência do PDL 173/2023,Sim,2023,RQS
581,157431,"Requeremos calendário especial para a Proposta de Emenda à Constituição nº 162, de 2019, que ""altera a redação do inciso VIII-A do caput do art. 93 da Constituição Federal, para permitir a permuta entre juízes de direito vinculados a diferentes tribunais"".",Não,2023,RQS
581,163971,"Requer licença para desempenhar missão oficial, a fim de participar do XII Fórum Jurídico de Lisboa, em Lisboa, Portugal.",Sim,2024,REQ
581,163207,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de celebrar o dia nacional da caatinga e debater sobre as ações contra a desertificação.",Não,2024,REQ
581,163963,"Requer, pelas Lideranças do PT, PSD, MDB e do Governo, destaque para votação em separado da Emenda nº 3 ao Projeto de Lei nº 914/2024.",Não,2024,RQS
581,163960,Requer a tramitação conjunta do Projeto de Lei nº 2.830/2019 com o Projeto de Lei nº 2.099/2023.,Sim,2024,RQS
581,164619,Requer a retirada da emenda nº 1 ao PL 6064/2023,Sim,2024,REQ
581,164254,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.483/2022.,Sim,2024,R.S
581,164253,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.488/2022.,Sim,2024,R.S
581,164255,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.481/2022.,Sim,2024,R.S
581,163626,"Requer, nos termos dos arts. 336, II, e 338, IV, do Regimento Interno do Senado Federal, urgência para o PL 4129/2021.",Sim,2024,REQ
581,164153,Requer o adiamento da discussão do PL 2838/2020 por 30 dias,Sim,2024,REQ
581,164152,Requer o adiamento da discussão do PL 3670/2023 por 30 dias,Sim,2024,REQ
581,162341,Requer licença de 01/02 a 12/02/2024,Sim,2024,REQ
581,164104,Requer realização de Sessão de Debates Temáticos destinada a discutir as Políticas Públicas para prevenção e tratamento do câncer de pulmão.,Não,2024,RQS
581,163573,"Requer, nos termos dos arts. 336, II, e 338, IV, do Regimento Interno do Senado Federal, urgência para o MSF 3/2024.",Sim,2024,REQ
581,163016,"Requer a oitiva da Comissão de Constituição, Justiça e Cidadania sobre o Projeto de Lei Complementar nº 252/2023.",Sim,2024,RQS
581,164124,"Recorre da decisão terminativa da Comissão de Constituição, Justiça e Cidadania sobre o Projeto de Lei nº 2.830/2019.",Sim,2024,R.S
