codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
4531,117461,Estabelece alíquotas máximas do Imposto sobre Operações Relativas à Circulação de Mercadorias incidentes sobre a prestação de serviço de comunicação referente ao acesso à internet por conectividade em banda larga.,Não,2014,PRS
4531,162073,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiências públicas, com o objetivo de instruir o PL 2088/2023, que “acrescenta o art. 12-A à Lei nº 12.187, de 29 de dezembro de 2009, que institui a Política Nacional sobre Mudança do Clima, para tornar obrigatório o cumprimento de padrões ambientais compatíveis aos do Brasil, para a disponibilização de bens no mercado brasileiro”.",Não,2024,REQ
4531,163393,Requer a retirada definitiva do Projeto de Lei nº 2848/2023.,Sim,2024,RQS
4531,162212,Concede prioridade aos profissionais de segurança pública para recebimento da restituição do Imposto sobre a Renda da Pessoa Física.,Sim,2024,PL
4531,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
4531,163953,"Altera a Lei nº 8.036, de 11 de maio de 1990, que dispõe sobre o Fundo de Garantia do Tempo de Serviço – FGTS, para estabelecer que a regulamentação da situação prevista no inciso XVI do caput do art. 20 (saque calamidade) não poderá estabelecer intervalo mínimo entre uma movimentação e outra.",Sim,2024,PL
4531,163279,Requer licença parlamentar no dia 30/04/2024.,Sim,2024,REQ
4531,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
4531,163355,"Requer a realização de Sessão Especial destinada a celebrar os 30 anos da Consultoria de Orçamentos, Fiscalização e Controle do Senado Federal.",Não,2024,RQS
4531,164228,"Altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde, para vedar a rescisão unilateral do contrato ou do vínculo dos planos de saúde de beneficiário que estiver internado ou em tratamento garantidor de sua sobrevivência ou de sua incolumidade física.",Sim,2024,PL
4531,162600,Requer licença parlamentar para o dia 12/3/2024,Sim,2024,REQ
4531,164635,"Requer urgência para o Projeto de Lei nº 715/2023, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
4531,163884,Requer a realização de Sessão Especial destinada a homenagear e congratular a Igreja Fonte da Vida pelos 30 anos de existência.,Não,2024,RQS
