codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5895,135118,"Modifica o art. 37 da Constituição Federal, para suspender o transcurso do prazo de validade de concurso público na hipótese de o Poder Público suspender as nomeações por falta de recursos financeiros.",Não,2019,PEC
5895,162595,"Requer realização de Sessão de Debates Temáticos destinada a discutir o Projeto de Lei nº 5.008, de 2023, que ""dispõe sobre a produção, importação, exportação, comercialização, controle, fiscalização e propaganda dos cigarros eletrônicos e dá outras providências"".",Não,2024,RQS
5895,164237,"Requer, pela Liderança do PSB, destaque para votação em separado da Emenda nº 24 ao Projeto de Lei nº 2308/2023.",Sim,2024,RQS
5895,162962,"Requer realização de Sessão de Debates Temáticos destinada a discutir a Proposta de Emenda à Constituição nº 45, de 2023.",Não,2024,RQS
5895,163265,"Requer urgência para a MSF nº 4/2024, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
5895,164393,"Requer urgência para o Projeto de Lei nº 292/2020, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Sim,2024,RQS
5895,162110,"Requer, pela Liderança do PSB, destaque para votação em separado da Emenda nº 9 ao Projeto de Lei nº 2253/202.",Sim,2024,RQS
5895,163870,"Requer realização de Sessão de Debates Temáticos destinada a discutir a Proposta de Emenda à Constituição n° 3, de 2022, que revoga o inciso VII do caput do art. 20 da Constituição Federal e o § 3º do art. 49 do Ato das Disposições Constitucionais Transitórias; e dá outras providências.",Sim,2024,RQS
5895,163416,Requer realização de Sessão de Debates Temáticos destinada a discutir a Proposta de Emenda à Constituição n.º 12/2022.,Sim,2024,RQS
5895,163198,Requer realização de Sessão de Debates Temáticos destinada a discutir a liberdade de expressão.,Não,2024,RQS
5895,163426,Requer realização de Sessão de Debates Temáticos destinada a discutir a Tragédia no Estado do Rio Grande do Sul.,Sim,2024,RQS
5895,163356,Requer a realização de Sessão de Debates Temáticos destinada a discutir as oportunidades para o Brasil na presidência do G20.,Sim,2024,RQS
5895,161198,Requer destaque ao PL 3626/2023,Sim,2023,REQ
5895,161084,"Requer urgência para o Projeto de Lei nº 2757/2022, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2023,RQS
5895,161083,"Requer urgência para o Projeto de Lei nº 2012/2022, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2023,RQS
5895,160746,"Requer, pela Liderança do PSB, destaque para votação em separado da Emenda nº 28 do Projeto de Lei nº 3045, de 2022.",Sim,2023,RQS
5895,160947,"Requer, pela Liderança do PSB, destaque para votação em separado dos parágrafos 3º e 4º do art. 19 da PEC nº 45/2019.",Sim,2023,RQS
5895,159989,"Requer, nos termos do inciso IV e § 7º do art. 154 do Regimento Interno do Senado Federal, a realização de Sessão de Debates Temáticos, a ser realizada em data oportuna, a fim de debater os fenômenos climáticos como o 'ELNiño' e os desastres naturais cada vez mais frequentes no País e analisar propostas que tenham capacidade de aprimorar ferramentas de prevenção e reação por parte da sociedade e dos órgãos de Estado e de Defesa Civil, a fim de diminuir os efeitos nefastos e traumáticos causados pelos desastres naturais, como os que aconteceram e ainda assolam nossos irmãos gaúchos.",Sim,2023,RQS
5895,159463,"Requer a realização de Sessão de Debates Temáticos para instruir o PL nº 2796, de 2021, que ""cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",Não,2023,RQS
