codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6342,155883,Requer o desarquivamento do PLS nº 166/2018.,Não,2023,RQS
6342,157883,Requer destaque para votação em separado do inciso XIII do art. 36 do PLV oriundo da MP 1154.,Sim,2023,RQS
6342,158105,"Requer a supressão do art. 4º-A do Decreto Lei 3.365/41, incluído pelo art. 21 do PLV oriundo da MPV 1162/2023.",Sim,2023,RQS
6342,157884,Requer votação em separado da Emenda nº 60 à MPV 1154/2023.,Sim,2023,RQS
6342,158108,"Requer retirada de destaque para votação em separado do art. 4º-A do Decreto Lei 3.365/41, incluído pelo art. 21 do PLV oriundo da MPV 1162/2023.",Sim,2023,RQS
6342,157431,"Requeremos calendário especial para a Proposta de Emenda à Constituição nº 162, de 2019, que ""altera a redação do inciso VIII-A do caput do art. 93 da Constituição Federal, para permitir a permuta entre juízes de direito vinculados a diferentes tribunais"".",Não,2023,RQS
6342,157439,Requer destaque para votação em separado da Emenda 27 à MPV 1150/2022.,Sim,2023,RQS
6342,157584,"Votação em separado da Emenda nº 3-PLEN, apresentada ao PLC nº 130/2018.",Sim,2023,RQS
6342,157335,Requer a votação em separado da emenda n°108 à MPV 1152/2022 que altera a legislação do Imposto sobre a Renda das Pessoa Jurídicas - IRPJ e da Contribuição Social sobre o Lucro Líquido - CSLL para dispor sobre as regras de preços de transferência.,Sim,2023,RQS
6342,163099,"Requer à Senhora Marina Silva, Ministra de Estado do Meio Ambiente e Mudança do Clima, informações sobre o contexto apresentado e os elementos factuais e legais decorrentes do Inquérito Policial nº 2023.0082432-DPF/ SSP/SP e ao auto de infração nº 1HQIMX3R, Ação 11U2704, imputado pelo Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis — Ibama —, ao Presidente Jair Bolsonaro.",Sim,2024,RQS
6342,162426,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
6342,163364,Solicita que a Emenda 21-U ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
6342,162359,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater a MPV n.º 1.202 de 2023 (Revoga os benefícios fiscais de que tratam o art. 4º da Lei nº 14.148, de 3 de maio de 2021, e os art. 7º a art. 10 da Lei nº 12.546, de 14 de dezembro de 2011, desonera parcialmente a contribuição previdenciária sobre a folha de pagamento, revoga a alíquota reduzida da contribuição previdenciária aplicável a determinados Municípios e limita a compensação de créditos decorrentes de decisões judiciais transitadas em julgado), em especial sobre o tema afeto à extinção do PERSE - Programa Especial de Retomada do Setor de Eventos. O PERSE vem se mostrando totalmente exitoso para a sobrevivência do segmento de eventos e do turismo nacional frente aos irreparáveis danos causados pelo surto pandêmico da COVID-19.",Não,2024,REQ
6342,162462,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 3/2024 - CDR, seja incluída a entidade FBHA - Federação Brasileira de Hotelaria e Alimentação na pessoa de seu Presidente o Senhor Alexandre Sampaio e seja incluído o nome do Senhor José Roberto Tadros como Presidente da CNC Confederação Nacional do Comércio, Bens, Serviços e Turismo.",Não,2024,REQ
6342,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
6342,162915,"Requer voto de aplauso ao Conselho Federal de Medicina, pela aprovação da Resolução CFM nº 2.378, de 2024.",Sim,2024,RQS
6342,164373,"Requer, nos termos do art. 58, §2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que, na Audiência Pública objeto do REQ 21/2024, seja incluído convidado.",Sim,2024,REQ
6342,162262,"Requer, nos termos do art. 58, § 2°, II e V, da Constituição Federal, que seja convidado o Exmo. Sr. Volodymyr Zelensky, Presidente da Ucrânia, a comparecer a esta Comissão, a fim de debater a dificuldade que a Ucrânia tem enfrentado em estabelecer relações diplomáticas com o nosso país, demonstrada pela demora do governo brasileiro em convidar o Chanceler ucraniano DmytroKuleba para visitar o Brasil.",Não,2024,REQ
6342,164140,Requer a retirada definitiva do Projeto de Lei nº 2.380/2024.,Sim,2024,RQS
6342,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
6342,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
6342,162989,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal –, para tornar inafiançável o crime de lesões corporais praticado em situação de violência doméstica e familiar contra a mulher.",Sim,2024,PL
6342,162481,Requer a oitiva da Comissão de Agricultura e Reforma Agrária sobre o Projeto de Decreto Legislativo nº 577/2020.,Sim,2024,RQS
