codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6369,155928,Desarquivamento do PLS nº 208/2018.,Não,2023,RQS
6369,162199,"Requer urgência para o Projeto de Lei nº 4.358/2023, nos termos do art. 336, II, e 338, II do Regimento Interno do Senado Federal.",Sim,2024,RQS
6369,162940,"Requer voto de repúdio ao Sr. Ciro Ferreira Gomes, por suas declarações preconceituosas, misóginas e agressivas contra a Senadora Janaína Farias.",Não,2024,RQS
6369,164389,"Altera os arts. 213 e 217-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar imprescritível o crime de estupro.",Não,2024,PL
6369,163350,"Requer inserção em ata de Monção de apoio à Senadora Mara Gabrilli, pela candidatura ao Comitê sobre os Direitos das Pessoas com Deficiência da ONU (CRPD), nos termos do art. 222 do Regimento Interno do Senado Federal.",Não,2024,RQS
6369,164254,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.483/2022.,Não,2024,R.S
6369,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
6369,164253,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.488/2022.,Não,2024,R.S
6369,164255,Recorre da decisão terminativa da Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional sobre o Projeto de Lei nº 2.481/2022.,Não,2024,R.S
6369,163249,Requer a realização de Sessão Especial destinada a celebrar os 20 anos do Serviço de Atendimento Móvel de Urgência – SAMU e homenagear todos os profissionais que prestam serviços nesse importante equipamento de saúde pública no Brasil.,Não,2024,RQS
6369,163156,Requer a realização de Sessão Especial destinada a comemorar o Dia Mundial do Meio Ambiente e o Dia Internacional dos Oceanos.,Não,2024,RQS
6369,162340,Requer realização de Sessão Especial em novembro para “ Comemorar os 70 anos de criação da Universidade Federal do Estado do Ceará - UFC”.,Não,2024,RQS
6369,162984,"Requer licença saúde, conforme os termos do Regimento Interno do Senado Federal.",Sim,2024,REQ
6369,162842,Altera a Constituição Federal para dispor sobre o atendimento ininterrupto das Defensorias Públicas para temas de saúde.,Não,2024,PEC
6369,161125,Requer a realização de Sessão Especial destinada a celebrar a campanha do Laço Branco: homens pelo fim da violência contra a mulher.,Não,2023,RQS
6369,161162,"Institui o Estatuto da Pessoa com Obesidade, com foco na promoção da inclusão, proteção da saúde e dos direitos, tratamento adequado, combate ao bullying, assistência social e inserção no mercado de trabalho.",Sim,2023,PL
6369,161350,"Altera o Regimento Interno do Senado Federal, para ampliar de seis para doze meses o prazo para o exercício do cargo de líder e vice-líder da bancada feminina e explicitar que a escolha se dará mediante eleição.",Não,2023,PRS
6369,161349,"Altera a Resolução nº 9, de 2013, para dispor sobre a eleição da Procuradora Especial da Mulher.",Não,2023,PRS
6369,161163,Institui o Programa Nacional de Sucessão Rural para Jovens Agricultores e dá outras providências.,Sim,2023,PL
6369,160679,"Requer a realização de Sessão de Debates Temáticos, a ser realizada em data oportuna, a fim de discutir os desafios e propostas do Brasil para a COP 28.",Não,2023,RQS
6369,160835,Requer a realização de Sessão Especial destinada a celebrar os 25 anos do Centro Universitário Estácio do Ceará.,Não,2023,RQS
6369,160392,Altera o art. 206 da Constituição Federal para incluir como princípio do ensino a garantia de educação inclusiva em todos os níveis.,Não,2023,PEC
6369,160166,"Requer a realização de Sessão Especial, no dia 17/10/2023, em homenagem aos 10 anos de criação da Procuradoria Especial da Mulher do Senado Federal.",Não,2023,RQS
6369,159973,Requer confirmação de presença na Sessão Extraordinária no dia 14/09/2023.,Sim,2023,REQ
6369,160052,"Dispõe sobre o reconhecimento da insalubridade do trabalho dos profissionais que limpam banheiros públicos ou coletivos de grande circulação e estabelece medidas de segurança, e dá outras providências.",Sim,2023,PL
6369,159964,Altera as condições de elegibilidade por militares da ativa das Forças Armadas.,Não,2023,PEC
6369,159979,Requer a realização de audiência pública com o objetivo de debater sobre: “Lei Maria da Penha: ausência de dados referentes à atuação dos Oficiais de Justiça”.,Não,2023,REQ
6369,159649,"Requer licença, nos termos regimentais, para o cumprimento de missão de interesse parlamentar sem ônus para o Senado Federal, em Teresina/PI, no dia 31/08/2023.",Sim,2023,REQ
6369,159348,Sugere ao Poder Executivo federal que apresente projeto de lei para criar Programa Nacional de Bolsa de Formação Musical.,Sim,2023,INS
