codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
4811,156014,"Desarquivamento dos seguintes projetos de lei:  Projetos de Lei do Senado nºs 1, 135, 157, 270, 371, 671 e 743 de 2015; Projetos de Lei do Senado nºs 50 e 52 de 2016; Projetos de Lei do Senado nºs 126, 190, 213, 278 e 304 de 2017;  Projetos de Lei do Senado nºs 31, 79, 80, 234, 306, 436, 459 e 473 de 2018.",Não,2023,RQS
4811,162850,"Requer urgência para o Projeto de Resolução do Senado nº 72/2023, nos termos dos arts. 336, III e 338, III, do Regimento Interno do Senado Federal.",Sim,2024,RQS
4811,163806,"Requer urgência para o Projeto de Lei nº 370/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,163838,"Requer urgência para o Projeto de Lei nº 1.213/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,163890,"Requer urgência para o Projeto de Lei nº 914/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,164707,"Requer urgência para o Projeto de Resolução do Senado nº 20/2022, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Sim,2024,RQS
4811,164239,"Requer urgência para o Substitutivo da Câmara dos Deputados n° 6/2016, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Sim,2024,RQS
4811,163389,"Requer urgência para o Projeto de Lei nº 1.144/2024, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Sim,2024,RQS
4811,164217,"Requer urgência para o Projeto de Lei Complementar nº 125/2022, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,163132,"Requer urgência para o Projeto de Lei Complementar n° 233/2023, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,164429,"Requer urgência para o Projeto de Lei nº 1818/2022, nos termos dos arts. 336, II, e 338,II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,164216,"Requer urgência para o Projeto de Lei Complementar nº 124/2022, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,164607,"Requer urgência para o Projeto de Decreto Legislativo nº 266/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,164084,"Requer urgência para o Projeto de Lei nº 1.564/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,163235,"Requer urgência para o Projeto de Lei nº 1026/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
4811,163936,"Requer urgência para o Projeto de Lei nº 545/2024, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
