codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5979,135115,"Altera a Lei nº 12.334, de 20 de setembro de 2010, para reforçar a efetividade da Política Nacional de Segurança de Barragens (PNSB), e a Lei nº 9.433, de 8 de janeiro de 1997, para dotar de novos instrumentos o Conselho Nacional de Recursos Hídricos (CNRH) no exercício de sua atribuição de zelar pela implementação da PNSB.",Sim,2019,PL
5979,159463,"Requer a realização de Sessão de Debates Temáticos para instruir o PL nº 2796, de 2021, que ""cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",Sim,2023,RQS
5979,140207,"Calendário especial para a Proposta de Emenda à Constituição nº 48, de 2019.",Não,2019,RQS
5979,139629,Urgência para o PL 1615/2019.,Não,2019,RQS
5979,139291,"Calendário especial para a Proposta de Emenda à Constituição nº 95, de 2019.",Não,2019,RQS
5979,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
5979,163134,"Requer a realização de audiência pública, com o objetivo de debater os impactos da comercialização de dados pessoais no Brasil, com foco na efetividade da Lei Geral de Proteção de Dados (LGPD), e na proteção dos direitos fundamentais dos cidadãos",Sim,2024,REQ
5979,162299,Requer a realização de Sessão Especial destinada a celebrar o Dia Mundial das Águas.,Sim,2024,RQS
5979,162940,"Requer voto de repúdio ao Sr. Ciro Ferreira Gomes, por suas declarações preconceituosas, misóginas e agressivas contra a Senadora Janaína Farias.",Não,2024,RQS
5979,164389,"Altera os arts. 213 e 217-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar imprescritível o crime de estupro.",Sim,2024,PL
5979,164377,Requer licenca de saúde de 03 a 05 de junho,Sim,2024,REQ
5979,164144,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de discutir os possíveis impactos do proposta de alteração do Plano de Preservação do Conjunto Urbanístico de Brasília.",Sim,2024,REQ
5979,163355,"Requer a realização de Sessão Especial destinada a celebrar os 30 anos da Consultoria de Orçamentos, Fiscalização e Controle do Senado Federal.",Não,2024,RQS
5979,163019,"Altera a Lei nº 14.597, de 14 de junho de 2023 (Lei Geral do Esporte), para dispor sobre os subsistemas esportivos privados.",Sim,2024,PL
5979,162886,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 07/2024 – CMA sejam incluídos os convidados que apresenta.",Não,2024,REQ
5979,162500,"Requer criação de Comissão Parlamentar de Inquérito, composta de 11 membros titulares e 7 membros suplentes, para, no prazo de 180 dias, apurar fatos relacionados às denúncias e suspeitas de manipulação de resultados no futebol brasileiro, envolvendo jogadores, dirigentes e empresas de apostas.",Não,2024,RQS
5979,164007,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de instruir o PL 2215/2022, que “altera a categoria da Reserva Biológica Marinha do Arvoredo, criada pelo Decreto nº 99.142, de 12 de março de 1990, para Parque Nacional e modifica sua denominação para Parque Nacional Marinho do Arvoredo; e dá outras providências”, com os convidados que apresenta.",Não,2024,REQ
5979,162775,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 7/2024 - CMA, com o objetivo de instruir o PL 2918, de 2021, que “dispõe sobre compensação financeira à União, Estados, Distrito Federal e Municípios pelo resultado da exploração de recursos hídricos para fins de geração de energia elétrica, altera as Leis nº 7.990, de 28 de dezembro de 1989, nº 9.648, de 27 de maio de 1998, nº 8.001, de 13 de março de 1990, e dá outras providências”, seja incluída a convidada que apresenta.",Não,2024,REQ
5979,162073,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiências públicas, com o objetivo de instruir o PL 2088/2023, que “acrescenta o art. 12-A à Lei nº 12.187, de 29 de dezembro de 2009, que institui a Política Nacional sobre Mudança do Clima, para tornar obrigatório o cumprimento de padrões ambientais compatíveis aos do Brasil, para a disponibilização de bens no mercado brasileiro”.",Não,2024,REQ
5979,162818,Altera o art. 6º da Constituição Federal para determinar que a cultura é um direito social.,Não,2024,PEC
5979,162914,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de instruir o PL 2918/2021, que “dispõe sobre compensação financeira à União, Estados, Distrito
Federal e Municípios pelo resultado da exploração de recursos hídricos para fins de geração de energia elétrica, altera as Leis nº 7.990, de 28 de dezembro de 1989, nº 9.648, de 27 de maio de 1998, nº 8.001, de 13 de março de 1990, e dá outras providências”.",Não,2024,REQ
5979,164383,"Requer licença para participar da 1ª Reunião de Mulheres Parlamentares do P20, a se realizar nos dias 1º e 2 de julho de 2024 em Maceió",Sim,2024,REQ
5979,163109,Requer a realização de Sessão Especial destinada a celebrar o Dia Internacional da Enfermagem.,Sim,2024,RQS
5979,164631,"Requer,  nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater sobre a reforma tributária e seus impactos para a Saúde.",Sim,2024,REQ
5979,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
5979,162034,Requer a realização de Sessão Especial destinada a celebrar o Dia do Profissional de Educação Física.,Sim,2024,RQS
5979,162716,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 07/2024 – CMA seja incluído os convidados que apresenta.",Não,2024,REQ
5979,162921,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater o Programa Pena Justa e o Plano Nacional de Política Criminal e Penitenciária 2024-2027.",Sim,2024,REQ
5979,162622,Requer que o PL 699/2023 seja apreciado pelo Plenário do Senado Federal.,Não,2024,R.S
5979,163420,"Requer a realização de Sessão Especial destinada a celebrar os 25 anos da Política Nacional de Educação Ambiental - PNEA (Lei n° 9.795, de 1999).",Sim,2024,RQS
5979,163726,"Requer a realização de ciclo de debates, em conjunto coom a CE, para debater e celebrar os 25 Anos da Política Nacional de Educação Ambiental – PNEA",Sim,2024,REQ
5979,162033,Requer a realização de Sessão Especial destinada a celebrar o Dia do Policial Penal.,Sim,2024,RQS
5979,162032,Requer a realização de Sessão Especial destinada a celebrar o Dia do Professor.,Sim,2024,RQS
5979,163828,Altera o art. 6º da Constituição Federal para incluir o esporte como direito social.,Sim,2024,PEC
5979,163588,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 28/2024 - CE seja incluído o Senhor Fábio Guedes Gomes, Secretário Executivo da Iniciativa para a Ciência e Tecnologia no Parlamento – ICTP.Br.",Sim,2024,REQ
5979,162861,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 7/2024 - CMA, com o objetivo de instruir o PL 2918, de 2021, que “dispõe sobre compensação financeira à União, Estados, Distrito Federal e Municípios pelo resultado da exploração de recursos hídricos para fins de geração de energia elétrica, altera as Leis nº 7.990, de 28 de dezembro de 1989, nº 9.648, de 27 de maio de 1998, nº 8.001, de 13 de março de 1990, e dá outras providências”, seja incluída a convidada que apresenta.",Não,2024,REQ
5979,164145,"Requeiro, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater sobre a PEC 3 de 2022 e as preocupações com seus impactos no meio ambiente.",Sim,2024,REQ
5979,164201,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 31/2024 - CMA, seja incluído como convidado o Senhor Helzio Mascarenhas, Presidente do Observatório do Setor de Serviços e Secretário Executivo da Frente Parlamentar Mista do Setor de Serviços.",Não,2024,REQ
5979,162031,Requer a realização de Sessão Especial para celebrar o Dia Internacional da Mulher.,Sim,2024,RQS
5979,162030,Requer a realização de Sessão Especial para celebrar o 64º aniversário de Brasília.,Sim,2024,RQS
5979,162029,Requer a realização de sessão especial em homenagem à PCDF.,Sim,2024,RQS
5979,162028,Requer realização de Sessão Especial para celebrar os 168 anos do CBMDF.,Sim,2024,RQS
5979,164422,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para impedir a vitimização secundária no processo e julgamento de crimes sexuais.",Não,2024,PL
5979,163663,Dá nova redação ao § 4º do art. 225 da Constituição Federal para incluir entre os patrimônios nacionais o Pantanal Sul-Mato-Grossense.,Não,2024,PEC
5979,163108,"Requer voto de solidariedade aos alunos da equipe de futsal da Escola Franciscana Nossa Senhora de Fátima, pelas agressões raciais e sociais por eles sofridas em competição estudantil esportiva.",Sim,2024,RQS
5979,164334,Requer a realização de Sessão Especial destinada a celebrar os 110 anos do Comitê Olímpico do Brasil.,Não,2024,RQS
