codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
742,135125,Desarquivamento do PLS 224/2016.,Não,2019,RQS
742,162416,"Requer a realização de Sessão Especial, em 22/04/2024, para celebrar e apoiar a promoção do 24º Grito da Terra Brasil, que acontecerá em Brasília nos dias 21 e 22 de abril, com o tema “Mudanças Climáticas e Alimentos Saudáveis”.",Não,2024,RQS
742,163355,"Requer a realização de Sessão Especial destinada a celebrar os 30 anos da Consultoria de Orçamentos, Fiscalização e Controle do Senado Federal.",Sim,2024,RQS
742,162818,Altera o art. 6º da Constituição Federal para determinar que a cultura é um direito social.,Não,2024,PEC
742,163025,"Requer nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, em conjunto com a Comissão de Serviços de Infraestrutura, com o objetivo de debater o Novo Programa de Aceleração do Crescimento (Novo PAC). Propõe para a audiência a presença da Exma. Sra. Simone Tebet, Ministra do Planejamento e Orçamento.",Sim,2024,REQ
742,163379,Requer a inclusão de apoiamento à PEC nº 15/2024.,Sim,2024,RQS
742,164688,"Denomina “Viaduto Severo Eulálio Filho” o viaduto localizado na BR-343, na Ladeira do Uruguai, Zona Leste do Município de Teresina, Estado do Piauí”",Sim,2024,PL
742,163026,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 4/2024 - CDR, seja incluído entre os convidados o Sr. Celso Pansera, Presidente da Finep.
.",Sim,2024,REQ
742,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
742,164344,"Requer a realização de Sessão Especial em comemoração ao Dia do Advogado, celebrado em 11 de agosto.",Não,2024,RQS
742,163967,Requer realização de Sessão de Debates Temáticos destinada a discutir a regulamentação do uso da inteligência artificial no Brasil.,Não,2024,RQS
742,163828,Altera o art. 6º da Constituição Federal para incluir o esporte como direito social.,Não,2024,PEC
742,163400,Requer licença-saúde 16/04/2024,Sim,2024,REQ
742,162702,"Altera a Lei nº 14.817, de 16 de janeiro de 2024, que estabelece diretrizes para a valorização dos profissionais da educação escolar básica pública, para instituir o Índice Nacional de Valorização Docente.",Sim,2024,PL
742,164104,Requer realização de Sessão de Debates Temáticos destinada a discutir as Políticas Públicas para prevenção e tratamento do câncer de pulmão.,Não,2024,RQS
742,162842,Altera a Constituição Federal para dispor sobre o atendimento ininterrupto das Defensorias Públicas para temas de saúde.,Não,2024,PEC
742,161691,Requer a realização de Sessão Especial destinada a promover ato sobre os 60 anos da Ditadura Militar no Brasil.,Não,2023,RQS
742,161685,"Altera o inciso V do art. 7º da Constituição Federal para prever a impossibilidade de redução do piso salarial, por meio de convenção ou acordo coletivo, quando ele for fixado em lei específica.",Não,2023,PEC
742,161125,Requer a realização de Sessão Especial destinada a celebrar a campanha do Laço Branco: homens pelo fim da violência contra a mulher.,Não,2023,RQS
742,161091,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a participação dos representantes a seguir das pessoas com deficiência na audiência pública aprovada, objeto do REQ 125/2023, que tem a finalidade de instruir o PL n.º 1.338/2022, que “altera as Leis nºs 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), e 8.069, de13 de julho de 1990, (Estatuto da Criança e do Adolescente), para dispor sobre a possibilidade de oferta domiciliar da educação básica”. 1- Juiz Edinaldo César Santos Junior, Coordenador do Pacto Nacional pela Primeira Infância;  2- Representante do projeto ""Eu me protejo"".",Sim,2023,REQ
742,160959,Requer a realização de Sessão Especial destinada a comemorar os 40 anos do Departamento Intersindical de Assessoria Parlamentar - DIAP.,Não,2023,RQS
742,160679,"Requer a realização de Sessão de Debates Temáticos, a ser realizada em data oportuna, a fim de discutir os desafios e propostas do Brasil para a COP 28.",Não,2023,RQS
742,160392,Altera o art. 206 da Constituição Federal para incluir como princípio do ensino a garantia de educação inclusiva em todos os níveis.,Sim,2023,PEC
742,160611,requer licença para missão política,Sim,2023,REQ
742,160547,"Requer, nos termos do art. 199 do Regimento Interno do Senado Federal, a realização de Sessão Especial, a ser realizada em data oportuna, a fim de comemorar os 10 anos do Programa Mais Médicos.",Não,2023,RQS
742,160542,Requer a retirada de tramitação do REQ 593/2023 - CDIR.,Sim,2023,REQ
742,160479,"Requer licença para desempenhar missão oficial, a fim de participar do Chocolat Festival Portugal 2023, em Porto, Portugal.",Sim,2023,REQ
742,160656,"Requer, nos termos do art. 58, § 3º, da Constituição Federal e dos arts. 74, III, e 145 do Regimento Interno do Senado Federal, a constituição de uma Comissão Parlamentar de Inquérito para investigar o seguinte fato determinado: “Os efeitos da responsabilidade jurídica socioambiental da empresa Braskem S.A decorrente do maior acidente ambiental urbano já constatado no País, Caso Pinheiro/Braskem, em Maceió, Alagoas.",Não,2023,RQS
742,159999,Requer licença saúde.,Sim,2023,REQ
742,159992,Requer realização de Audiência Pública em comemoração ao Dia Mundial do Turismo.,Sim,2023,REQ
742,159971,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater o reflexo da Proposta de Reforma Tributária para o Setor do Turismo no Brasil.",Sim,2023,REQ
742,158344,"Requer realização de Audiência Pública para instrução do PL 3481/2019, que ""Altera a Lei nº 11.977, de 07 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida (PMCMV), entre outros assuntos, para incluir a construção de palafitas em áreas alagadiças no respectivo programa”.",Não,2023,REQ
742,159505,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 85/2023 - CE, com o objetivo de instruir o PL 1237/2019 sejam incluídos os seguintes convidados: representante da Confederação Nacional dos Estabelecimentos de Ensino (CONFENEM); representante da Federação Nacional de Escolas Particulares (FENEP); representante da Associação Brasileira Mantenedoras de Ensino Superior (ABMES); representante do Ministério da Educação (MEC); representante da Procuradoria Federal dos Direitos do Cidadão (PFDC).",Sim,2023,REQ
742,159188,"Requeremos, nos termos dos arts. 336, II, e 338, IV, do Regimento Interno do Senado Federal, urgência para o PLC 112/2017, que “Cria funções comissionadas no Quadro de Pessoal da Secretaria do Tribunal Regional do Trabalho da 22ª Região e dá outras providências”.",Sim,2023,REQ
742,158950,"Requer a realização de Sessão de Debates Temáticos no dia 17/08/2023, a fim de debater a retomada da indústria no Brasil.",Não,2023,RQS
742,159109,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, em conjunto com a Comissão de Serviços de Infraestrutura, com o objetivo de debater as ""Estratégias de desenvolvimento nas regiões Norte e Nordeste"". Propõe para a audiência a presença do Senhor Mangabeira Unger, Professor da Universidade de Harvard.",Sim,2023,REQ
742,158625,"Requer licença para desempenhar missão oficial, em Nova Deli e Goa, na Índia, com ônus para o Senado Federal.",Sim,2023,REQ
742,157474,"Requeiro, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, em conjunto com a Comissão de Serviços de Infraestrutura, com o objetivo de expor a política de abastecimento de petróleo e combustíveis da Petrobras para os próximos quatro anos. Proponho para a audiência a presença do Senhor Jean Paul Prates, Presidente da Petrobras.",Não,2023,REQ
742,158095,"Altera a Constituição Federal para incluir, entre os direitos e garantias fundamentais, a proteção à integridade mental e à transparência algorítmica.",Não,2023,PEC
742,157417,Sessão especial para comemorar o Dia Nacional da Imunização,Sim,2023,RQS
742,157372,"Acrescenta o art. 149-B à Constituição Federal, para criar a contribuição em restituição ao financiamento estudantil, espécie de tributo que poderá ser instituído por lei específica e destinada a viabilizar sistemas de financiamento com pagamentos vinculados à renda futura.",Não,2023,PEC
742,157416,"Requer calendário especial para a PEC 7/2018, para que a matéria conste da Ordem do Dia de sessões deliberativas, na forma que especifica.",Não,2023,RQS
742,157146,"Acrescenta a alínea “f” ao inciso VI do art. 150 da Constituição Federal, tornando imunes a impostos os medicamentos destinados ao uso humano.",Não,2023,PEC
742,157267,Requer licença-saúde no dia 25/04/2023,Sim,2023,REQ
742,157258,"Altera o art. 130 da Constituição Federal e acrescenta-lhe parágrafo, de modo a aprimorar o regramento e consolidar balizas institucionais necessárias ao bom funcionamento do Ministério Público de Contas brasileiro.",Não,2023,PEC
742,156625,Desarquivamento do PLC 159/2017,Não,2023,RQS
742,156633,"Desarquivamento do PLC 60/2018, que “altera o art. 25 da Lei nº 10.438, de26 de abril de 2002, para ampliar o horário em que pode ser estabelecido o período de concessão de desconto nas tarifas de energia elétrica ao irrigante e ao aquicultor, e para vedar a aplicação de diferentes percentuais de descontos na Classe Rural”.",Não,2023,RQS
742,156655,"Realização de Sessão de Debates Temáticos, no dia 28/04/2023, a fim de debater a estrutura do sistema e do processo de adoção no país e possíveis melhorias.",Não,2023,RQS
742,156640,Desarquivamento do PLC nº 46/2017.,Não,2023,RQS
742,156848,"Realização de sessão de debate temático a fim de tratar da inadimplência das pessoas físicas, soluções para o endividamento e o papel e a configuração do Programa Desenrola.",Não,2023,RQS
742,156588,Desarquivamento do PLC nº 42/2017.,Não,2023,RQS
742,156551,"Desarquivamento do SCD nº 6/2016, PLC nº 30/2015 e PLC nº 12/2016.",Não,2023,RQS
742,156419,"Desarquivamento das proposições que especifica: PEC 1/2015, PLS 375/2015, PLS 561/2015, PLS 288/2016, PLS 435/2018, PLS 530/2018.",Não,2023,RQS
742,156170,"Realização de Sessão Especial, no dia 03/05/2023, a fim de comemorar o Dia do Parlamento, os 200 anos da Primeira Assembleia Constituinte e a criação do Poder Legislativo no Brasil.",Não,2023,RQS
742,156391,"Modifica os arts. 60, 61, 62 e 64 da Constituição Federal, para dispor sobre a iniciativa de proposições pelo Presidente da República.",Não,2023,PEC
742,156559,"Desarquivamento dos PLSs nº 225/2015, nº 227/2015 e nº 411/2017.",Não,2023,RQS
742,156198,"Requer que na audiência pública, objeto do REQ 9/2023-CI, seja incluído o convidado Renan Lange Holdorf.",Não,2023,REQ
742,156534,Desarquivamento do PLS nº 226/2016 e PLS nº 168/2018.,Não,2023,RQS
742,156607,"Desarquivamento do PLC 34/2015, Altera a Lei nº 11.105, de 24 de março de 2005 - altera a Lei de Biossegurança para liberar os produtores de alimentos de informar ao consumidor sobre a presença de componentes transgênicos quando esta se der em porcentagem inferior a 1% da composição total do produto alimentício.",Não,2023,RQS
742,156465,Desarquivamento do PL nº 2648/2019.,Não,2023,RQS
742,156315,"Requer que na audiência pública, objeto do REQ 9/2023-CI, seja incluído o convidado José Adelmir de Almeida, prefeito de Cajazeiras-PB.",Não,2023,REQ
742,156502,Desarquivamento do PLS nº 98/2015.,Não,2023,RQS
742,156487,Desarquivamento dos PLS 511/2017 e PLC 63/2018.,Não,2023,RQS
742,156685,Desarquivamento da PEC nº 9/2017 e do PLC nº 25/2018.,Não,2023,RQS
