codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
285,135308,"Requeiro, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater o sistema de avaliação da educação brasileira. Proponho para a audiência a presença dos seguintes convidados: Sr. Marcus Vinicius Rodrigues, Presidente do Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP); Sra. Tania Leme de Almeida, Secretária de Educação Básica do Ministério da Educação; Sr. Mauro Rabelo, Secretário de Educação Superior do Ministério da Educação.",Sim,2019,REQ
285,139082,"Destaque para votação em separado dos §§ 6º, 7º, 8º e 9º do art. 8º do ADCT disposto no art. 2º da PEC 6/2019.",Sim,2019,RQS
285,162816,Requer licença para o desempenho de atividade política de interesse parlamentar.,Sim,2024,REQ
285,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
285,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
285,163239,Requer licença para tratamento de saúde no período de 22 de abril a 21 de maio de 2024.,Sim,2024,REQ
285,162819,"Modifica o art. 231 da Constituição Federal, para permitir aos índios produzir e comercializarem livremente sua produção e prever a obrigação da União de prestar-lhes auxílio técnico.",Não,2024,PEC
285,162870,Concede anistia aos envolvidos nos atos de 8 de janeiro de 2023 e restaura os direitos políticos dos cidadãos declarados inelegíveis em face de atos relacionados às Eleições de 2022.,Sim,2024,PL
285,163043,"Altera o art. 146, § 3º, II, da Constituição Federal para corrigir o tratamento injusto concedido pela reforma tributária às microempresas, às empresas de pequeno porte e aos microempreendedores individuais.",Não,2024,PEC
285,162066,"Requer a realização de Sessão de Debates Temáticos destinada a discutir o objeto da Proposta de Emenda Constitucional (PEC) 42/2023, que trata das condições de elegibilidade por militares da ativa das Forças Armadas.",Não,2024,RQS
285,163805,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
285,164409,Requerimento de licença - Art.13,Sim,2024,REQ
285,162284,"Cria a Comissão Mista Permanente para Proteção de Dados, Inteligência Artificial e Segurança Cibernética (CMCIBER) e dá outras providências.",Não,2024,PRN
285,162140,Requer voto de solidariedade ao Estado de Israel e ao povo judeu em face das declarações distorcidas e cruéis do Presidente Lula.,Não,2024,RQS
285,164256,Requer realização de Sessão de Debates Temáticos destinada a discutir a exploração de jogos e apostas em todo território nacional.,Não,2024,RQS
