codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5422,141402,"Destaque para votação em separado da Emenda nº 12-PLEN, oferecida ao PL 1179/2020.",Sim,2020,RQS
5422,164692,"Requer informações ao Senhor Fernando Haddad, Ministro de Estado da Fazenda, sobre a Portaria SPA/MF nº 827, de 21 de maio de 2024 e sobre a Lei nº 14.790/2023.",Sim,2024,RQS
5422,163364,Solicita que a Emenda 21-U ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
5422,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
5422,164022,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, para incentivar a utilização de espécies frutíferas lenhosas na recomposição de áreas rurais consolidadas situadas em Áreas de Preservação Permanente e de Reserva Legal, vedada a conversão de novas áreas para uso alternativo do solo nesses locais.",Sim,2024,PL
5422,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
5422,162098,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de instruir o PL 826/2019, que “institui o Programa Nacional de Vacinação em Escolas Públicas”.",Sim,2024,REQ
5422,163693,"Requer informações ao Senhor Fernando Haddad, Ministro de Estado da Fazenda, sobre o pagamento de contribuições ao Regime Geral de Previdência Social (RGPS) pelo Poder Executivo do Estado de Rondônia.",Sim,2024,RQS
5422,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5422,163837,"Requer que o Projeto de Lei n° 5.066, de 2020, deliberado terminativamente pela Comissão de Infraestrutura, seja apreciado pelo Plenário do Senado Federal.",Não,2024,R.S
5422,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
5422,163369,Solicita que a Emenda n° 4-CCJ ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
5422,163391,"Requer a oitiva da Comissão de Constituição, Justiça e Cidadania sobre o Projeto de Lei nº 1.145/2021.",Sim,2024,RQS
5422,164717,"Requer que sejam prestadas, pelo Senhor Ministro da Fazenda, Fernando Haddad, informações sobre as Resoluções CMN nº 5.081/2023 e BCB nº 140/2021, que têm gerado consideráveis prejuízos ao setor produtivo.",Sim,2024,REQ
5422,164635,"Requer urgência para o Projeto de Lei nº 715/2023, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
5422,162102,"Requer a oitiva da Comissão de Constituição, Justiça e Cidadania sobre o Projeto de Lei nº 826/2019.",Sim,2024,RQS
5422,164718,"Requer que sejam prestadas, pelo Senhor Subsecretário de Política Agrícola e Negócios Agroambientais do Ministério da Fazenda, Gilson Alceu Bittencourt, informações sobre as Resoluções CMN nº 5.081/2023 e BCB nº 140/2021, que têm gerado consideráveis prejuízos ao setor produtivo.",Sim,2024,REQ
5422,162819,"Modifica o art. 231 da Constituição Federal, para permitir aos índios produzir e comercializarem livremente sua produção e prever a obrigação da União de prestar-lhes auxílio técnico.",Não,2024,PEC
