codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6304,153555,Urgência para o PL nº 1570/2022.,Não,2022,RQS
6304,162940,"Requer voto de repúdio ao Sr. Ciro Ferreira Gomes, por suas declarações preconceituosas, misóginas e agressivas contra a Senadora Janaína Farias.",Não,2024,RQS
6304,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
6304,164389,"Altera os arts. 213 e 217-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar imprescritível o crime de estupro.",Não,2024,PL
6304,164008,"Altera o Anexo VIII da Lei nº 6.938, de 31 de agosto de 1981, para retirar o recondicionamento de pneumáticos da relação de atividades potencialmente poluidoras e utilizadoras de recursos ambientais.",Sim,2024,PL
6304,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
6304,162101,"Requeiro, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, na cidade de Lucas do Rio Verde-MT, no dia 15 de março de 2024, com o objetivo de discutir prevenção, enfrentamento, desafios, legislações e políticas públicas de combate a violência contra a mulher.",Sim,2024,REQ
6304,162384,"Solicita, nos termos dos arts. 336, II, e 338, IV, do Regimento Interno do Senado Federal, urgência para o PLP 252/2023.",Sim,2024,REQ
6304,163350,"Requer inserção em ata de Monção de apoio à Senadora Mara Gabrilli, pela candidatura ao Comitê sobre os Direitos das Pessoas com Deficiência da ONU (CRPD), nos termos do art. 222 do Regimento Interno do Senado Federal.",Não,2024,RQS
6304,163429,Requer a oitiva da Comissão de Assuntos Econômicos sobre o Projeto de Lei nº 3.670/2023.,Sim,2024,RQS
6304,163305,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de instruir o PL 3611/2021, que “dispõe sobre o uso de Veículos Aéreos Não Tripulados (VANTs), Aeronaves Remotamente Pilotadas (ARP) ou ‘drones’ pelos órgãos de segurança pública”.",Não,2024,REQ
