codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6027,135125,Desarquivamento do PLS 224/2016.,Não,2019,RQS
6027,163227,"Requer urgência para o Projeto de Decreto Legislativo nº 202/2024, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Sim,2024,RQS
6027,163102,"Requer, pela Liderança do Republicanos, destaque para votação em separado da Emenda nº 24 ao Projeto de Lei nº 81/2024.",Sim,2024,RQS
6027,163966,"Requer realização de Sessão de Debates Temáticos destinada a discutir o procedimento de assistolia fetal previamente aos procedimentos de interrupção da gravidez, nos casos de aborto previsto em lei, quando houver probabilidade de sobrevida do feto em idade gestacional acima de 22 semanas, e a Resolução nº 2.378/24, do Conselho Federal de Medicina (CFM).",Não,2024,RQS
6027,163110,"Requer a retirada do Requerimento nº 248, de 2024.",Sim,2024,RQS
6027,163198,Requer realização de Sessão de Debates Temáticos destinada a discutir a liberdade de expressão.,Não,2024,RQS
6027,163368,"Requer, pela Liderança do Republicanos, destaque para votação em separado da Emenda nº 21-U ao Projeto de Lei Complementar nº 233/2023.",Sim,2024,RQS
6027,163988,"Requer realização de Sessão de Debates Temáticos destinada a discutir a Proposta de Emenda à Constituição nº 3, de 2022, que revoga o inciso VII do caput do art. 20 da Constituição Federal e o § 3º do art. 49 do Ato das Disposições Constitucionais Transitórias; e dá outras providências.",Não,2024,RQS
6027,161557,"Requer, pela Liderança do Republicanos, destaque para votação em separado da Emenda nº 157 do Projeto de Lei nº 3626/2023.",Sim,2023,RQS
6027,160937,Destaque para votação em separado da Emenda nº 804 da PEC nº 45/2019.,Sim,2023,RQS
6027,160902,Requer Destaque Votação em separado emenda 714,Sim,2023,REQ
6027,159576,Requer destaque para votação em separado da emenda 18 ao PL 2384/2023.,Sim,2023,RQS
6027,159520,"Requer, nos termos dos arts. 336, III e 338, III, do Regimento Interno do Senado Federal, urgência para o PRS 67/2023.",Sim,2023,RQS
6027,159057,"Requer, nos termos do inciso IV e § 7º do art. 154 do Regimento Interno do Senado Federal, que na sessão de Sessão de Debates Temáticos, objeto do RQS 690 de 2023, com o objetivo de debater a “descriminalização do porte de drogas para consumo pessoal”, sejam incluídos os convidados que especifica.",Não,2023,RQS
6027,158353,Requer destaque a emenda 36,Sim,2023,REQ
6027,158560,Requer destaque a emenda 12 ao PL 4188/2021,Sim,2023,REQ
6027,158375,Requer destaque para votação em separado da emenda nº 99 ao PLP 93/2023.,Sim,2023,RQS
6027,157808,"Requer destaque da emenda nº 1, da Senadora Damares Alves, ao PRS 63/2023.",Sim,2023,RQS
6027,157630,"Requer, em nome da Liderança do Republicanos, nos termos do art.312, II, e parágrafo único, do Regimento Interno do Senado Federal, destaque, para votação em separado, da Emenda nº 92 à MPV 1153/2022, que “dispõe sobre a prorrogação da exigência do exame toxicológico periódico, altera a Lei nº 9.503,de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, altera a Lei nº 11.442, de 5 de janeiro de 2007, quanto ao seguro de cargas, e altera a Lei nº11.539, de 8 de novembro de 2007, quanto às cessões de Analistas de Infraestrutura e Especialistas em Infraestrutura Sênior”",Sim,2023,RQS
6027,157431,"Requeremos calendário especial para a Proposta de Emenda à Constituição nº 162, de 2019, que ""altera a redação do inciso VIII-A do caput do art. 93 da Constituição Federal, para permitir a permuta entre juízes de direito vinculados a diferentes tribunais"".",Não,2023,RQS
6027,157433,Requer destaque a emenda 65 à MP 1147/2022,Sim,2023,RQS
