codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5985,135118,"Modifica o art. 37 da Constituição Federal, para suspender o transcurso do prazo de validade de concurso público na hipótese de o Poder Público suspender as nomeações por falta de recursos financeiros.",Não,2019,PEC
5985,155158,"Submete à apreciação do Senado Federal, nos termos do art. 130-A , inciso V, da Constituição Federal, a indicação do Senhor ENGELS AUGUSTO MUNIZ, para ser reconduzido ao cargo do Conselho Nacional do Ministério Público - CNMP, na vaga reservada ao Senado Federal.",Sim,2022,OFS
5985,155165,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, inciso XIII, da Constituição Federal, combinado com o art. 6º, § 1º, da Resolução do Senado Federal n° 7, de 2005, o nome do Senhor LUIZ FERNANDO BANDEIRA DE MELLO FILHO, para ser reconduzido ao cargo do Conselho Nacional de Justiça - CNJ, na vaga destinada ao Senado Federal.",Não,2022,OFS
5985,154126,Destaque para votação em separado referente ao VET nº 67/2021.,Sim,2022,RQN
5985,153545,Urgência para o PL nº 1388/2022.,Não,2022,RQS
5985,153966,Realização de Sessão de Debates Temáticos a fim de debater a importância das normas regulamentadoras para a saúde e segurança no trabalho.,Não,2022,RQS
5985,153556,Urgência para o PL nº 396/2022.,Não,2022,RQS
5985,152767,"Realização de Sessão de Debates Temáticos a fim de discutir o PL nº 6204/2019, e o tema da Desjudicialização da Execução Civil no Brasil.",Sim,2022,RQS
5985,152929,"Realização de Sessão de Debates Temáticos, no mês de maio, a fim de debater os impactos da violência no trânsito e as possíveis soluções para um trânsito seguro.",Não,2022,RQS
5985,152706,"Realização de Sessões de Debates Temáticos, com a finalidade de debater o PL nº 700/2022.",Não,2022,RQS
5985,152466,Destaque para votação em separado referente ao VET nº 11/2022.,Sim,2022,RQN
5985,152645,"Requer, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal, urgência para o PLS nº 68/2017.",Não,2022,RQS
5985,152119,Destaque para votação em separado da Emenda nº 25 -PLEN ao PLP 11/2020.,Sim,2022,RQS
5985,152223,Sessão de Debates Temáticos destinada a discutir o PAPEL DO BRASIL NA MEDIAÇÃO DE CONFLITOS E CONSTRUÇÃO DE UMA CULTURA DE PAZ.,Não,2022,RQS
5985,155291,"Destaque para votação em separado da Emenda nº 4-PLEN, apresentada à PEC nº 63/2013.",Sim,2022,RQS
5985,155297,"Destaque para votação em separado da Emenda nº 14-PLEN, apresentada à PEC nº 63/2013.",Sim,2022,RQS
5985,154169,"Destaque para votação em separado da Emenda nº 32, apresentada à MPV nº 1107/2022.",Sim,2022,RQS
5985,153557,Urgência para o PL nº 1571/2022.,Não,2022,RQS
5985,153555,Urgência para o PL nº 1570/2022.,Sim,2022,RQS
5985,153253,"Destaque para votação em separado da Emenda nº 325, apresentada à MPV nº 1085/2021.",Sim,2022,RQS
5985,153262,Retirada do RQS nº 380/2022.,Sim,2022,RQS
5985,153261,Retirada do RQS nº 379/2022.,Sim,2022,RQS
5985,153126,"Retificação do RQS nº 350/2022, para destacar a Emenda nº 100-PLEN em substituição ao destaque do art. 8º do PLV nº 5/2022 - MPV 1089/2021.",Sim,2022,RQS
5985,153123,"Destaque para votação em separado da Emenda nº 99-PLEN, apresentada à MPV nº 1089/2021 - PLV nº 5/2022.",Sim,2022,RQS
5985,153252,"Destaque para votação em separado da Emenda nº 319, apresentada à MPV nº 1085/2021.",Sim,2022,RQS
5985,153118,Destaque para votação em separado do art. 8º do PLV nº 5/2022 - MPV nº 1089/2021.,Sim,2022,RQS
5985,153256,"Destaque para votação em separado da Emenda nº 336, apresentada à MPV nº 1085/2021.",Sim,2022,RQS
5985,153257,Retirada do RQS nº 383/2022.,Sim,2022,RQS
5985,153255,"Destaque para votação em separado da Emenda nº 326-PLEN, apresentada à MPV nº 1085/2021.",Sim,2022,RQS
5985,151930,Requer a realização de Sessão de Debate Temático sobre a campanha de vacinação obrigatória da Covid-19 em crianças entre 5 e 11 anos.,Não,2022,RQS
5985,151811,Aditamento ao RQS nº 70/2022.,Sim,2022,RQS
5985,151359,"Realização de Sessão de Debates Temáticos, em fevereiro, a fim debater o tema “Busca Ativa: Toda Criança na Escola”.",Sim,2021,RQS
5985,151237,"Escolhe o Senhor Antonio Augusto Junho Anastasia para o cargo de Ministro do Tribunal de Contas da União, nos termos do inciso II do § 2º do art. 73 da Constituição Federal, do inciso II do art. 105 da Lei nº 8.443, de 16 de julho de 1992, e do art. 2º do Decreto Legislativo nº 6, de 1993.",Sim,2021,PDL
5985,151504,"Realização de Sessão de Debates Temáticos, no dia 07/02/2022, a fim de homenagear e relembrar as vítimas do holocausto e realizar a cerimônia do Yom HaShoá, ""Dia da Lembrança do Holocausto"".",Não,2022,RQS
5985,151324,"Destaque para votação em separado da Emenda nº 2-PLEN, apresentada ao PL nº 3418/2021.",Sim,2021,RQS
5985,151323,"Destaque para votação em separado da Emenda nº 1-PLEN, apresentada ao PL nº 3418/2021.",Sim,2021,RQS
5985,151328,"Realização de Sessão de Debates Temáticos, em fevereiro de 2022, a fim de debater a eficiência do Passaporte Sanitário no enfrentamento a Pandemia e seus reflexos nos direitos pessoais, trabalhistas, sociais e religiosos da população.",Não,2021,RQS
5985,150833,Realização de Sessão de Debates Temáticos sobre a PEC 23/2021.,Não,2021,RQS
5985,150027,"Destaque, para votação em separado, da Emenda nº 55 ao PL nº 2505/2021.",Sim,2021,RQS
5985,150146,"Destaque para votação em separado da Emenda nº 5 - PLEN, apresentada ao PLS nº 169/2018.",Sim,2021,RQS
5985,149588,Urgência para a  PEC nº 76/2019.,Não,2021,RQS
5985,149882,"Destaque para votação em separado do art. 10º, incisos I e II, constantes no art. 6º do Substitutivo da Câmara dos Deputados, retornando ao texto original do art 10º e seus incisos I e II do PL nº 783/2021.",Sim,2021,RQS
5985,149895,Retirada do RQS nº 2049/2021.,Sim,2021,RQS
5985,149897,"Destaque para votação em separado do art. 10º, incisos I e II, constantes no art. 2º do Substitutivo da Câmara dos Deputados, retornando ao texto original do art 10º, incisos I e II, do PL nº 783/2021.",Sim,2021,RQS
5985,149830,"Requer, nos termos dos arts. 336, I, e 338, I, do Regimento Interno do Senado Federal, urgência para o PL 4199/2020.",Não,2021,RQS
