codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5924,153296,Destaque para votação em separado da Emenda nº 346 apresentada à MPV nº 1085/2021.,Sim,2022,RQS
5924,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
5924,163933,"Requeiro licença para desempenhar missão política ou cultural de interesse parlamentar, sem ônus para o Senado Federal, no meu Estado, de 04/06/2024 a 05/06/2024, a fim de que seja considerada como desempenho de missão política de interesse parlamentar, minha ausência dos trabalhos dessa Casa.",Sim,2024,REQ
5924,162802,"Requer nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal, em face do que dispõe o art. 55, III, da Constituição Federal, licença para desempenhar missão política, sem ônus para o Senado Federal",Sim,2024,REQ
5924,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5924,163369,Solicita que a Emenda n° 4-CCJ ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
5924,163410,"Dispõe sobre fonte de recursos para o financiamento das despesas emergenciais, relativas à decretação de calamidade pública no Estado do Rio Grande do Sul, de que trata o Decreto Legislativo nº 36, de 2024.",Sim,2024,PL
5924,162776,"Revoga a competência concorrente para legislar sobre direito penitenciário, atribuindo-a aos Estados.",Não,2024,PEC
5924,164256,Requer realização de Sessão de Debates Temáticos destinada a discutir a exploração de jogos e apostas em todo território nacional.,Não,2024,RQS
5924,163663,Dá nova redação ao § 4º do art. 225 da Constituição Federal para incluir entre os patrimônios nacionais o Pantanal Sul-Mato-Grossense.,Não,2024,PEC
5924,162059,"Requer, em aditamento ao Requerimento nº 1.046, de 2023, a inclusão de convidados na Sessão de Debates Temáticos com o objetivo de discutir a obrigatoriedade de vacinação contra Covid-19 em crianças, em virtude de inclusão da vacina no Programa Nacional de Imunização – PNI.",Não,2024,RQS
5924,162103,"Altera o art. 14, da Constituição Federal, para dispor que, na votação e apuração de eleições, plebiscitos e referendos, seja obrigatória a expedição de cédulas físicas, conferíveis pelo eleitor, a serem depositadas em urnas indevassáveis, para fins de auditoria.",Não,2024,PEC
5924,163175,"Altera a Lei nº 14.789, de 29 de dezembro de 2023, para excluir da base de cálculo do Imposto sobre a Renda das Pessoas Jurídicas (IRPJ) e da Contribuição Social sobre o Lucro Líquido (CSLL) as receitas decorrentes de subvenções para investimento destinadas à eletrificação da frota de ônibus utilizada no transporte público.",Sim,2024,PL
5924,162005,"Requeiro, nos termos do art. 43, I, do Regimento Interno do SenadoFederal, em face do que dispõem os arts. 55, III, e 56, II, da Constituição Federal,licença saúde, de 01/02/2024 a 10/02/2024,",Sim,2024,REQ
5924,161611,Requer apreciação pelo Plenário do Projeto de Lei nº 1105/2023.,Não,2023,R.S
