codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
825,117461,Estabelece alíquotas máximas do Imposto sobre Operações Relativas à Circulação de Mercadorias incidentes sobre a prestação de serviço de comunicação referente ao acesso à internet por conectividade em banda larga.,Não,2014,PRS
825,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
825,162273,"Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para corrigir a remissão constante do § 4º de seu art. 664.",Sim,2024,PL
825,164002,Requer a realização de Sessão Especial destinada a celebrar os 20 anos da Pastoral da Pessoa Idosa (PPI).,Não,2024,RQS
825,162416,"Requer a realização de Sessão Especial, em 22/04/2024, para celebrar e apoiar a promoção do 24º Grito da Terra Brasil, que acontecerá em Brasília nos dias 21 e 22 de abril, com o tema “Mudanças Climáticas e Alimentos Saudáveis”.",Não,2024,RQS
825,163419,Requer a realização de um ciclo de debates diante da tragédia do RS,Sim,2024,REQ
825,162265,Institui o Estatuto do Motorista Profissional.,Sim,2024,PL
825,164283,"Requer a realização de Sessão Especial destinada a celebrar o Dia Internacional da Mulher Negra Latino-Americana e Caribenha e o Dia Nacional de Tereza de Benguela e da Mulher Negra, celebrados em 25 de julho, com a celebração do Acordo de Cooperação Técnica entre o Ministério da Igualdade Racial e o Senado Federal.",Não,2024,RQS
825,162259,"Requer realização de Sessão Especial a fim de conscientizar a população quanto ao ""Dia Internacional da Síndrome de Down"".",Não,2024,RQS
825,163355,"Requer a realização de Sessão Especial destinada a celebrar os 30 anos da Consultoria de Orçamentos, Fiscalização e Controle do Senado Federal.",Não,2024,RQS
825,162792,"Requer realização de Audiência Pública para debater ""Construção e efetivação do Plano Nova Indústria do governo federal""",Sim,2024,REQ
825,162127,Requer a realização de Sessão Especial destinada a celebrar o Dia Mundial da Conscientização sobre o Autismo.,Não,2024,RQS
825,163255,"Requer a realização de audiência pública sobre o ""Dia Nacional da Trabalhadora e do Trabalhador da Cultura""",Sim,2024,REQ
825,162302,"Requer a realização de audiência pública sobre o ""Lançamento Missão Josué de Castro - Brasil no combate à fome""",Sim,2024,REQ
825,163599,Requer a realização da diligência externa ao Estado do Rio Grande do Sul,Sim,2024,REQ
825,163764,Requer a inclusão de apoiamento ao Requerimento nº 358/2024.,Sim,2024,RQS
825,162448,"Requer Realização de Audiência Pública para debater ""Negociação coletiva e as reivindicações dos servidores públicos""",Sim,2024,REQ
