codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5502,135248,Criação de Comissão Parlamentar de Inquérito destinada a  investigar o exercício exacerbado de suas atribuições por parte de membros dos Tribunais Superiores do País.,Não,2019,RQS
5502,162966,Requer a realização de Sessão Especial destinada a celebrar os 25 anos de fundação da Associação Brasileira de Magistrados Espíritas (ABRAME).,Não,2024,RQS
5502,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Não,2024,PEC
5502,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
5502,163215,"Requer a constituição de uma Comissão Temporária Externa composta de 11 (onze) membros titulares para, no prazo de 120 (cento e vinte) dias, acompanhar investigação da Câmara dos Representantes dos Estados Unidos da América (United States House of Representatives) sobre denúncias oferecidas pelo empresário Elon Musk e a empresa X (antigo Twitter) acerca de possíveis violações de preceitos fundamentais da Constituição Federal e de ameaças a direitos e garantias individuais que estariam tendo lugar em nosso país.",Não,2024,RQS
5502,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5502,162256,"Requer voto de aplauso à Federação das Indústrias do Estado do Amazonas, pela passagem de seu 64º aniversário de sua criação.",Sim,2024,RQS
5502,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
5502,162269,"Requer voto de aplauso à Superintendência da Zona Franca de Manaus, pela passagem do 57º aniversário de sua criação.",Sim,2024,RQS
5502,163043,"Altera o art. 146, § 3º, II, da Constituição Federal para corrigir o tratamento injusto concedido pela reforma tributária às microempresas, às empresas de pequeno porte e aos microempreendedores individuais.",Não,2024,PEC
5502,163547,Interposição de Recurso contra decisão terminativa de Comissão sobre o Projeto de Lei n° 1958/2021.,Não,2024,R.S
5502,162957,Altera o Regimento Interno do Senado Federal para determinar o comparecimento periódico ao Senado Federal do Presidente do Banco Nacional de Desenvolvimento Econômico e Social.,Sim,2024,PRS
5502,162066,"Requer a realização de Sessão de Debates Temáticos destinada a discutir o objeto da Proposta de Emenda Constitucional (PEC) 42/2023, que trata das condições de elegibilidade por militares da ativa das Forças Armadas.",Não,2024,RQS
5502,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
5502,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
5502,163968,Requer a realização de Sessão Especial destinada a homenagear o Fórum Brasileiro da Educação Particular (Brasil Educação) pelos relevantes serviços prestados por suas instituições representadas para o desenvolvimento da Educação no Brasil.,Não,2024,RQS
5502,163928,"Requer licença dos trabalhos da Casa nos termos da Lei 8.112, de 1990 c/c art. 412, inciso VI do RISF",Sim,2024,REQ
