codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
70,115665,Altera a Lei de Execução Penal.,Sim,2013,PLS
70,162135,Requerimento licença 21.02.24.,Sim,2024,REQ
70,162274,Consolida a legislação federal sobre o comércio exterior e dispõe sobre os Impostos de Importação e Exportação.,Sim,2024,PL
70,163009,Requerimento 10.04.24,Sim,2024,REQ
70,163991,Requer licença 22/05,Sim,2024,REQ
70,162432,Requerimento 07.03.24,Sim,2024,REQ
70,162950,Requerimento de licença 09.04.24,Sim,2024,REQ
70,163992,Requer licença em 04.06.24,Sim,2024,REQ
70,163037,Requerimento de licença 11.04.24,Sim,2024,REQ
70,162797,Requerimento de licença,Sim,2024,REQ
70,163199,Requerimento licença 23.04.24,Sim,2024,REQ
70,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
70,164609,"Requer instauração de processo disciplinar em face do Senador Marcos do Val, com fundamento no art. 55, inciso II, da Constituição Federal; no art. 32, do Regimento Interno do Senado Federal e no art. 11, do CEDP.",Não,2024,DEN
70,164332,Requer a realização de Audiência Pública para debater o tema Descarbonização dos Mares,Sim,2024,REQ
70,164134,Requer licença em 11/06/2024,Sim,2024,REQ
70,164638,Requer licença em 09/07/2024,Sim,2024,REQ
70,163228,Requerimento licença 24.04.24,Sim,2024,REQ
70,162247,Requerimento 27.02.24,Sim,2024,REQ
70,161685,"Altera o inciso V do art. 7º da Constituição Federal para prever a impossibilidade de redução do piso salarial, por meio de convenção ou acordo coletivo, quando ele for fixado em lei específica.",Não,2023,PEC
70,161090,Requer licença saúde,Sim,2023,REQ
70,160701,"Requer o envio de informações e inteiro teor de inquéritos referentes à Operação Última Milha da Polícia Federal aos seguintes entes: ABIN, CGU, STF e PF.",Sim,2023,REQ
