codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5905,135124,Desarquivamento da PEC 29/2015.,Não,2019,RQS
5905,164426,"Requer, pela Liderança do PODEMOS, destaque para votação em separado da Emenda nº 1 ao Projeto de Lei Complementar nº 262/2019.",Sim,2024,RQS
5905,164252,"Requer, pela Liderança do Podemos, destaque para votação em separadoda Emenda nº 14 ao Projeto de Lei Complementar nº 125/2022.",Sim,2024,RQS
5905,164195,"Requer, pela Liderança do Podemos, destaque para votação em separado da Emenda nº 22 ao Projeto de Lei da Câmara nº 29/2017.",Sim,2024,RQS
5905,164394,Requer preferência para a votação da Emenda nº 6-PLEN .,Sim,2024,RQS
5905,163227,"Requer urgência para o Projeto de Decreto Legislativo nº 202/2024, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
5905,163128,"Requer urgência para o Projeto de Lei nº 826/2019, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
5905,162501,"Requer, pela Liderança do PODEMOS, destaque para votação em separado da Emenda nº 2 ao Projeto de Lei do Senado nº 756/2015.",Sim,2024,RQS
5905,163375,"Requer, pela Liderança do Podemos, destaque para votação em separado da Emenda n° 4 ao Projeto de Lei Complementar nº 233/2023.",Sim,2024,RQS
5905,162738,"Requer, pela Liderança do PODEMOS, destaque para votação em separado da Emenda nº 10 ao Projeto de Lei nº 3.027/2022.",Sim,2024,RQS
5905,163106,"Requer, pela Liderança do PODEMOS, destaque para votação em separado da Emenda nº 18 ao Projeto de Lei nº 81/2024.",Sim,2024,RQS
5905,163744,"Requer urgência para o Projeto de Lei nº 1.958/2021, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal.",Não,2024,RQS
5905,163140,Requer a oitiva da Comissão de Assuntos Econômico sobre o Projeto de Lei Complementar nº 233/2023.,Sim,2024,RQS
5905,162270,"Requer, pela liderança do Podemos, destaque para votação em separado da Emenda nº 1 ao Projeto de Lei nº 4.358/2023.",Sim,2024,RQS
5905,141666,"Destaque para votação em separado do texto enviado pelo Senado Federal para modificar o inciso III do Artigo 2º, § 9º, do da Lei nº 13.982, de 2 de abril de 2020, constante do PL 873/2020-SCD.",Sim,2020,RQS
5905,139519,"Urgência para os seguintes projetos: PRS 51/2019, PRS 34/2018, PRS 39/2019, PRS 44/2019, PRS 55/2019, PRS 64/2019, PRS 4/2019, PRS 17/2019, PRS 6/2019 e PRS 23/2018.",Não,2019,RQS
5905,139291,"Calendário especial para a Proposta de Emenda à Constituição nº 95, de 2019.",Não,2019,RQS
5905,138506,Urgência para o PRS 9/2015.,Sim,2019,RQS
5905,143132,Adição de assinatura ao RQS nº 1206/2020.,Sim,2020,RQS
5905,143114,"Realização de sessão de debates temáticos, em data a ser agendada, a fim de discutir o Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe).",Não,2020,RQS
5905,140520,"Urgência para o PL nº 23, de 2020.",Não,2020,RQS
5905,140172,Urgência para o PL 6389/2019 (Substitutivo-CD).,Não,2019,RQS
5905,138505,"Urgência para o Projeto de Resolução nº 75, de 2019.",Não,2019,RQS
5905,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
5905,162238,"Requer que sejam prestadas, pelo Senhor Diretor Presidente da Braskem, Roberto Bischoff, informações sobre o Termo de Acordo para Apoio na Desocupação das Áreas de Risco firmado em 2020.",Sim,2024,REQ
5905,163292,"Requer informações ao Senhor Geraldo Alckmin, Ministro de Estado do Desenvolvimento, Indústria, Comércio e Serviços, sobre a adoção de nova interpretação do art. 2º do Decreto nº 9.557, de 8 de novembro de 2018 com o fito de vedar a hipótese de importação por encomenda para cotas de importação de veículos eletrificados apenas a partir da Portaria Secex nº 291, de 22 de dezembro de 2023, a despeito do histórico do Portarias Secex antecedentes que autorizam a prática sob a vigência do referido decreto, por parte da Secretaria de Comércio Exterior (SECEX) do Ministério de Estado do Desenvolvimento, Indústria, Comércio e Serviços.",Sim,2024,RQS
5905,162512,"Requer licença para desempenhar missão oficial, a fim de participar da Sessão Ordinária do Grupo de Parlamentares da América Latina e Caribe, e da 148ª Assembleia da União Interparlamentar, em Genebra, Suíça.",Sim,2024,REQ
5905,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5905,163005,"Requer a realização de audiência pública, com o objetivo de debater a “V Conferência Nacional de Ciência, Tecnologia e Inovação”, a ser realizada no período de 4 a 6 de junho de 2024, na cidade de Brasília, Distrito Federal.",Sim,2024,REQ
5905,164368,"Requer licença para desempenhar missão oficial, a fim de participar do Smart City Expo LATAM Congress em Yucatán, México.",Sim,2024,REQ
5905,162819,"Modifica o art. 231 da Constituição Federal, para permitir aos índios produzir e comercializarem livremente sua produção e prever a obrigação da União de prestar-lhes auxílio técnico.",Não,2024,PEC
5905,164058,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, sem ônus para o Senado Federal.",Sim,2024,REQ
5905,163676,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater sobre as medidas de segurança em instalações de estações de recarga para veículos elétricos.",Sim,2024,REQ
5905,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
5905,162996,"Altera a Lei nº 10.406, de 10 de janeiro de 2002, para disciplinar a declaração de guarda sobre animal de estimação.",Sim,2024,PL
5905,163316,"Requer licença para desempenhar missão oficial, a fim de participar da Imersão e-Gov Conference 2024, na Estônia e Finlândia.",Sim,2024,REQ
5905,164388,"Altera a Lei nº 9.612, de 19 de fevereiro de 1998, para estabelecer que as autorizações para a execução do serviço de radiodifusão comunitária tenham vigência sem termo final.",Sim,2024,PL
5905,162284,"Cria a Comissão Mista Permanente para Proteção de Dados, Inteligência Artificial e Segurança Cibernética (CMCIBER) e dá outras providências.",Não,2024,PRN
5905,162240,"Requer a realização de diligências necessárias in loco, com comissão formada por com membros desta CPI.",Sim,2024,REQ
5905,162239,"Requer que sejam prestadas, pelo Senhor Diretor Presidente da Braskem, Roberto Bischoff, informações sobre a situação atual das minas.",Sim,2024,REQ
5905,164334,Requer a realização de Sessão Especial destinada a celebrar os 110 anos do Comitê Olímpico do Brasil.,Não,2024,RQS
5905,162684,"Dispõe sobre a possibilidade de concessão de bônus aos candidatos em processos seletivos para ingresso nas universidades federais e na Rede Federal de Educação Profissional, Científica e Tecnológica.",Sim,2024,PL
5905,163740,Sugere ao Ministério da Fazenda a prorrogação do Programa Desenrola Brasil.,Sim,2024,INS
5905,163679,"Requer a realização de audiência pública, com o objetivo de debater sobre as medidas de segurança em instalações de estações de recarga para veículos elétricos.",Sim,2024,REQ
5905,162500,"Requer criação de Comissão Parlamentar de Inquérito, composta de 11 membros titulares e 7 membros suplentes, para, no prazo de 180 dias, apurar fatos relacionados às denúncias e suspeitas de manipulação de resultados no futebol brasileiro, envolvendo jogadores, dirigentes e empresas de apostas.",Não,2024,RQS
5905,161515,Requer licença,Sim,2023,REQ
5905,161538,"Sugere ao Ministério da Pesca e Aquicultura a celeridade e cumprimento da Recomendação nº. 33/2023 (em anexo), de modo a viabilizar o auxílio-financeiro aos pescadores/as e marisqueiras/os afetados pela interdição de parte da Lagoa Mundaú em Alagoas.",Sim,2023,INS
5905,161820,Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação.,Não,2023,PEC
5905,161379,"Sugere ao Ministério da Fazenda e ao Ministério do Desenvolvimento, Indústria, Comércio e Serviços a apresentação de proposição legislativa que preveja o Programa Desenrola Brasil Empresas.",Sim,2023,INS
5905,161318,Requer oitiva da Comissão de Segurança Pública sobre o PL 2234/2022.,Não,2023,RQS
5905,161317,Requer oitiva da Comissão de Assuntos Sociais sobre o PL 2234/2022.,Não,2023,RQS
5905,161316,Requer oitiva da Comissão de Assuntos Econômicos sobre o PL 2234/2022.,Não,2023,RQS
5905,161269,Dispõe sobre o regime jurídico aplicável ao Banco Central.,Não,2023,PEC
5905,161432,"Requer urgência para MSF 94/2023, nos termos do art. 336, II, do Regimento Interno do Senado Federal.",Sim,2023,REQ
5905,160692,"Recurso em resposta à decisão da Presidência acerca da Questão de Ordem formulada na sessão do dia 4 de outubro de 2023, em face do Requerimento nº 952, de 2023, que requer a constituição de Comissão Parlamentar de Inquérito para investigar os efeitos da responsabilidade jurídica socioambiental da empresa Braskem S.A decorrente do maior acidente ambiental urbano já constatado no País, Caso Pinheiro/Braskem, em Maceió, Alagoas.",Sim,2023,R.S
5905,161029,Requer licença dos trabalhos,Sim,2023,REQ
5905,160933,Altera as regras e o rito das súmulas vinculantes.,Não,2023,PEC
5905,160293,Requer que seja ouvida a Comissão de Assuntos Econômicos sobre o PL 4172/23.,Sim,2023,RQS
5905,160275,"Institui a Frente Parlamentar Mista da Inteligência Artificial, Tecnologia da Informação, Segurança Cibernética e Combate à Desinformação (Frente Parlamentar da Segurança Digital).",Não,2023,PRS
5905,160374,Atribui mandato de quinze anos e exigência de idade mínima de cinquenta anos aos Ministros do Supremo Tribunal Federal e promove modificações no processo de escolha dos membros dessa Corte e dos Tribunais Superiores.,Não,2023,PEC
5905,159977,"Sugere ao Conselho Nacional de Justiça a criação de proposta legislativa que instale, em todo o Brasil, Juizados Especiais de Crimes Cibernéticos.",Sim,2023,INS
5905,159976,Requer criação de Subcomissão que viabilize o surgimento dos Juizados Especiais de Crimes Cibernéticos.,Sim,2023,REQ
5905,160544,"Requer, nos termos do art. 58, § 3º, da Constituição Federal e do §1° do art. 76, combinado com o art. 152, do Regimento Interno do Senado Federal, a prorrogação por mais 57 (cinquenta e sete) dias da duração da Comissão Parlamentar de Inquérito criada a partir do Requerimento nº 292/2023 destinada a investigar a liberação, pelo Governo Federal, de recursos públicos para ONGs, e OSCIPs, bem como a utilização, por essas entidades, desses recursos e de outros por elas recebidos do exterior, a partir do ano de 2002 até a data de 1º de janeiro de 2023, a concentração desses recursos em atividades-meio, de forma a descumprir os objetivos para os quais esses recursos foram destinados originalmente, o desvirtuamento dos objetivos da ação dessas entidades, operando inclusive contra interesses nacionais, casos de abuso de poder, com intromissão dessas entidades em funções institucionais do poder público e a aquisição, a qualquer título, de terras por essas entidades.",Não,2023,RQS
5905,159933,"Altera o art. 101 da Constituição Federal, para determinar a realização de arguição pública, pelo Senado Federal, dos Ministros do Supremo Tribunal Federal a cada oito anos.",Não,2023,PEC
5905,159880,"Sugere ao Ministério da Justiça a adoção urgente de providências que revejam a promoção concedida aos militares envolvidos, investigados e réus pelo crime cometido contra Marcelo Leite.",Sim,2023,INS
5905,159851,Requer seja concedida licença.,Sim,2023,REQ
5905,160083,"Altera o inciso IV do art. 8º da Constituição Federal, para vedar, salvo prévia aquiescência individual dos membros das categorias profissionais e econômicas, a cobrança de contribuições de trabalhadores ou empregadores não filiados ao respectivo sindicato.",Não,2023,PEC
5905,160194,Dispõe sobre a realização de plebiscito para decidir sobre a legalização do aborto.,Não,2023,PDL
5905,159964,Altera as condições de elegibilidade por militares da ativa das Forças Armadas.,Não,2023,PEC
5905,160046,Requer REALIZAÇÃO DE AUDIÊNCIAS PÚBLICAS,Sim,2023,REQ
5905,159966,"Modifica o art. 95 da Constituição Federal, para dispor sobre a vedação dos magistrados de atuar em processos patrocinados direta ou indiretamente por cônjuges, companheiros ou parentes até o segundo grau.",Não,2023,PEC
5905,159924,Acrescenta o art. 124 ao Ato das Disposições Constitucionais Transitórias para aumentar temporariamente a parcela do produto da arrecadação dos impostos sobre renda e proventos de qualquer natureza e sobre produtos industrializados devida ao Fundo de Participação dos Municípios.,Não,2023,PEC
5905,159346,Requer inclusão de convidado em Audiência Pública,Sim,2023,REQ
5905,159144,"Requer que na realização das Audiências Públicas do GT da reforma tributária, nessa Comissão, seja incluído representante da Associação Brasileira das Operadoras de Turismo (BRAZTOA), Sr. Marcos Ferraz, na discussão da Proposta de Emenda à Constituição 45, de 2019, que altera o Sistema Tributário Nacional e dá outras providências.",Sim,2023,REQ
5905,159327,"Requer, nos termos dos arts. 336, II, e 338, II, do Regimento Interno do Senado Federal, urgência para o PL 2801/2022.",Não,2023,RQS
5905,159332,"Requer, nos termos do art. 58, § 2°, V, da Constituição Federal, que seja convidado representante das Empresas 123 Milhas e Hurb, a comparecer a esta Comissão, a fim de prestar informações sobre o cancelamento geral de pacotes já vendidos aos clientes pelas duas empresas.",Sim,2023,REQ
5905,159040,Requer a realização de Sessão Especial a fim de comemorar o Dia da Educação Profissional e Tecnológica.,Não,2023,RQS
5905,159093,Altera o Sistema Tributário Nacional.,Não,2023,PEC
5905,158529,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater a urgente revisão, dos valores da tabela SUS aplicável aos serviços de hemodiálise, em todo o Brasil, com vistas a adotar uma política contínua de equilíbrio de forma a permitir a retomada dos investimentos, garantindo a sustentabilidade financeira dos serviços conveniados ao SUS. Propõe para a audiência a presença dos seguintes convidados:  representante Ministério da Saúde; representante Ministério da Gestão e da Inovação em Serviços Públicos; representante Associação Brasileira dos Centros de Diálise e Transplante - ABCDT; representante Sociedade Brasileira de Nefrologia - SBN; representante Associação dos Renais Crônicos de Alagoas - Arcal;  representante Conselho Nacional de Secretários de Saúde - Conass; representante Procuradoria Geral da República - PGR; e representante Defensoria Pública da União - DPU.",Sim,2023,REQ
5905,158574,"Altera o art. 62 da Constituição Federal, para dispor sobre o procedimento de apreciação de medidas provisórias pelo Congresso Nacional.",Não,2023,PEC
5905,158568,"Acrescenta § 8º ao art. 218 da Constituição Federal, estabelecendo o incremento gradual do montante aplicado em ciência, tecnologia e inovação até, no mínimo, 2,5% do produto interno bruto.",Não,2023,PEC
5905,158511,"Sugere ao Supremo Tribunal Federal a criação de proposta legislativa que instale, em todo o Brasil, Juizados Especiais de Crimes Cibernéticos.",Sim,2023,INS
5905,158584,"Dá nova redação ao § 4º do art. 225 da Constituição Federal para incluir a Caatinga, o Cerrado e o Pampa entre os biomas considerados patrimônio nacional.",Não,2023,PEC
5905,158235,Requer a realização de Sessão Especial em homenagem ao Dia do Maçom,Não,2023,RQS
5905,158816,"Estabelece diretrizes para o uso de imagens e áudios de pessoas falecidas por meio de inteligência artificial (IA), com o intuito de preservar a dignidade, a privacidade e os direitos dos indivíduos mesmo após sua morte.",Sim,2023,PL
5905,158546,"Requer, nos termos do art. 222 do Regimento Interno do Senado Federal, inserção em ata de voto de aplauso aos servidores públicos da administração direta do Ministério da Educação (MEC) em favor da implementação de políticas de valorização profissional, planos de cargos, carreiras e salários, e, de igual modo, pelo trabalho que desempenham, há décadas, com dedicação e esmero, em favor do aprimoramento da gestão dos órgãos públicos da educação e redesenho da governança entre União, Estados e municípios, dentro de um Sistema Nacional de Educação (SNE), dimensões que exigem um MEC muito mais fortalecido em termos de capacidades institucionais e profissionalização de seu corpo técnico.",Não,2023,REQ
5905,158072,Requer a retirada de tramitação do PL 2935/2023.,Sim,2023,RQS
5905,158089,Requer licença missão,Sim,2023,REQ
5905,157843,"Requer aditamento ao Requerimento 5/2023-CCT, para inclusão de convidados na Audiência Pública sobre a adoção e incentivo à eletromobilidade no Brasil.",Sim,2023,REQ
5905,157940,"Altera a Lei nº 8.429, de 2 de junho de 1992, para tipificar como improbidade administrativa a omissão de agente público em atender decisão judicial definitiva relativa a obrigação de prestar quanto a políticas públicas.",Sim,2023,PL
5905,157939,"Prevê metas para redução da pobreza e da pobreza extrema, e institui o Programa de Responsabilidade Social.",Sim,2023,PL
5905,157253,"Requer licença para desempenho de missão, com ônus para o Senado Federal, em Mountainview, Califórnia, e Miami, Flórida.",Sim,2023,REQ
5905,157250,Requer a realização de Sessão Especial SINDJUS – DF,Não,2023,RQS
5905,157131,"Requer a criação de Comissão Parlamentar Mista de Inquérito, composta de 15 (quinze) Senadores e 15 (quinze) deputados, e igual número de suplentes, para, no prazo de 180 (cento e oitenta) dias, investigar os atos de ação e omissão ocorridos no dia 08 de janeiro de 2023 nas Sedes dos Três Poderes da República, em Brasília, nos termos dos arts. 58 da Constituição Federal e 21 do Regimento Comum do Congresso Nacional.",Não,2023,RQN
5905,157447,"Requer, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal, urgência para o PRS 11/2023.",Não,2023,RQS
5905,157372,"Acrescenta o art. 149-B à Constituição Federal, para criar a contribuição em restituição ao financiamento estudantil, espécie de tributo que poderá ser instituído por lei específica e destinada a viabilizar sistemas de financiamento com pagamentos vinculados à renda futura.",Não,2023,PEC
5905,157503,Concede isenção do Imposto sobre Produtos Industrializados (IPI) aos veículos elétricos ultracompactos de fabricação nacional.,Sim,2023,PL
5905,157146,"Acrescenta a alínea “f” ao inciso VI do art. 150 da Constituição Federal, tornando imunes a impostos os medicamentos destinados ao uso humano.",Sim,2023,PEC
5905,157501,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para assegurar o direito dos alunos da educação básica à assistência oftalmológica.",Sim,2023,PL
