codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5732,136274,Calendário Especial para tramitação da PEC 61/2015.,Sim,2019,RQS
5732,144024,"Destaque para votação em separado, da expressão “destinados à educação e à saúde, nos termos do artigo 2º. da Lei 12.858, de 9 de setembro de 2013”, do PL nº 3975/2019 (ECD).",Sim,2020,RQS
5732,143407,"Destaque para votação em separado da Emenda nº 8-PLEN, apresentada ao PLP nº 9/2020.",Sim,2020,RQS
5732,142001,"Destaque para votação em separado da Emenda nº 10-PLEN, oferecida ao PL 2324/2020.",Sim,2020,RQS
5732,141772,"Destaque para votação em separado, do inciso IV, do § 1º, do art. 65, da Lei Complementar nº 101, de 2000,constante do art. 7º, com a redação dada pelo Substitutivo apresentado ao Projeto de Lei Complementar nº 149, de 2019.",Sim,2020,RQS
5732,140909,Urgência para o PL 6395/2019,Não,2020,RQS
5732,140207,"Calendário especial para a Proposta de Emenda à Constituição nº 48, de 2019.",Não,2019,RQS
5732,139990,Urgência para o Projeto de Lei nº 6176/2019 (Substitutivo-CD).,Não,2019,RQS
5732,139629,Urgência para o PL 1615/2019.,Não,2019,RQS
5732,139726,"Calendário Especial para a Proposta de Emenda à Constituição nº 75, de 2019.",Não,2019,RQS
5732,139291,"Calendário especial para a Proposta de Emenda à Constituição nº 95, de 2019.",Não,2019,RQS
5732,139287,Urgência para o PDL 28/2019.,Não,2019,RQS
5732,138505,"Urgência para o Projeto de Resolução nº 75, de 2019.",Não,2019,RQS
5732,137126,Urgência para o Projeto de Lei nº 3261/2019.,Não,2019,RQS
5732,137162,Urgência para o PLS 26/2014-Complementar,Não,2019,RQS
5732,136607,Urgência para o PLS 163/2018-Complementar.,Não,2019,RQS
5732,136668,Urgência para o Projeto de Decreto Legislativo nº 219/2019.,Não,2019,RQS
5732,137071,"Calendário Especial para a PEC nº 51, de 2019.",Não,2019,RQS
5732,136257,Urgência para o PL 1321/2019.,Não,2019,RQS
5732,135667,"Realização de sessão de debates temáticos, no mês de abril, destinada a debater os problemas do sistema penitenciário brasileiro e apresentar possíveis soluções.",Não,2019,RQS
5732,126775,"Requer, nos termos do art. 132-A, da Resolução nº 01/2006, do Congresso Nacional, destaque para votação em separado da Emenda nº 37510012, apresentada ao PLN 2, de 2016 - LDO.",Sim,2016,RQN
5732,164599,"Institui o Programa de Pleno Pagamento de Dívidas dos Estados (Propag), destinado a promover a revisão dos termos das dívidas dos Estados e do Distrito Federal com a União firmadas no âmbito da Lei nº 9.496, de 11 de setembro de 1997, e das Leis Complementares nos 159, de 19 de maio de 2017, 178, de 13 de janeiro de 2021, e 201, de 24 de outubro de 2023 e prevê instituição de fundo de equalização federativa.",Sim,2024,PLP
5732,164392,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
5732,163378,Requer realização de Sessão de Debates Temáticos destinada a discutir a atual situação financeiro-orçamentária dos Municípios brasileiros. ,Sim,2024,RQS
5732,163999,Institui Comissão de Juristas responsável pela elaboração de anteprojeto de Lei do Processo Estrutural no Brasil.,Sim,2024,ATS
5732,164427,"Requeiro, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal, em face do que dispõe o art. 55, III, da Constituição Federal, licença para desempenhar missão política ou cultural de interesse parlamentar, sem ônus para o Senado Federal, em Brasília, DF, de 03/07/2024 a 04/07/2024, a fim de cumprir agenda como Presidente do Senado Federal na Residência Oficial.",Sim,2024,REQ
5732,162369,Requer a realização de Sessão Especial destinada a celebrar os 200 anos de criação do Senado Federal brasileiro.,Sim,2024,RQS
5732,162126,Sessão Solene destinada a comemorar os 35 anos da criação e instalação do Superior Tribunal de Justiça.,Sim,2024,REQ
5732,163350,"Requer inserção em ata de Monção de apoio à Senadora Mara Gabrilli, pela candidatura ao Comitê sobre os Direitos das Pessoas com Deficiência da ONU (CRPD), nos termos do art. 222 do Regimento Interno do Senado Federal.",Não,2024,RQS
5732,162979,Requer realização de Sessão de Debates Temáticos destinada a discutir o anteprojeto elaborado pela Comissão de Juristas responsável pela revisão e atualização do Código Civil. ,Sim,2024,RQS
