codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5322,124116,Fixa alíquota máxima para cobrança do Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS) incidente nas operações internas com querosene de aviação.,Não,2015,PRS
5322,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
5322,162066,"Requer a realização de Sessão de Debates Temáticos destinada a discutir o objeto da Proposta de Emenda Constitucional (PEC) 42/2023, que trata das condições de elegibilidade por militares da ativa das Forças Armadas.",Não,2024,RQS
5322,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
5322,162259,"Requer realização de Sessão Especial a fim de conscientizar a população quanto ao ""Dia Internacional da Síndrome de Down"".",Sim,2024,RQS
5322,162127,Requer a realização de Sessão Especial destinada a celebrar o Dia Mundial da Conscientização sobre o Autismo.,Não,2024,RQS
5322,163837,"Requer que o Projeto de Lei n° 5.066, de 2020, deliberado terminativamente pela Comissão de Infraestrutura, seja apreciado pelo Plenário do Senado Federal.",Não,2024,R.S
5322,164396,"Altera as Leis nos 13.431, de 4 de abril de 2017, e 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para prever a imediata adoção de medida protetiva de urgência, consistente no distanciamento entre o agressor e a criança ou adolescente vítima de violência.",Sim,2024,PL
5322,164395,"Altera a Lei nº 9.656, de 3 de junho de 1998, para dispor sobre a fiscalização, o controle e a regulamentação da garantia da cobertura assistencial não incluída no rol de procedimentos e eventos em saúde suplementar.",Sim,2024,PL
5322,162818,Altera o art. 6º da Constituição Federal para determinar que a cultura é um direito social.,Não,2024,PEC
5322,162375,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater e conscientizar sobre o Dia Internacional da Síndrome de Down e o tema da campanha da ONU do ano de 2024, o qual é: ""Chega de estereótipos, abaixo o Capacitismo"".",Sim,2024,REQ
5322,164369,Requer o fornecimento de relatório de suspeita de manipulação de resultados produzido pela empresa SPORTRADAR AG,Sim,2024,REQ
5322,163402,Requer que seja justificada ausência nos dias 23 e 24 de abril de 2024,Sim,2024,REQ
5322,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
5322,162999,"Acrescenta o art. 4°-A à Lei n° 9.029, de 13 de abril de 1995, para dispor sobre a dispensa de empregado portador de doença grave ou que suscite estigma ou preconceito.",Sim,2024,PL
5322,162034,Requer a realização de Sessão Especial destinada a celebrar o Dia do Profissional de Educação Física.,Não,2024,RQS
5322,163078,"Requer fornecimento de informações pela empresa SPORTRADAR AG, em relação aos alertas de suspeita de manipulação de resultados envolvendo partidas de futebol de campeonatos disputados no Brasil",Sim,2024,REQ
5322,162032,Requer a realização de Sessão Especial destinada a celebrar o Dia do Professor.,Não,2024,RQS
5322,163967,Requer realização de Sessão de Debates Temáticos destinada a discutir a regulamentação do uso da inteligência artificial no Brasil.,Não,2024,RQS
5322,163828,Altera o art. 6º da Constituição Federal para incluir o esporte como direito social.,Não,2024,PEC
5322,162284,"Cria a Comissão Mista Permanente para Proteção de Dados, Inteligência Artificial e Segurança Cibernética (CMCIBER) e dá outras providências.",Não,2024,PRN
5322,164687,"Acrescenta o § 3° ao art. 136 da Consolidação das Leis do Trabalho, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para permitir que o empregado que tenha filho com deficiência possa fazer coincidir suas férias com as férias ou recessos escolares de seu filho.",Sim,2024,PL
5322,163002,"Institui diretrizes, estratégias e ações para o programa de atenção e orientação às mães atípicas – Cuidando de quem Cuida.",Sim,2024,PL
5322,163001,"Altera a Lei nº 6.360, de 23 de setembro de 1976, que dispõe sobre a Vigilância Sanitária a que ficam sujeitos os Medicamentos, as Drogas, os Insumos Farmacêuticos e Correlatos, Cosméticos, Saneantes e Outros Produtos, e dá outras providências, para determinar a obrigatoriedade da aposição de alerta nas bulas de medicamentos advertindo o atleta sobre a necessidade de observar a lista de substâncias e métodos proibidos antes de consumir medicamentos.",Sim,2024,PL
5322,163000,"Altera a Lei nº 13.303, de 30 de junho de 2016, para estabelecer a igualdade proporcional e o tratamento isonômico nos convênios e contratos de patrocínio a atletas e equipes esportivas realizados por empresas públicas ou sociedades de economia mista, garantindo a distribuição equitativa de recursos entre modalidades esportivas masculinas e femininas.",Sim,2024,PL
5322,162992,"Altera a Lei nº 8.212, de 24 de julho de 1991, para estabelecer alíquota diferenciada de contribuição aos beneficiários do Benefício de Prestação Continuada.",Sim,2024,PL
5322,162280,Requer a realização de Sessão Especial destinada a celebrar os 45 anos de criação da Associação Nacional dos Procuradores e das Procuradoras do Trabalho - ANPT.,Não,2024,RQS
5322,163249,Requer a realização de Sessão Especial destinada a celebrar os 20 anos do Serviço de Atendimento Móvel de Urgência – SAMU e homenagear todos os profissionais que prestam serviços nesse importante equipamento de saúde pública no Brasil.,Não,2024,RQS
