codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6331,155808,"Desarquivamento das seguintes proposições: PRS 10/2016, PLS 183/2016, PLS 277/2016, PLS 275/2016, PLS 279/2016, PEC 34/2016, PLS 316/2016, PLS 444/2016, PLS 29/2017, PLS 170/2017, PLS 171/2017, PLS 187/2017, PLS 211/2017, PLS 266/2017, PLS 265/2017, PLS 262/2017, PLS 263/2017, PLS 300/2017, PLS 338/2017, PLS 339/2017, PEC 36/2017, PFS 2/2017, PLS 469/2017, PLS 509/2017, PLS 225/2018, PEC 10/2018, PLS 335/2018, PDS 139/2018, PLS 461/2018, PLS 460/2018, PLS 294/2016, PLS 26/2015, PLS 67/2015, PLS 69/2015, PLS 65/2015, PLS 66/2015, PLS 63/2015, PLS 73/2015, PLS 71/2015, PLS 64/2015, PLS 219/2015, PLS 278/2015, PLS 322/2015, PLS 354/2015, PLS 412/2015, PLS 506/2015, PLS 510/2015, PLS 528/2015, PRS 42/2015, PLS 703/2015, PLS 704/2015, PLS 758/2015, PLS 72/2015, PLS 279/2015.",Não,2023,RQS
6331,164595,Requer adiamento da discussão do PL 1071/2021.,Sim,2024,REQ
6331,162070,Requer a realização de Sessão Especial destinada a celebrar o Dia do Jovem Candango e os 11 anos do Programa Jovem Candango.,Não,2024,RQS
6331,162071,"Requer a realização de Sessão Especial destinada a celebrar, em 15 de outubro de 2024, o bicentenário da Magistratura de Paz no Brasil, bem como reconhecer e valorizar o esforço laboral dos Juízes de Paz, cuja atuação desempenha papel de fundamental relevância na administração da justiça.",Não,2024,RQS
6331,164682,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para inserir regra de unificação de penas para concurso de crimes contra as instituições democráticas.",Sim,2024,PL
6331,162750,Requer a realização de Sessão Especial destinada a celebrar os 45 anos de regulamentação da Profissão de Biólogo.,Não,2024,RQS
6331,162299,Requer a realização de Sessão Especial destinada a celebrar o Dia Mundial das Águas.,Não,2024,RQS
6331,163289,Requer a realização de Sessão Especial destinada a homenagear os Servidores Públicos do Senado Federal.,Não,2024,RQS
6331,164019,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, sem ônus para o Senado Federal, em São Paulo, em 11/06/2024.",Sim,2024,REQ
6331,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
6331,163131,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 10/2024 - CSP, sejam incluídos os seguintes convidados: o Senhor Haroldo Caetano, Promotor de Justiça do Estado de Goiás; e representante do Conselho Federal de Psicologia (CFP).",Sim,2024,REQ
6331,163090,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,Não,2024,PRN
6331,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
6331,163369,Solicita que a Emenda n° 4-CCJ ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
6331,162055,"Requer a realização de audiência com o objetivo de, em reunião de caráter secreto, debater a realidade atual do sistema penitenciário federal brasileiro, com vistas a esclarecer a respeito de dados, políticas aplicadas, inteligência e fragilidades que envolvam tal situação, em especial quanto à recente fuga do presídio de segurança máxima em Mossoró (RN), ocorrida no dia 14 de fevereiro deste ano.",Sim,2024,REQ
6331,164635,"Requer urgência para o Projeto de Lei nº 715/2023, nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
6331,162751,Requer realização de Audiência Pública CRE convite María Corina,Não,2024,REQ
6331,162819,"Modifica o art. 231 da Constituição Federal, para permitir aos índios produzir e comercializarem livremente sua produção e prever a obrigação da União de prestar-lhes auxílio técnico.",Não,2024,PEC
6331,162107,"Requer a convocação, perante o Plenário, do Senhor Mauro Vieira, Ministro de Estado das Relações Exteriores, para prestar informações sobre os possíveis impactos internacionais decorrente das recentes declarações do Presidente da República que comparam a contraofensiva militar israelense na Faixa de Gaza ao Holocausto, e as possíveis medidas a serem adotadas pelo Itamaraty para remediar a situação diplomática",Não,2024,RQS
6331,162326,"Requeiro, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de discutir as diretrizes e os procedimentos que estão sendo adotados pelo Ministério da Justiça e Segurança Pública e pelo Ministério dos Povos Indígenas, em especial pela Fundação Nacional dos Povos Indígenas (FUNAI), a respeito dos processos de demarcação de terras indígenas no país após a aprovação do marco temporal pelo Congresso Nacional no final de 2023.
Proponho para a audiência a presença dos seguintes convidados: 
• a Senhora Maria Janete Albuquerque de Carvalho, Diretora de Proteção Territorial da Fundação Nacional dos Povos Indígenas;
• a Senhora Nina Paiva Almeida, Coordenadora-Geral de Identificação e Delimitação da Fundação Nacional dos Povos Indígenas;
• a Senhora Sheila Santana de Carvalho, Secretária de Acesso à Justiça do Ministério da Justiça e Segurança Pública;
• o Senhor Heraldo Trento, Prefeito de Guaíra/PR; 
• o Senhor Klauss Dias Kuhnen, Procurador Jurídico da Federação da Agricultura do Estado do Paraná (FAEP).",Sim,2024,REQ
6331,162190,Requer Audiência Pública para discutir o PL 836/2021,Não,2024,REQ
6331,163043,"Altera o art. 146, § 3º, II, da Constituição Federal para corrigir o tratamento injusto concedido pela reforma tributária às microempresas, às empresas de pequeno porte e aos microempreendedores individuais.",Não,2024,PEC
6331,163547,Interposição de Recurso contra decisão terminativa de Comissão sobre o Projeto de Lei n° 1958/2021.,Não,2024,R.S
6331,163790,"Requer a realização de audiência pública, com o objetivo de instruir o PL 226/2024.",Sim,2024,REQ
6331,162066,"Requer a realização de Sessão de Debates Temáticos destinada a discutir o objeto da Proposta de Emenda Constitucional (PEC) 42/2023, que trata das condições de elegibilidade por militares da ativa das Forças Armadas.",Não,2024,RQS
6331,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
6331,163968,Requer a realização de Sessão Especial destinada a homenagear o Fórum Brasileiro da Educação Particular (Brasil Educação) pelos relevantes serviços prestados por suas instituições representadas para o desenvolvimento da Educação no Brasil.,Não,2024,RQS
6331,162034,Requer a realização de Sessão Especial destinada a celebrar o Dia do Profissional de Educação Física.,Não,2024,RQS
6331,162033,Requer a realização de Sessão Especial destinada a celebrar o Dia do Policial Penal.,Não,2024,RQS
6331,162032,Requer a realização de Sessão Especial destinada a celebrar o Dia do Professor.,Não,2024,RQS
6331,163967,Requer realização de Sessão de Debates Temáticos destinada a discutir a regulamentação do uso da inteligência artificial no Brasil.,Não,2024,RQS
6331,162624,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater acerca da política antimanicomial e as medidas tomadas pelo poder público para atendimento e acolhimento das pessoas com transtornos mentais, ante a produção de efeitos da Resolução nº 487, de 2023, do Conselho Nacional de Justiça - CNJ, que determinou o fechamento de todos os manicômios judiciários até maio de 2024.",Sim,2024,REQ
6331,162358,"Requer urgência para o Projeto de Lei nº 6.007/2023 (Substitutivo-CD), nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
6331,163012,"Requer a realização de audiência pública para instruir a PEC nº 28, de 2022.",Sim,2024,REQ
6331,162284,"Cria a Comissão Mista Permanente para Proteção de Dados, Inteligência Artificial e Segurança Cibernética (CMCIBER) e dá outras providências.",Não,2024,PRN
6331,162249,"Requer adição de assinatura ao REQ 8/2024 - CAE, de autoria do Senador Jaime Bagattoli.",Sim,2024,REQ
6331,162140,Requer voto de solidariedade ao Estado de Israel e ao povo judeu em face das declarações distorcidas e cruéis do Presidente Lula.,Não,2024,RQS
6331,162113,Altera o art. 53 da Constituição Federal para dispor sobre as inviolabilidades parlamentares dos Deputados e Senadores.,Não,2024,PEC
6331,162031,Requer a realização de Sessão Especial para celebrar o Dia Internacional da Mulher.,Não,2024,RQS
6331,162030,Requer a realização de Sessão Especial para celebrar o 64º aniversário de Brasília.,Não,2024,RQS
6331,163663,Dá nova redação ao § 4º do art. 225 da Constituição Federal para incluir entre os patrimônios nacionais o Pantanal Sul-Mato-Grossense.,Não,2024,PEC
6331,162106,"Requer voto de repúdio ao Presidente da República, Luís Inácio Lula da Silva, pela declaração que comparou a ação militar de Israel contra o Hamas na Faixa de Gaza ao assassinato em massa de judeus liderado por Adolf Hitler durante a 2ª Guerra Mundial.",Não,2024,RQS
6331,162059,"Requer, em aditamento ao Requerimento nº 1.046, de 2023, a inclusão de convidados na Sessão de Debates Temáticos com o objetivo de discutir a obrigatoriedade de vacinação contra Covid-19 em crianças, em virtude de inclusão da vacina no Programa Nacional de Imunização – PNI.",Não,2024,RQS
6331,162081,"Requer a realização de Sessão Especial destinada a celebrar os 40 anos das ""Diretas Já!"".",Não,2024,RQS
6331,162978,"Acrescenta o art. 180-A à Constituição Federal, a fim de fomentar o setor turístico, e altera o inciso IV do art. 167, para garantir a destinação dos recursos que especifica.",Não,2024,PEC
6331,162620,"Altera a Constituição Federal, para dispor sobre os órgãos e as competências da Justiça Militar da União e das Justiças Militares estaduais.",Não,2024,PEC
6331,164104,Requer realização de Sessão de Debates Temáticos destinada a discutir as Políticas Públicas para prevenção e tratamento do câncer de pulmão.,Não,2024,RQS
6331,163287,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de instruir o PL 285/2024, que “altera a Lei nº 7.102, de 20 de junho de 1983, que dispõe sobre segurança para estabelecimentos financeiros, estabelece normas para constituição e funcionamento das empresas particulares que exploram serviços de vigilância e de transporte de valores, e dá outras providências, para tornar obrigatória a utilização de câmeras nos fardamentos dos profissionais de segurança privada”.",Sim,2024,REQ
6331,162888,Requer a realização de Sessão Especial destinada a celebrar os 200 anos da igreja luterana no Brasil.,Não,2024,RQS
6331,164078,"Requer realização de Sessão de Debates Temáticos destinada a discutir a participação do Brasil como país sede da 30ª Conferência das Partes (COP 30) da Convenção-Quadro das Nações Unidas sobre a Mudança do Clima, a ser realizada na cidade de Belém, no Pará, em 2025.",Não,2024,RQS
