codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5988,147948,"Realização de Sessão de Debates Temáticos a fim de discutir os parâmetros técnicos e regulatórios no processo de reavaliação do produto Paraquat, bem como as ""medidas de mitigação” exigidas para seu uso seguro no campo nos países que especifica.",Sim,2021,RQS
5988,163937,Requer a oitriva da Comissão de Assuntos Econômicos sobre o Projeto de Lei nº 914/2024.,Não,2024,RQS
5988,162940,"Requer voto de repúdio ao Sr. Ciro Ferreira Gomes, por suas declarações preconceituosas, misóginas e agressivas contra a Senadora Janaína Farias.",Não,2024,RQS
5988,164389,"Altera os arts. 213 e 217-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar imprescritível o crime de estupro.",Não,2024,PL
5988,163577,"Altera o art. 155 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para considerar qualificado o furto praticado durante situação de calamidade pública.",Sim,2024,PL
5988,162197,Requer licença para tratar da saúde,Sim,2024,REQ
5988,164283,"Requer a realização de Sessão Especial destinada a celebrar o Dia Internacional da Mulher Negra Latino-Americana e Caribenha e o Dia Nacional de Tereza de Benguela e da Mulher Negra, celebrados em 25 de julho, com a celebração do Acordo de Cooperação Técnica entre o Ministério da Igualdade Racial e o Senado Federal.",Não,2024,RQS
5988,163807,Institui o Diploma Empresa Ideal e dá outras providências.,Sim,2024,PRS
5988,163803,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 54/2024 - CAS seja incluída a convidada que especifica.",Sim,2024,REQ
5988,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
5988,162497,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, em conjunto com a Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor e a Comissão de Assuntos Econômicos, com o objetivo de instruir o PL 5008/2023, que “dispõe sobre a produção, importação, exportação, comercialização, controle, fiscalização e propaganda dos cigarros eletrônicos, e dá outras providências”.",Sim,2024,REQ
5988,164710,Requer a realização de diligência no estado do Mato Grosso do Sul para visitar in loco a situação do Pantanal sul mato-grossense.,Sim,2024,REQ
5988,162818,Altera o art. 6º da Constituição Federal para determinar que a cultura é um direito social.,Não,2024,PEC
5988,162553,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, a realização de audiência pública, em conjunto com a Comissão de Assuntos Econômicos e a Comissão de Assuntos Sociais, com o objetivo de instruir o PL 5008/2023, que “dispõe sobre a produção, importação, exportação, comercialização, controle, fiscalização e propaganda dos cigarros eletrônicos, e dá outras providências”.",Sim,2024,REQ
5988,162439,"Requer licença para exercer atividade parlamentar, no Japão, sem ônus para o Senado Federal.",Sim,2024,REQ
5988,163043,"Altera o art. 146, § 3º, II, da Constituição Federal para corrigir o tratamento injusto concedido pela reforma tributária às microempresas, às empresas de pequeno porte e aos microempreendedores individuais.",Não,2024,PEC
5988,162916,Institui o Grupo Parlamentar Brasil-República Tcheca.,Sim,2024,PRS
5988,162890,Requer a realização de Sessão Especial destinada a celebrar os 55 anos de existência da Embraer.,Não,2024,RQS
5988,163566,"Requeremos, nos termos do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do RQS 24/2024, com o objetivo de instruir o PL 5008/2023, que “dispõe sobre a produção, importação, exportação, comercialização, controle, fiscalização e propaganda dos cigarros eletrônicos, e dá outras providências”sejam incluídos os seguintes convidados:",Sim,2024,REQ
5988,163998,"Requerimento de licença saúde, nos termos do art. 43, I, do Regimento Interno do Senado.",Sim,2024,REQ
5988,164344,"Requer a realização de Sessão Especial em comemoração ao Dia do Advogado, celebrado em 11 de agosto.",Não,2024,RQS
5988,162099,"Altera os arts. 42, 93, 128 e 142 da Constituição Federal, para vedar o uso da aposentadoria como sanção quando do cometimento de infração disciplinar.",Não,2024,PEC
5988,164709,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 61/2024 - CE seja incluído convidado.",Sim,2024,REQ
5988,163967,Requer realização de Sessão de Debates Temáticos destinada a discutir a regulamentação do uso da inteligência artificial no Brasil.,Não,2024,RQS
5988,163770,Requer licença para desempenhar missão de interesse parlamentar na Itália.,Sim,2024,REQ
5988,162488,"Altera a Lei nº 10.826, de 22 de dezembro de 2003, para tipificar como crime a conduta daquele que porta arma de fogo sob a influência de álcool ou de qualquer outra substância psicoativa que determine dependência.",Sim,2024,PL
5988,162358,"Requer urgência para o Projeto de Lei nº 6.007/2023 (Substitutivo-CD), nos termos dos arts. 336, III, e 338, III, do Regimento Interno do Senado Federal.",Não,2024,RQS
5988,164464,"Acrescenta o art. 40-A ao Ato das Disposições Constitucionais Transitórias da Constituição Federal, para criar a Zona Franca do Rio Grande do Sul.",Não,2024,PEC
5988,163663,Dá nova redação ao § 4º do art. 225 da Constituição Federal para incluir entre os patrimônios nacionais o Pantanal Sul-Mato-Grossense.,Não,2024,PEC
5988,162420,"Requer que sejam prestadas, pelo Exmo. Sr. Diretor-Presidente da Agência Nacional de Saúde Suplementar (ANS), Paulo Rebello, informações sobre a venda da Amil, operadora de planos de saúde, que pertencia ao UnitedHealthGroup (UHG) e foi comprada pelo senhor José Seripieri Filho.",Sim,2024,REQ
5988,163576,"Susta a Resolução da Diretoria Colegiada nº 855, de 23 de abril de 2024, da Agência Nacional de Vigilância Sanitária, que proíbe a fabricação, a importação, a comercialização, a distribuição, o armazenamento, o transporte e a propaganda de dispositivos eletrônicos.",Sim,2024,PDL
5988,162620,"Altera a Constituição Federal, para dispor sobre os órgãos e as competências da Justiça Militar da União e das Justiças Militares estaduais.",Não,2024,PEC
5988,162867,"Requer licença para desempenhar missão oficial, a fim de participar da Segunda edição parlamentar anual do Global Innovations in Democracy em Washington, Estados Unidos.",Sim,2024,REQ
5988,164123,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para criminalizar a criação e divulgação de notícias falsas (fake news).",Sim,2024,PL
5988,162842,Altera a Constituição Federal para dispor sobre o atendimento ininterrupto das Defensorias Públicas para temas de saúde.,Não,2024,PEC
