codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
4560,117461,Estabelece alíquotas máximas do Imposto sobre Operações Relativas à Circulação de Mercadorias incidentes sobre a prestação de serviço de comunicação referente ao acesso à internet por conectividade em banda larga.,Não,2014,PRS
4560,164106,"Altera a Lei nº 11.265, de 3 de janeiro de 2006, que regulamenta a comercialização de alimentos para lactentes e crianças de primeira infância e também a de produtos de puericultura correlatos, para vedar a adição de qualquer quantidade de açúcares ou adoçantes nos alimentos para lactentes.",Sim,2024,PL
4560,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
4560,163659,"Requer licença para desempenhar missão oficial, a fim de participar da Missão Tecnológica e de Inovação à Itália, em Roma, Bolonha e Milão, Itália.",Sim,2024,REQ
4560,163115,"Altera a Lei nº 8.112, de 11 de dezembro de 1990, para estender o direito a auxílio-funeral aos servidores públicos que exercem cargo exclusivamente em comissão.",Sim,2024,PL
4560,164021,"Requer que na audiência pública objeto dos REQ 65/2024-CAS e 49/2024-CI, com o objetivo de instruir o PL 624/2023, que “institui o Programa Renda Básica Energética (Rebe); e altera as Leis nºs 10.438, de 26 de abril de 2002, 14.182, de 12 de julho de 2021, e 14.300, de 6 de janeiro de 2022”, seja incluído como convidado um representante do INEL - Instituto Nacional Energia Limpa.",Sim,2024,REQ
4560,164443,"Requer, nos termos do art. 58, § 2°, II e V, da Constituição Federal, que seja convidado o Exmo. Sr. Waldez Góes, Ministro de Estado da Integração e do Desenvolvimento Regional, a comparecer a esta Comissão, a fim de prestar informações sobre a reestruturação da SUDAM (Superintendência do Desenvolvimento da Amazônia).",Sim,2024,REQ
4560,162154,Requer a realização de Sessão Especial destinada a celebrar o aniversário de 34 anos da Companhia Nacional de Abastecimento - CONAB.,Sim,2024,RQS
4560,164013,"Requer, nos termos do art. 93, I, do Regimento Interno do Senado Federal, que na Audiência Pública objeto do REQ 65/2024 - CAS, com o objetivo de instruir o PL 624/2023, que “institui o Programa Renda Básica Energética (Rebe); e altera as Leis nº 10.438, de 26 de abril de 2002, 14.182, de 12 de julho de 2021, e 14.300, de 6 de janeiro de 2022”, seja incluído o convidado que especifica.",Sim,2024,REQ
4560,162804,"Requer, nos termos do art. 90, inciso XIII, e art. 142 do Regimento Interno do Senado Federal, a realização de diligência externa em Manaus - AM, com o objetivo de participar do ""Encontro Técnico das Comissões de Segurança Pública"" nos dias 11 e 12 de abril do corrente ano, a convite da Comissão de Segurança Pública da Assembleia Legislativa do Amazonas e da União Nacional dos Legisladores e Legislativos Estaduais - UNALE.",Sim,2024,REQ
4560,163350,"Requer inserção em ata de Monção de apoio à Senadora Mara Gabrilli, pela candidatura ao Comitê sobre os Direitos das Pessoas com Deficiência da ONU (CRPD), nos termos do art. 222 do Regimento Interno do Senado Federal.",Não,2024,RQS
4560,162468,"Requer a realização de Audiência Pública para instruir o Projeto de Lei nº 4336/2023, que ""Modifica o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para dispor sobre a concessão de medidas cautelares em desfavor de agentes titulares de foro por prerrogativa de função"".",Não,2024,REQ
4560,163990,Requer a retirada de tramitação do REQ 332/2024 - CDIR.,Sim,2024,REQ
