codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
6338,155958,Desarquivamento da PEC nº 7 de 2018.,Não,2023,RQS
6338,163673,"Altera o § 12 do art. 198 da Constituição Federal, para determinar que o piso salarial dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e das parteiras refere-se a uma jornada máxima de trabalho de trinta horas semanais.",Não,2024,PEC
6338,163932,Requer a realização de Audiência Pública discutir Democracia e Eleições: o impacto da Inteligência Artificial no contexto eleitoral brasileiro.,Sim,2024,REQ
6338,162940,"Requer voto de repúdio ao Sr. Ciro Ferreira Gomes, por suas declarações preconceituosas, misóginas e agressivas contra a Senadora Janaína Farias.",Não,2024,RQS
6338,164389,"Altera os arts. 213 e 217-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tornar imprescritível o crime de estupro.",Não,2024,PL
6338,164283,"Requer a realização de Sessão Especial destinada a celebrar o Dia Internacional da Mulher Negra Latino-Americana e Caribenha e o Dia Nacional de Tereza de Benguela e da Mulher Negra, celebrados em 25 de julho, com a celebração do Acordo de Cooperação Técnica entre o Ministério da Igualdade Racial e o Senado Federal.",Não,2024,RQS
6338,163207,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de celebrar o dia nacional da caatinga e debater sobre as ações contra a desertificação.",Sim,2024,REQ
6338,162077,"Requer, nos termos do art. 40 do Regimento Interno do Senado Federal, em face do que dispõe o art. 55, III, da Constituição Federal, licença para desempenhar missão no País, com ônus para o Senado Federal, em Porto de Galinhas (Pernambuco), de 27/02/2024 a 29/02/2024, a fim de participar do XXXV Congresso Brasileiro de Zoologia, promovido pela Sociedade Brasileira de Zoologia.",Sim,2024,REQ
6338,162759,"Requer, nos termos do art. 96-B do Regimento Interno do Senado Federal, que a Comissão de Educação e Cultura avalie a Política de regulação da oferta de cursos de graduação na modalidade de Educação à Distância, no exercício de 2024.",Sim,2024,REQ
6338,162074,"Requer, nos termos do art. 40 do Regimento Interno do Senado Federal, em face do que dispõe o art. 55, III, da Constituição Federal, licença para desempenhar missão no País, com ônus para o Senado Federal, em Porto de Galinhas (Pernambuco), de 26/02/2024 a 29/02/2024, a fim de participar do XXXV Congresso Brasileiro de Zoologia, promovido pela Sociedade Brasileira de Zoologia.",Sim,2024,REQ
