codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5899,135612,Desarquivamento da PEC 22/2017.,Não,2019,RQS
5899,164321,Requer inclusão de convidados para as futuras audiências públicas na CTIA.,Sim,2024,REQ
5899,162653,Dispõe sobre a impenhorabilidade das quotas-partes do capital social das instituições financeiras constituídas sob a forma de cooperativas de crédito e das confederações de serviço constituídas por cooperativas centrais de crédito.,Sim,2024,PL
5899,163571,Requer realização de Audiência Pública para instruir o PL 6086/2023,Sim,2024,REQ
5899,163739,Requer a retirada definitiva do Projeto de Lei nº 806/2024.,Sim,2024,RQS
5899,163371,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,Não,2024,PEC
5899,163300,"Autoriza regime extraordinário fiscal, financeiro e de contratações para atender necessidades decorrentes de calamidade pública ambiental regional ou local.",Não,2024,PEC
5899,162463,Requer a retirada definitiva do Projeto de Lei Complementar nº 14/2024.,Sim,2024,RQS
5899,162419,Dispõe sobre a impenhorabilidade das quotas-partes do capital social das instituições financeiras constituídas sob a forma de cooperativas de crédito e das confederações de serviço constituídas por cooperativas centrais de crédito.,Sim,2024,PLP
5899,162841,"Altera o art. 312 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) e o art. 1º do Decreto-Lei nº 201, de 27 de fevereiro de 1967, para tipificar o crime de peculato qualificado e hipótese qualificada, quando a apropriação, o furto ou o desvio for relativo a dinheiro, valor ou qualquer outro bem móvel destinado às áreas de educação, saúde ou seguridade social.",Sim,2024,PL
5899,162820,"Altera o art. 312 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) e o art. 1º do Decreto-Lei nº 201, de 27 de fevereiro de 1967, para tipificar o crime de peculato qualificado e hipótese qualificada, quando a apropriação, o furto ou o desvio for relativo a dinheiro, valor ou qualquer outro bem móvel destinado às áreas de educação, saúde ou seguridade social.",Sim,2024,PL
5899,163350,"Requer inserção em ata de Monção de apoio à Senadora Mara Gabrilli, pela candidatura ao Comitê sobre os Direitos das Pessoas com Deficiência da ONU (CRPD), nos termos do art. 222 do Regimento Interno do Senado Federal.",Não,2024,RQS
5899,162771,Requer a oitiva da Comissão de Assuntos Econômicos sobre o Projeto de Lei nº 528/2020.,Sim,2024,RQS
5899,164470,"Dispõe sobre a utilização dos recursos das emendas parlamentares individuais do tipo transferências especiais, previstas no art. 166-A da Constituição Federal, e dá outras providências.",Sim,2024,PL
