codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
5748,135118,"Modifica o art. 37 da Constituição Federal, para suspender o transcurso do prazo de validade de concurso público na hipótese de o Poder Público suspender as nomeações por falta de recursos financeiros.",Não,2019,PEC
5748,141075,"Realização de sessão de debates temáticos, no dia 18/03/2020, destinada a debater respostas emergenciais, econômicas e sanitárias, à crise mundial desencadeada pelo coronavírus.",Não,2020,RQS
5748,140520,"Urgência para o PL nº 23, de 2020.",Não,2020,RQS
5748,140172,Urgência para o PL 6389/2019 (Substitutivo-CD).,Não,2019,RQS
5748,140227,"Urgência para o PL nº 4489, de 2019.",Não,2019,RQS
5748,139519,"Urgência para os seguintes projetos: PRS 51/2019, PRS 34/2018, PRS 39/2019, PRS 44/2019, PRS 55/2019, PRS 64/2019, PRS 4/2019, PRS 17/2019, PRS 6/2019 e PRS 23/2018.",Não,2019,RQS
5748,139001,"Urgência para o PLC nº 145, de 2015.",Não,2019,RQS
5748,138505,"Urgência para o Projeto de Resolução nº 75, de 2019.",Não,2019,RQS
5748,138493,Calendário especial para deliberação da PEC 98/2019.,Não,2019,RQS
5748,138506,Urgência para o PRS 9/2015.,Não,2019,RQS
5748,138389,"Urgência para o Projeto de Lei do Senado nº 769, de 2015.",Não,2019,RQS
5748,136737,Urgência para o PL 1452/2019.,Não,2019,RQS
5748,136607,Urgência para o PLS 163/2018-Complementar.,Não,2019,RQS
5748,136668,Urgência para o Projeto de Decreto Legislativo nº 219/2019.,Não,2019,RQS
5748,136897,Urgência para o PRS 48/2019.,Sim,2019,RQS
5748,136891,Retirada de urgência para o PLS 163/2018-Complementar.,Não,2019,RQS
5748,136373,Urgência para o PRS 30/2019.,Não,2019,RQS
5748,136257,Urgência para o PL 1321/2019.,Não,2019,RQS
5748,136305,Urgência para o Projeto de Lei nº 1.783/2019.,Não,2019,RQS
5748,135683,Urgência para o PLS nº 33/2016.,Não,2019,RQS
5748,135646,Urgência para o PLS 514/2015,Não,2019,RQS
5748,135667,"Realização de sessão de debates temáticos, no mês de abril, destinada a debater os problemas do sistema penitenciário brasileiro e apresentar possíveis soluções.",Sim,2019,RQS
5748,135641,Urgência para o PLS 282/2016,Sim,2019,RQS
5748,135682,Tramitação conjunta do PLS nº 33/2016 com o PLC nº 12/2018.,Não,2019,RQS
5748,135457,Urgência para o PDL 3/2019.,Não,2019,RQS
5748,143523,Adição de assinatura ao RQS nº 1454/2020.,Sim,2020,RQS
5748,143490,"Realização de sessão de debates temáticos, em data oportuna, a fim de debater sobre os desafios econômicos, sociais e ambientais do Brasil para o período pós-pandemia.",Não,2020,RQS
5748,162048,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, para elevar as penas dos crimes que envolvam a subtração de fios, cabos ou equipamentos utilizados para o serviço de energia ou de telecomunicações e conferir prioridade de tramitação dos processos que apurem tais crimes.",Sim,2024,PL
5748,163096,"Requer a realização de audiência pública, com o objetivo de instruir o PL 528/2020, com a presença de representantes das seguintes instituições: ABREMA - Associação Brasileira de Resíduos e Meio Ambiente; IATA - Associação Internacional do Transporte Aéreo; ATGAS - Associação de Empresas de Transporte de Gás Natural por Gasoduto; BrasilCom - Federação Nacional das Distribuidoras de Combustíveis, Gás Natural e Biocombustíveis; ANP - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis; e ABICOM - Associação Brasileira dos Importadores de Combustíveis.",Sim,2024,REQ
5748,162817,"Requer a realização de audiência pública, com o objetivo de instruir o PL 528/2020 que trata do ""Combustíveis do Futuro"", com enfoque nas disposições relativas ao biogás.",Sim,2024,REQ
