codigoParlamentar,CodigoMateria,Ementa,IndicadorAutorPrincipal,AnoMateria,AutoriasSigla
3806,135192,"Requer, nos termos do art. 58, § 3º, da Constituição Federal e dos arts. 74, III, e 145 do Regimento Interno do Senado Federal, a constituição de uma Comissão Parlamentar de Inquérito composta de 11 (onze) membros titulares e 7 (sete) membros suplentes, para, no prazo de 180 (cento e oitenta) dias, com limite de despesas de R$ 110.000,00 (cento e dez mil reais), apurar as causas do rompimento da barragem na Mina Córrego do Feijão, da empresa de mineração Vale, em Brumadinho; tendo como objetivo identificar os responsáveis, quais foram as falhas dos órgãos competentes, os autores dos laudos técnicos e adoção das providências cabíveis para evitar novos acidentes.",Não,2019,RQS
3806,147199,Urgência para o PL nº 5638/2020.,Não,2021,RQS
3806,147198,Adição de assinatura ao RQS nº 794/2021.,Sim,2021,RQS
3806,145811,"Destaque para votação em separado da Emenda nº 1 - PLEN, apresentada ao PL nº 5231/2020.",Sim,2020,RQS
3806,145594,"Urgência para o PLP nº 266, de 2020.",Não,2020,RQS
3806,143050,Adição de assinatura ao RQS nº 1308/2020.,Sim,2020,RQS
3806,143265,"Realização de sessão de debates temáticos, em data oportuna, a fim de debater a Harmonia e Independência entre os Poderes da República Federativa do Brasil.",Não,2020,RQS
3806,143049,Adição de assinatura ao RQS nº 1207/2020.,Sim,2020,RQS
3806,143114,"Realização de sessão de debates temáticos, em data a ser agendada, a fim de discutir o Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe).",Não,2020,RQS
3806,143146,Adição de assinatura ao RQS nº 1206/2020.,Sim,2020,RQS
3806,142170,Urgência para o PLP nº 133/2020.,Não,2020,RQS
3806,140207,"Calendário especial para a Proposta de Emenda à Constituição nº 48, de 2019.",Não,2019,RQS
3806,139629,Urgência para o PL 1615/2019.,Não,2019,RQS
3806,139291,"Calendário especial para a Proposta de Emenda à Constituição nº 95, de 2019.",Não,2019,RQS
3806,139287,Urgência para o PDL 28/2019.,Não,2019,RQS
3806,136668,Urgência para o Projeto de Decreto Legislativo nº 219/2019.,Não,2019,RQS
3806,137071,"Calendário Especial para a PEC nº 51, de 2019.",Não,2019,RQS
3806,162762,Requer licença para missão política,Sim,2024,REQ
3806,164459,Requer a retirada definitiva do Requerimento nº 72/2023.,Sim,2024,RQS
3806,164458,Requer a retirada definitiva do Requerimento nº 82/2023.,Sim,2024,RQS
3806,164457,Requer a retirada definitiva do Requerimento nº 125/2024.,Sim,2024,RQS
3806,162934,Requer a oitiva da Comissão de Agricultura e Reforma Agrária sobre o Projeto de Lei nº 166/2024.,Sim,2024,RQS
3806,164167,"Requer voto de aplauso ao Pastor Valdemar Nascimento Oliveira, pelos 45 anos de ministério frente à Igreja Evangélica Assembleia de Deus, em Altamira no Estado do Pará.",Sim,2024,RQS
3806,164705,Requer licença para missão política,Sim,2024,REQ
3806,163364,Solicita que a Emenda 21-U ao PLP 233/2023 seja apreciada em Plenário.,Não,2024,R.S
3806,164126,Requer licença para missão política,Sim,2024,REQ
3806,162894,"Requer, nos termos do art. 90, inciso XIII, e art. 142 do Regimento Interno do Senado Federal, a realização de diligência externa em Breves/PA, no mês de maio de 2024, com o objetivo de apurar os casos denunciados de crimes sexuais cometidos contra crianças e adolescentes na ilha de Marajó",Sim,2024,REQ
3806,164616,"Recorre da decisão do Presidente sobre a tramitação conjunta dos Projetos de Lei nºs 1.013 e 2.144, de 2023, e 2.165, de 2024.",Sim,2024,R.S
3806,164463,"Torna impositiva a execução das emendas apresentadas pelas comissões permanentes da Câmara dos Deputados, do Senado Federal e do Congresso Nacional.",Sim,2024,PEC
3806,163951,"Requer licença para desempenhar missão política ou cultural de interesse parlamentar, nos termos dos arts. 13 e 215, I, “b”, do Regimento Interno do Senado Federal.",Sim,2024,REQ
3806,162615,"Requer que seja incluído o o nome de Eduardo Nery, Diretor-Geral da Agência Nacional de Transportes Aquaviários (Antaq), na audiência pública objeto do REQ 4/2024 - CI, com o objetivo de debater a necessidade de melhoria na prestação de serviços portuários pelas companhias de docas da Região Amazônica.",Sim,2024,REQ
3806,162883,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater a relação entre o desempenho econômico do país e o resultado divulgado do Índice de Desenvolvimento Humano (IDH), de modo a analisar as áreas que influenciam o indicador.",Sim,2024,REQ
3806,162370,Requer voto de pesar pelo falecimento do Sr. Benedito Mutran Filho e do Sr. Márcio Mutran do Nascimento.,Sim,2024,RQS
3806,162156,"Requer, nos termos do art. 58, § 2º, II, da Constituição Federal, e do art. 93, II, do Regimento Interno do Senado Federal, a realização de audiência pública, com o objetivo de debater a necessidade de melhoria na Prestação de Serviços Portuários pelas Companhias de Docas, da Região Amazônica, CDP - Pará, Amapá, Amazonas e Rondônia.",Sim,2024,REQ
3806,162681,Requer a inclusão em Ordem do Dia do PL 2099/2023.,Não,2024,RQS
3806,164700,"Requer voto de aplauso à Igreja Universal do Reino de Deus (IURD), pelos seus 47 anos de existência.",Sim,2024,RQS
3806,162507,Requer Licença para Missão Política em Brasília,Sim,2024,REQ
3806,162437,Requer a retirada definitiva do Projeto de Lei nº 9/2021.,Sim,2024,RQS
