codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5982,2059,GPONU,Grupo Parlamentar Brasil - ONU,CN,Titular
5982,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5982,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5982,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5982,2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,SF,Suplente
5982,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5982,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5982,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5982,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
5982,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5982,2441,CPIPANDEMIA,CPI da Pandemia,SF,Suplente
5982,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5982,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5982,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5982,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5982,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5982,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5982,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5982,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5982,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5982,47,CE,Comissão de Educação e Cultura,SF,Suplente
5982,47,CE,Comissão de Educação e Cultura,SF,Suplente
5982,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5982,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5982,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5982,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5982,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5982,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5982,2668,CTERS,Comissão Temporária Externa para acompanhar as atividades relativas ao enfrentamento da calamidade que atingiu o Rio Grande do Sul,SF,Titular
5982,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5982,2624,CASRARAS,Subcomissão Permanente de Direitos das Pessoas com Doenças Raras,SF,Titular
5982,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5982,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5982,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5982,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5982,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5982,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
5982,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Titular
5982,2617,CDD,Comissão de Defesa da Democracia,SF,Titular
5982,2429,CSP,Comissão de Segurança Pública,SF,Titular
5982,2429,CSP,Comissão de Segurança Pública,SF,Titular
5982,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5982,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5982,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5982,47,CE,Comissão de Educação e Cultura,SF,Titular
5982,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5982,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5982,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5982,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5982,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5982,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5982,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
5982,2479,FPOPC,Frente Parlamentar Observatório da Pandemia Covid-19,CN,Titular
5982,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5982,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5982,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5982,2478,FPSCT,Frente Parlamentar pela Segurança de Crianças e Adolescentes no Trânsito,CN,Titular
5982,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5982,2266,FPTGP,Frente Parlamentar para a Transparência dos Gastos Públicos,CN,Titular
5982,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5982,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5982,1702,CAEM,Comitê de Admissibilidade de Emendas,CN,Titular
5982,1702,CAEM,Comitê de Admissibilidade de Emendas,CN,Titular
5982,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
5982,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
5982,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
5982,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
