codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6358,2657,GPLÍBANO,Grupo Parlamentar Brasil - Líbano,CN,Titular
6358,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
6358,2641,CTI200CONFEQ,Comissão Temporária Interna em Comemoração aos 200 anos da Confederação do Equador,SF,Suplente
6358,2429,CSP,Comissão de Segurança Pública,SF,Suplente
6358,50,CMA,Comissão de Meio Ambiente,SF,Suplente
6358,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
6358,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
6358,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
6358,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
6358,2617,CDD,Comissão de Defesa da Democracia,SF,Titular
6358,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
6358,40,CAS,Comissão de Assuntos Sociais,SF,Titular
6358,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
6358,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
6358,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
6358,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
6358,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
6358,1702,CAEM,Comitê de Admissibilidade de Emendas,CN,Titular
