codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5967,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5967,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5967,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5967,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5967,2255,CAEALGCP,Subcomissão Temporária para Análise da Legislação sobre a Gestão das Cadeias Produtivas,SF,Suplente
5967,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5967,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5967,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
5967,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5967,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5967,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5967,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Suplente
5967,2441,CPIPANDEMIA,CPI da Pandemia,SF,Suplente
5967,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5967,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5967,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5967,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5967,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5967,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5967,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5967,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5967,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5967,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5967,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5967,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5967,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5967,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5967,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5967,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5967,2540,CTEFBOAT,"Comissão Temporária Externa para  verificar, ""in loco"", a situação da travessia de Ferry Boat, no Estado do Maranhão",SF,Titular
5967,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Titular
5967,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Titular
5967,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
5967,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5967,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5967,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5967,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5967,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5967,2294,CTRCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF) - 2019,SF,Titular
5967,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
5967,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Titular
5967,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5967,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5967,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5967,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5967,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5967,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5967,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5967,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5967,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5967,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5967,47,CE,Comissão de Educação e Cultura,SF,Titular
5967,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5967,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5967,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5967,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5967,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5967,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5967,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5967,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5967,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
5967,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5967,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5967,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5967,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5967,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5967,1722,COI,Comitê de Avaliação das Inform. sobre Obras e Serviços com Indícios de Irregularidades Graves,CN,Titular
5967,1722,COI,Comitê de Avaliação das Inform. sobre Obras e Serviços com Indícios de Irregularidades Graves,CN,Titular
5967,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5967,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
5967,2605,GPUCRANIA,Grupo Parlamentar Brasil - Ucrânia,CN,Titular
5967,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
5967,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
5967,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
5967,2317,GPFRANCA,Grupo Parlamentar Brasil - França,CN,Titular
5967,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
5967,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
5967,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
