codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6009,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
6009,2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,SF,Suplente
6009,2621,CREDC,Subcomissão Permanente de Defesa Cibernética,SF,Suplente
6009,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
6009,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
6009,2429,CSP,Comissão de Segurança Pública,SF,Suplente
6009,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6009,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6009,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6009,2668,CTERS,Comissão Temporária Externa para acompanhar as atividades relativas ao enfrentamento da calamidade que atingiu o Rio Grande do Sul,SF,Titular
6009,2584,CTEYANOMAMI,Comissão Temporária Externa para acompanhar a situação dos Yanomami e a saída dos garimpeiros,SF,Titular
6009,2590,CEENSINO,Subcomissão Temporária para debater e avaliar o Ensino Médio no Brasil,SF,Titular
6009,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
6009,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
6009,2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,SF,Titular
6009,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
6009,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
6009,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
6009,47,CE,Comissão de Educação e Cultura,SF,Titular
6009,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
6009,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
6009,2627,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,Titular
6009,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
6009,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
6009,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
6009,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
6009,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
6009,2666,GPJAPÃO,Grupo Parlamentar Brasil - Japão,CN,Titular
6009,2657,GPLÍBANO,Grupo Parlamentar Brasil - Líbano,CN,Titular
6009,2519,GPINDIA,Grupo Parlamentar Brasil - Índia,CN,Titular
6009,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
6009,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
6009,2437,GPBOLIVIA,Grupo Parlamentar Brasil - Bolívia,CN,Titular
6009,2317,GPFRANCA,Grupo Parlamentar Brasil - França,CN,Titular
6009,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
6009,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
