codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5936,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
5936,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5936,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
5936,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Suplente
5936,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5936,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5936,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5936,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5936,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5936,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5936,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5936,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5936,47,CE,Comissão de Educação e Cultura,SF,Suplente
5936,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5936,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5936,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5936,2506,CTEPETR,"Comissão Temporária Externa destinada a acompanhar ""in loco"" a situação do Município de Petrópolis-RJ",SF,Titular
5936,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Titular
5936,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
5936,2617,CDD,Comissão de Defesa da Democracia,SF,Titular
5936,2615,CEsp,Comissão de Esporte,SF,Titular
5936,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5936,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5936,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5936,47,CE,Comissão de Educação e Cultura,SF,Titular
5936,47,CE,Comissão de Educação e Cultura,SF,Titular
5936,47,CE,Comissão de Educação e Cultura,SF,Titular
5936,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5936,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5936,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5936,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5936,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5936,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5936,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5936,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
5936,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5936,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5936,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5936,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
5936,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
5936,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5936,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5936,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5936,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
