codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
470,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
470,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
470,2621,CREDC,Subcomissão Permanente de Defesa Cibernética,SF,Suplente
470,2293,CRESTL,Subcomissão Temporária sobre o favorecimento à Leros,SF,Suplente
470,2259,CDRUBM,Subcomissão Temporária Usina de Belo Monte,SF,Suplente
470,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Suplente
470,687,SEGPUB,CMESP - Segurança Pública - 2002,CN,Suplente
470,687,SEGPUB,CMESP - Segurança Pública - 2002,CN,Suplente
470,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
470,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
470,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
470,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
470,50,CMA,Comissão de Meio Ambiente,SF,Suplente
470,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
470,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
470,47,CE,Comissão de Educação e Cultura,SF,Suplente
470,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
470,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
470,2584,CTEYANOMAMI,Comissão Temporária Externa para acompanhar a situação dos Yanomami e a saída dos garimpeiros,SF,Titular
470,2539,CTENORTE,"Comissão Temporária Externa para investigar, ""in loco"", as causas do aumento da criminalidade e de atentados na região Norte.",SF,Titular
470,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
470,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
470,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
470,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
470,2260,CTEMINAÇU,Comissão Temporária Externa  para conhecer a realidade de Minaçu,SF,Titular
470,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
470,2251,CRESTV,Subcomissão Temporária sobre a Venezuela,SF,Titular
470,2257,CRAFUND,Subcomissão Temporária sobre a Regularização Fundiária,SF,Titular
470,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
470,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
470,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
470,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
470,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Titular
470,2597,CPIONGS,CPI DAS ONGS,SF,Titular
470,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
470,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
470,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
470,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
470,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
470,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
470,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
470,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
470,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
470,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
470,2619,FPCULTURA,Frente Parlamentar da Cultura,CN,Titular
470,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
470,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
470,2635,FPEMBRAPA,Frente Parlamentar Mista pelo Fortalecimento da Empresa Brasileira de Pesquisa Agropecuária (Embrapa),CN,Titular
470,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
470,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
470,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
470,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
470,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
470,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
470,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
470,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
470,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
470,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
