codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5973,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
5973,2684,CEEJA,Subcomissão Permanente para acompanhar as políticas de Educação de Jovens e Adultos,SF,Suplente
5973,2255,CAEALGCP,Subcomissão Temporária para Análise da Legislação sobre a Gestão das Cadeias Produtivas,SF,Suplente
5973,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5973,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5973,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
5973,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5973,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5973,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5973,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5973,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5973,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5973,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5973,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5973,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5973,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5973,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5973,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5973,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5973,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5973,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5973,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5973,2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,SF,Titular
5973,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5973,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
5973,2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,SF,Titular
5973,2253,CEPREV,"Comissão Especial destinada a acompanhar a PEC 6, de 2019",SF,Titular
5973,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
5973,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Titular
5973,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
5973,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5973,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5973,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5973,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5973,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5973,47,CE,Comissão de Educação e Cultura,SF,Titular
5973,47,CE,Comissão de Educação e Cultura,SF,Titular
5973,47,CE,Comissão de Educação e Cultura,SF,Titular
5973,47,CE,Comissão de Educação e Cultura,SF,Titular
5973,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5973,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5973,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5973,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5973,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
5973,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5973,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5973,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5973,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5973,1702,CAEM,Comitê de Admissibilidade de Emendas,CN,Titular
5973,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
