codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
739,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
739,1587,CTS,CT- Destinada a propor soluções ao Financiamento do Sistema de Saúde do Brasil,SF,Suplente
739,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
739,1583,CTERIOSFR,Comissão Externa para acompanhar os Programas de Transposição e Revitalização do Rio São Francisco,SF,Suplente
739,1562,CAEAPF,Subcomissão Temporária de Avaliação da Política Fiscal,SF,Suplente
739,1584,CISPEL,Subcomissão Permanente para o acompanhamento das atividades da Eletrobrás Distribuição,SF,Suplente
739,1563,CAEMPEEI,Subcomissão Permanente das Micro e Pequenas Empresas e do Empreendedor Individual,SF,Suplente
739,1557,CDRDN,Subcomissão Permanente do Desenvolvimento do Nordeste,SF,Suplente
739,1674,CIPOSECA,Subcomissão Permanente sobre Obras de Preparação para a Seca,SF,Suplente
739,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
739,2398,CT-5G,Comissão Temporária Interna sobre a implantação da tecnologia 5G no Brasil.,SF,Suplente
739,2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,SF,Suplente
739,2034,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Suplente
739,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
739,2441,CPIPANDEMIA,CPI da Pandemia,SF,Suplente
739,2441,CPIPANDEMIA,CPI da Pandemia,SF,Suplente
739,1928,CPIDFDQ,CPI do Futebol - 2015,SF,Suplente
739,1901,CPIHSBC,CPI do HSBC - 2015,SF,Suplente
739,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
739,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
739,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
739,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
739,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
739,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
739,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
739,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
739,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
739,50,CMA,Comissão de Meio Ambiente,SF,Suplente
739,50,CMA,Comissão de Meio Ambiente,SF,Suplente
739,50,CMA,Comissão de Meio Ambiente,SF,Suplente
739,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
739,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
739,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
739,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
739,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
739,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
739,47,CE,Comissão de Educação e Cultura,SF,Suplente
739,47,CE,Comissão de Educação e Cultura,SF,Suplente
739,47,CE,Comissão de Educação e Cultura,SF,Suplente
739,47,CE,Comissão de Educação e Cultura,SF,Suplente
739,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
739,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
