codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6337,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
6337,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
6337,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Suplente
6337,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Suplente
6337,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
6337,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
6337,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
6337,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
6337,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
6337,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
6337,2615,CEsp,Comissão de Esporte,SF,Titular
6337,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
6337,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
6337,50,CMA,Comissão de Meio Ambiente,SF,Titular
6337,50,CMA,Comissão de Meio Ambiente,SF,Titular
6337,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
6337,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
6337,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
6337,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
6337,2583,FPE,Frente Parlamentar Evangélica,CN,Titular
6337,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
6337,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
6337,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
6337,2437,GPBOLIVIA,Grupo Parlamentar Brasil - Bolívia,CN,Titular
