codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6335,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
6335,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
6335,2591,CMABIOPAN,Subcomissão Permanente do Bioma Pantanal.,SF,Suplente
6335,2637,CMAATIVOS,Subcomissão Temporária para discutir e analisar o Mercado de Ativos Ambientais Brasileiros,SF,Suplente
6335,2597,CPIONGS,CPI DAS ONGS,SF,Suplente
6335,2429,CSP,Comissão de Segurança Pública,SF,Suplente
6335,2429,CSP,Comissão de Segurança Pública,SF,Suplente
6335,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
6335,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
6335,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6335,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6335,2624,CASRARAS,Subcomissão Permanente de Direitos das Pessoas com Doenças Raras,SF,Titular
6335,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
6335,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
6335,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
6335,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
6335,50,CMA,Comissão de Meio Ambiente,SF,Titular
6335,47,CE,Comissão de Educação e Cultura,SF,Titular
6335,47,CE,Comissão de Educação e Cultura,SF,Titular
6335,40,CAS,Comissão de Assuntos Sociais,SF,Titular
6335,40,CAS,Comissão de Assuntos Sociais,SF,Titular
6335,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
6335,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
6335,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
6335,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
6335,2627,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,Titular
6335,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
6335,2583,FPE,Frente Parlamentar Evangélica,CN,Titular
6335,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
6335,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
6335,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
6335,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
6335,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
6335,2666,GPJAPÃO,Grupo Parlamentar Brasil - Japão,CN,Titular
6335,2605,GPUCRANIA,Grupo Parlamentar Brasil - Ucrânia,CN,Titular
6335,2553,GPBAHREIN,Grupo Parlamentar Brasil - Bahrein,CN,Titular
6335,2519,GPINDIA,Grupo Parlamentar Brasil - Índia,CN,Titular
6335,2481,GPSUIÇA,Grupo Parlamentar Brasil-Confederação Suíça,CN,Titular
6335,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
6335,2400,GPOTCAM,Grupo Parlamentar da Organização do Tratado de Cooperação Amazônica,CN,Titular
6335,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
6335,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
6335,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
6335,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
6335,2053,GPGUIANA,Grupo Parlamentar Brasil - Guiana,CN,Titular
