codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5998,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5998,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Suplente
5998,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5998,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5998,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Suplente
5998,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5998,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5998,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5998,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5998,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5998,47,CE,Comissão de Educação e Cultura,SF,Suplente
5998,47,CE,Comissão de Educação e Cultura,SF,Suplente
5998,47,CE,Comissão de Educação e Cultura,SF,Suplente
5998,47,CE,Comissão de Educação e Cultura,SF,Suplente
5998,47,CE,Comissão de Educação e Cultura,SF,Suplente
5998,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5998,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5998,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5998,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5998,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5998,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5998,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5998,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5998,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5998,2305,CTEOLEO,Comissão Temporária Externa para acompanhar as ações de enfrentamento às manchas de óleo no litoral brasileiro.,SF,Titular
5998,1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,SF,Titular
5998,2260,CTEMINAÇU,Comissão Temporária Externa  para conhecer a realidade de Minaçu,SF,Titular
5998,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5998,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5998,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5998,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5998,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5998,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5998,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
5998,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
5998,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Titular
5998,2398,CT-5G,Comissão Temporária Interna sobre a implantação da tecnologia 5G no Brasil.,SF,Titular
5998,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Titular
5998,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
5998,2429,CSP,Comissão de Segurança Pública,SF,Titular
5998,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5998,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5998,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
5998,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5998,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5998,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5998,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5998,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5998,47,CE,Comissão de Educação e Cultura,SF,Titular
5998,47,CE,Comissão de Educação e Cultura,SF,Titular
5998,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5998,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5998,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5998,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5998,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
