codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
3830,1669,RELSETCMO,Relatores Setoriais do Projeto de Lei Orçamentária,CN,Titular
3830,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3830,1214,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3830,1214,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3830,1214,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3830,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Suplente
3830,2110,CPMI - JBS,Comissão Parlamentar Mista de Inquérito da JBS - 2017,CN,Suplente
3830,2109,CPIBNDES,CPI do BNDES - 2017,SF,Suplente
3830,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
3830,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
3830,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
3830,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
3830,50,CMA,Comissão de Meio Ambiente,SF,Suplente
3830,50,CMA,Comissão de Meio Ambiente,SF,Suplente
3830,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
3830,47,CE,Comissão de Educação e Cultura,SF,Suplente
3830,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
3830,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
3830,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
3830,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3830,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3830,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
3830,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
3830,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
3830,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
3830,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
3830,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
3830,2147,CCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF),SF,Titular
3830,2260,CTEMINAÇU,Comissão Temporária Externa  para conhecer a realidade de Minaçu,SF,Titular
3830,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
3830,1903,CDHJT,Subcomissão Permanente de Justiça de Transição,SF,Titular
3830,2151,CRESTFMA,Subcomissão Temporária Fórum Mundial da Água,SF,Titular
3830,2151,CRESTFMA,Subcomissão Temporária Fórum Mundial da Água,SF,Titular
3830,1908,CMO17,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2017",CN,Titular
3830,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
3830,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
3830,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
3830,2109,CPIBNDES,CPI do BNDES - 2017,SF,Titular
3830,1928,CPIDFDQ,CPI do Futebol - 2015,SF,Titular
3830,1921,CPICARF,CPI do CARF - 2015,SF,Titular
3830,1901,CPIHSBC,CPI do HSBC - 2015,SF,Titular
3830,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
3830,1716,CSF,Comissão Senado do Futuro,SF,Titular
3830,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
3830,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
3830,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
3830,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
3830,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
3830,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
3830,50,CMA,Comissão de Meio Ambiente,SF,Titular
3830,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
3830,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
3830,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
3830,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
3830,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
3830,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
3830,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
3830,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
3830,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
3830,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
3830,2306,GPPANAMÁ,Grupo Parlamentar Brasil - Panamá,CN,Titular
3830,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
3830,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
3830,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
3830,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
3830,1669,RELSETCMO,Relatores Setoriais do Projeto de Lei Orçamentária,CN,Titular
