codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
4994,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
4994,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Suplente
4994,2147,CCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF),SF,Suplente
4994,1468,CMAGUA,Subcomissão Permanente da Água,SF,Suplente
4994,1534,CMABMONTE,Subcomissão Temporária para acompanhar a execução das obras da Usina de Belo Monte,SF,Suplente
4994,2168,CMO-2018,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2018",CN,Suplente
4994,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4994,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4994,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
4994,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
4994,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
4994,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
4994,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
4994,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
4994,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
4994,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4994,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4994,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4994,47,CE,Comissão de Educação e Cultura,SF,Suplente
4994,47,CE,Comissão de Educação e Cultura,SF,Suplente
4994,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4994,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4994,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4994,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4994,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
