codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5976,2059,GPONU,Grupo Parlamentar Brasil - ONU,CN,Titular
5976,2540,CTEFBOAT,"Comissão Temporária Externa para  verificar, ""in loco"", a situação da travessia de Ferry Boat, no Estado do Maranhão",SF,Suplente
5976,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Suplente
5976,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5976,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Suplente
5976,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Suplente
5976,2285,CTFCGPCC,Subcomissão Temporária sobre a Qualidade dos Gastos Públicos e Combate à Corrupção,SF,Suplente
5976,2280,CASDRAR,Subcomissão Temporária sobre Doenças Raras,SF,Suplente
5976,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5976,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5976,2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,SF,Suplente
5976,2615,CEsp,Comissão de Esporte,SF,Suplente
5976,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5976,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5976,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5976,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5976,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5976,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5976,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5976,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5976,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5976,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5976,47,CE,Comissão de Educação e Cultura,SF,Suplente
5976,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5976,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5976,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5976,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5976,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5976,2506,CTEPETR,"Comissão Temporária Externa destinada a acompanhar ""in loco"" a situação do Município de Petrópolis-RJ",SF,Titular
5976,1530,DJEM,Conselho do Diploma José Ermírio de Moraes,SF,Titular
5976,1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,SF,Titular
5976,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5976,2274,CDHSPB,Subcomissão Temporária sobre o Sistema Penitenciário Brasileiro,SF,Titular
5976,2247,CDHSTMU,Subcomissão Temporária sobre Mobilidade Urbana,SF,Titular
5976,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
5976,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
5976,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Titular
5976,2441,CPIPANDEMIA,CPI da Pandemia,SF,Titular
5976,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Titular
5976,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Titular
5976,2429,CSP,Comissão de Segurança Pública,SF,Titular
5976,2429,CSP,Comissão de Segurança Pública,SF,Titular
5976,1716,CSF,Comissão Senado do Futuro,SF,Titular
5976,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5976,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5976,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5976,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5976,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5976,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5976,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
5976,47,CE,Comissão de Educação e Cultura,SF,Titular
5976,47,CE,Comissão de Educação e Cultura,SF,Titular
5976,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5976,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5976,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5976,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5976,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5976,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5976,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5976,2619,FPCULTURA,Frente Parlamentar da Cultura,CN,Titular
5976,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
5976,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
5976,2627,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,Titular
5976,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5976,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
5976,2583,FPE,Frente Parlamentar Evangélica,CN,Titular
5976,2525,FPCONTROLE,"Frente Parlamentar pelo Controle de Armas e Munições, pela Paz e Pela Vida",CN,Titular
5976,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
5976,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
5976,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5976,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
5976,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5976,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5976,2443,FPD,Frente Parlamentar pelo Desarmamento,CN,Titular
5976,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5976,2266,FPTGP,Frente Parlamentar para a Transparência dos Gastos Públicos,CN,Titular
5976,2519,GPINDIA,Grupo Parlamentar Brasil - Índia,CN,Titular
5976,2519,GPINDIA,Grupo Parlamentar Brasil - Índia,CN,Titular
5976,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
5976,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
5976,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5976,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
5976,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
5976,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
5976,2054,GPPARAGUAI,Grupo Parlamentar Brasil - Paraguai,CN,Titular
