codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
3777,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
3777,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
3777,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
3777,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Suplente
3777,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3777,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
3777,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
3777,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
3777,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
3777,50,CMA,Comissão de Meio Ambiente,SF,Suplente
3777,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
3777,47,CE,Comissão de Educação e Cultura,SF,Suplente
3777,47,CE,Comissão de Educação e Cultura,SF,Suplente
3777,47,CE,Comissão de Educação e Cultura,SF,Suplente
3777,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
3777,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3777,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3777,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3777,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3777,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
3777,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3777,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3777,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
3777,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
3777,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Titular
3777,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
3777,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
3777,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
3777,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
3777,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
3777,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Titular
3777,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Titular
3777,2280,CASDRAR,Subcomissão Temporária sobre Doenças Raras,SF,Titular
3777,1377,CMEMC,CMESP - Mudanças Climáticas - 2007,CN,Titular
3777,1377,CMEMC,CMESP - Mudanças Climáticas - 2007,CN,Titular
3777,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
3777,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
3777,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
3777,815,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
3777,1214,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
3777,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
3777,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Titular
3777,2294,CTRCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF) - 2019,SF,Titular
3777,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
3777,2597,CPIONGS,CPI DAS ONGS,SF,Titular
3777,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Titular
3777,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
3777,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
3777,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
3777,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Titular
3777,50,CMA,Comissão de Meio Ambiente,SF,Titular
3777,50,CMA,Comissão de Meio Ambiente,SF,Titular
3777,50,CMA,Comissão de Meio Ambiente,SF,Titular
3777,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
3777,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
3777,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
3777,40,CAS,Comissão de Assuntos Sociais,SF,Titular
3777,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
3777,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
3777,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
3777,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
3777,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
3777,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
3777,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
3777,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
3777,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
3777,1722,COI,Comitê de Avaliação das Inform. sobre Obras e Serviços com Indícios de Irregularidades Graves,CN,Titular
3777,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
3777,2056,GPSINGAPURA,Grupo Parlamentar Brasil - Singapura,CN,Titular
3777,2054,GPPARAGUAI,Grupo Parlamentar Brasil - Paraguai,CN,Titular
3777,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
3777,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
3777,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
