codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5718,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
5718,2540,CTEFBOAT,"Comissão Temporária Externa para  verificar, ""in loco"", a situação da travessia de Ferry Boat, no Estado do Maranhão",SF,Suplente
5718,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
5718,2299,CMABSXXI,Subcomissão Temporária do Grande Impulso para a Sustentabilidade,SF,Suplente
5718,2259,CDRUBM,Subcomissão Temporária Usina de Belo Monte,SF,Suplente
5718,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5718,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5718,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5718,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5718,1775,CMCPLP,Comissão Mista do Congresso Nacional de Assuntos Relacionados à Comunidade dos Países de Língua Portuguesa,CN,Suplente
5718,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5718,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5718,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5718,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5718,2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,SF,Suplente
5718,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5718,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5718,2429,CSP,Comissão de Segurança Pública,SF,Suplente
5718,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5718,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5718,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5718,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5718,47,CE,Comissão de Educação e Cultura,SF,Suplente
5718,47,CE,Comissão de Educação e Cultura,SF,Suplente
5718,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5718,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5718,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5718,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5718,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5718,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5718,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5718,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5718,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5718,2584,CTEYANOMAMI,Comissão Temporária Externa para acompanhar a situação dos Yanomami e a saída dos garimpeiros,SF,Titular
5718,2539,CTENORTE,"Comissão Temporária Externa para investigar, ""in loco"", as causas do aumento da criminalidade e de atentados na região Norte.",SF,Titular
5718,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
5718,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
5718,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5718,2285,CTFCGPCC,Subcomissão Temporária sobre a Qualidade dos Gastos Públicos e Combate à Corrupção,SF,Titular
5718,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
5718,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Titular
5718,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5718,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5718,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
5718,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5718,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
