codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
22,2040,GPARGENTINA,Grupo Parlamentar Brasil - Argentina,CN,Titular
22,2386,CTEPANTANAL,Comissão Temporária Externa para acompanhar as ações de enfrentamento aos incêndios detectados no bioma Pantanal,SF,Suplente
22,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
22,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Suplente
22,1662,CMCLF,"ATN  Nº 2, de 2013 - CONSOLIDAÇÃO DA LEGISLAÇÃO FEDERAL E REGULAMENTAÇÃO DE DISPOSITIVOS DA CF.",CN,Suplente
22,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
22,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
22,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Suplente
22,529,REGCF,"CESP - Elaboração dos Projetos de Lei Reguladores do Texto Constitucional (Emen nºs: 5,a 9) - 1995",SF,Suplente
22,310,CTNO,CT - Desenvolvimento do Nordeste - 1996,SF,Suplente
22,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
22,667,TRABINF,CPMI - Trabalho Infantil - 1996,CN,Suplente
22,667,TRABINF,CPMI - Trabalho Infantil - 1996,CN,Suplente
22,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
22,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
22,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
22,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
22,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
22,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
22,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
22,50,CMA,Comissão de Meio Ambiente,SF,Suplente
22,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
22,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
22,47,CE,Comissão de Educação e Cultura,SF,Suplente
22,47,CE,Comissão de Educação e Cultura,SF,Suplente
22,47,CE,Comissão de Educação e Cultura,SF,Suplente
22,47,CE,Comissão de Educação e Cultura,SF,Suplente
22,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
22,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
22,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
22,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
22,2668,CTERS,Comissão Temporária Externa para acompanhar as atividades relativas ao enfrentamento da calamidade que atingiu o Rio Grande do Sul,SF,Titular
22,2506,CTEPETR,"Comissão Temporária Externa destinada a acompanhar ""in loco"" a situação do Município de Petrópolis-RJ",SF,Titular
22,2145,CZA,Comenda Zilda Arns,SF,Titular
22,1530,DJEM,Conselho do Diploma José Ermírio de Moraes,SF,Titular
22,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
22,406,NAZARE,CESP - Hospital  N. S. Nazaré - 1996,SF,Titular
22,2621,CREDC,Subcomissão Permanente de Defesa Cibernética,SF,Titular
22,2255,CAEALGCP,Subcomissão Temporária para Análise da Legislação sobre a Gestão das Cadeias Produtivas,SF,Titular
22,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
22,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
22,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
22,2253,CEPREV,"Comissão Especial destinada a acompanhar a PEC 6, de 2019",SF,Titular
22,591,CODCIVIL,CESP - Código Civil - 1984,SF,Titular
22,591,CODCIVIL,CESP - Código Civil - 1984,SF,Titular
22,591,CODCIVIL,CESP - Código Civil - 1984,SF,Titular
22,407,DIVINTER,CESP - Dívida Interna Pública - 1996,SF,Titular
22,315,HABITAT 2,CESP - Habitat 2 - 1996,SF,Titular
22,315,HABITAT 2,CESP - Habitat 2 - 1996,SF,Titular
22,365,CTOI,CT - Obras Inacabadas - 1995,SF,Titular
22,306,ELNIÑO,CESP - El Niño - 1997,SF,Titular
22,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
22,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Titular
22,2309,CPICHAPE,CPI sobre a situação das vítimas e familiares do acidente da Chapecoense,SF,Titular
22,647,TITULOSPUB,CPI - Títulos Públicos - 1996,SF,Titular
22,289,SISTFIN,CPI - Sistema Financeiro - 1996,SF,Titular
22,2429,CSP,Comissão de Segurança Pública,SF,Titular
22,2429,CSP,Comissão de Segurança Pública,SF,Titular
22,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
22,50,CMA,Comissão de Meio Ambiente,SF,Titular
22,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
22,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
22,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
22,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
22,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
22,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
22,47,CE,Comissão de Educação e Cultura,SF,Titular
22,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
22,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
22,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
22,2619,FPCULTURA,Frente Parlamentar da Cultura,CN,Titular
22,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
22,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
22,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
22,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
22,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
22,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
22,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
22,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
22,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
22,2266,FPTGP,Frente Parlamentar para a Transparência dos Gastos Públicos,CN,Titular
22,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
22,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
22,1702,CAEM,Comitê de Admissibilidade de Emendas,CN,Titular
22,2666,GPJAPÃO,Grupo Parlamentar Brasil - Japão,CN,Titular
22,2657,GPLÍBANO,Grupo Parlamentar Brasil - Líbano,CN,Titular
22,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
22,2605,GPUCRANIA,Grupo Parlamentar Brasil - Ucrânia,CN,Titular
22,2553,GPBAHREIN,Grupo Parlamentar Brasil - Bahrein,CN,Titular
22,2519,GPINDIA,Grupo Parlamentar Brasil - Índia,CN,Titular
22,2519,GPINDIA,Grupo Parlamentar Brasil - Índia,CN,Titular
22,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
22,2481,GPSUIÇA,Grupo Parlamentar Brasil-Confederação Suíça,CN,Titular
22,2481,GPSUIÇA,Grupo Parlamentar Brasil-Confederação Suíça,CN,Titular
22,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
22,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
22,2400,GPOTCAM,Grupo Parlamentar da Organização do Tratado de Cooperação Amazônica,CN,Titular
22,2306,GPPANAMÁ,Grupo Parlamentar Brasil - Panamá,CN,Titular
22,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
22,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
22,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
22,2242,GPPERU,Grupo Parlamentar Brasil - Peru,CN,Titular
22,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
22,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
22,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
22,2056,GPSINGAPURA,Grupo Parlamentar Brasil - Singapura,CN,Titular
22,2054,GPPARAGUAI,Grupo Parlamentar Brasil - Paraguai,CN,Titular
22,2053,GPGUIANA,Grupo Parlamentar Brasil - Guiana,CN,Titular
22,2053,GPGUIANA,Grupo Parlamentar Brasil - Guiana,CN,Titular
22,2045,GPDINAMARCA,Grupo Parlamentar Brasil - Dinamarca,CN,Titular
22,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
22,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
22,2059,GPONU,Grupo Parlamentar Brasil - ONU,CN,Titular
22,2052,GPSÉRVIA,Grupo Parlamentar Brasil - Sérvia,CN,Titular
22,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
22,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
22,2051,GPNORUEGA,Grupo Parlamentar Brasil - Noruega,CN,Titular
22,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
22,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
