codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5953,2059,GPONU,Grupo Parlamentar Brasil - ONU,CN,Titular
5953,2386,CTEPANTANAL,Comissão Temporária Externa para acompanhar as ações de enfrentamento aos incêndios detectados no bioma Pantanal,SF,Suplente
5953,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
5953,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5953,2278,CASDPI,Subcomissão Permanente de Proteção e Defesa da Pessoa Idosa,SF,Suplente
5953,2279,CASPCD,Subcomissão Permanente da Pessoa com Deficiência,SF,Suplente
5953,2280,CASDRAR,Subcomissão Temporária sobre Doenças Raras,SF,Suplente
5953,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Suplente
5953,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5953,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5953,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Suplente
5953,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
5953,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
5953,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5953,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5953,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5953,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5953,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5953,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5953,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5953,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5953,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5953,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5953,47,CE,Comissão de Educação e Cultura,SF,Suplente
5953,47,CE,Comissão de Educação e Cultura,SF,Suplente
5953,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5953,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5953,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5953,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5953,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5953,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5953,2305,CTEOLEO,Comissão Temporária Externa para acompanhar as ações de enfrentamento às manchas de óleo no litoral brasileiro.,SF,Titular
5953,2539,CTENORTE,"Comissão Temporária Externa para investigar, ""in loco"", as causas do aumento da criminalidade e de atentados na região Norte.",SF,Titular
5953,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
5953,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Titular
5953,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5953,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5953,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
5953,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Titular
5953,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Titular
5953,2617,CDD,Comissão de Defesa da Democracia,SF,Titular
5953,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
5953,2429,CSP,Comissão de Segurança Pública,SF,Titular
5953,2429,CSP,Comissão de Segurança Pública,SF,Titular
5953,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5953,50,CMA,Comissão de Meio Ambiente,SF,Titular
5953,50,CMA,Comissão de Meio Ambiente,SF,Titular
5953,50,CMA,Comissão de Meio Ambiente,SF,Titular
5953,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5953,47,CE,Comissão de Educação e Cultura,SF,Titular
5953,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5953,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5953,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5953,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5953,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
5953,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5953,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5953,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5953,2479,FPOPC,Frente Parlamentar Observatório da Pandemia Covid-19,CN,Titular
5953,2525,FPCONTROLE,"Frente Parlamentar pelo Controle de Armas e Munições, pela Paz e Pela Vida",CN,Titular
5953,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5953,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
5953,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
5953,2435,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,Titular
5953,2478,FPSCT,Frente Parlamentar pela Segurança de Crianças e Adolescentes no Trânsito,CN,Titular
5953,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5953,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
5953,2443,FPD,Frente Parlamentar pelo Desarmamento,CN,Titular
5953,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5953,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5953,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
5953,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
5953,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
5953,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
5953,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
5953,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
