codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6008,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
6008,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Suplente
6008,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
6008,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
6008,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
6008,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
6008,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
6008,2659,CPIMJAE,CPI da Manipulação de Jogos e Apostas Esportivas,SF,Suplente
6008,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6008,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6008,50,CMA,Comissão de Meio Ambiente,SF,Suplente
6008,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6008,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6008,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6008,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6008,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6008,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6008,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
6008,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
6008,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
6008,50,CMA,Comissão de Meio Ambiente,SF,Titular
6008,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
6008,40,CAS,Comissão de Assuntos Sociais,SF,Titular
6008,40,CAS,Comissão de Assuntos Sociais,SF,Titular
6008,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
6008,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
