codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6341,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
6341,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
6341,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
6341,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
6341,2597,CPIONGS,CPI DAS ONGS,SF,Suplente
6341,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
6341,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6341,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6341,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
6341,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
6341,47,CE,Comissão de Educação e Cultura,SF,Suplente
6341,47,CE,Comissão de Educação e Cultura,SF,Suplente
6341,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6341,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6341,2668,CTERS,Comissão Temporária Externa para acompanhar as atividades relativas ao enfrentamento da calamidade que atingiu o Rio Grande do Sul,SF,Titular
6341,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
6341,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Titular
6341,2429,CSP,Comissão de Segurança Pública,SF,Titular
6341,2429,CSP,Comissão de Segurança Pública,SF,Titular
6341,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
6341,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
6341,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
6341,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
6341,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
6341,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
6341,2627,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,Titular
6341,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
6341,2513,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,Titular
6341,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
6341,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
6341,2400,GPOTCAM,Grupo Parlamentar da Organização do Tratado de Cooperação Amazônica,CN,Titular
6341,2050,GPMARROCOS,Grupo Parlamentar Brasil - Marrocos,CN,Titular
6341,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
