codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5008,2040,GPARGENTINA,Grupo Parlamentar Brasil - Argentina,CN,Titular
5008,1806,CTCPC,CT - Reforma do Código de Processo Civil,SF,Suplente
5008,1607,RBPM,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5008,1607,RBPM,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5008,2272,CEEEFCB,"Subcomissão Permanente sobre Esporte, Educação Física e Formação de Categorias de Base",SF,Suplente
5008,1920,CMAOBRAS,Subcomissão Temporária de Acompanhamento e Fiscalização de Obras Inacabadas,SF,Suplente
5008,2111,CME Lei Kandir,Comissão Mista Especial sobre a Lei Kandir - 2017,CN,Suplente
5008,2168,CMO-2018,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2018",CN,Suplente
5008,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5008,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
5008,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
5008,2016,CEI2016,Comissão Especial do Impeachment  2016,SF,Suplente
5008,1950,CTPLS131,"Comissão Especial para Análise do PLS nº 131, de 2015",SF,Suplente
5008,1950,CTPLS131,"Comissão Especial para Análise do PLS nº 131, de 2015",SF,Suplente
5008,1941,CTPLS,"Comissão Especial para Análise do PLS nº 131, de 2015",SF,Suplente
5008,1547,CTRP,REFORMA POLÍTICA - 2011,SF,Suplente
5008,1813,CPMIMETRÔ,CPMI do Metrô - 2014,CN,Suplente
5008,1580,CPMIVCM,CPMI - Violência contra a Mulher - 2012,CN,Suplente
5008,2102,CPIMT,CPI dos Maus-tratos - 2017,SF,Suplente
5008,1928,CPIDFDQ,CPI do Futebol - 2015,SF,Suplente
5008,1905,CPIADJ,CPI do Assassinato de Jovens - 2015,SF,Suplente
5008,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
5008,2615,CEsp,Comissão de Esporte,SF,Suplente
5008,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
5008,1716,CSF,Comissão Senado do Futuro,SF,Suplente
5008,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5008,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5008,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5008,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5008,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5008,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5008,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
5008,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5008,50,CMA,Comissão de Meio Ambiente,SF,Suplente
5008,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5008,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5008,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5008,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5008,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5008,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
5008,47,CE,Comissão de Educação e Cultura,SF,Suplente
5008,47,CE,Comissão de Educação e Cultura,SF,Suplente
5008,47,CE,Comissão de Educação e Cultura,SF,Suplente
5008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5008,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5008,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5008,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5008,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
5008,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5008,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5008,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5008,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
5008,2584,CTEYANOMAMI,Comissão Temporária Externa para acompanhar a situação dos Yanomami e a saída dos garimpeiros,SF,Titular
5008,2305,CTEOLEO,Comissão Temporária Externa para acompanhar as ações de enfrentamento às manchas de óleo no litoral brasileiro.,SF,Titular
5008,2539,CTENORTE,"Comissão Temporária Externa para investigar, ""in loco"", as causas do aumento da criminalidade e de atentados na região Norte.",SF,Titular
