codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
5385,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
5385,2260,CTEMINAÇU,Comissão Temporária Externa  para conhecer a realidade de Minaçu,SF,Suplente
5385,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
5385,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
5385,2398,CT-5G,Comissão Temporária Interna sobre a implantação da tecnologia 5G no Brasil.,SF,Suplente
5385,2398,CT-5G,Comissão Temporária Interna sobre a implantação da tecnologia 5G no Brasil.,SF,Suplente
5385,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5385,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
5385,2292,CPMI - Fake News,Comissão Parlamentar Mista de Inquérito - Fake News,CN,Suplente
5385,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5385,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
5385,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5385,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
5385,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5385,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
5385,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
5385,47,CE,Comissão de Educação e Cultura,SF,Suplente
5385,47,CE,Comissão de Educação e Cultura,SF,Suplente
5385,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5385,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5385,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
5385,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5385,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
5385,1902,CEPSF,Conselho de Estudos Políticos,SF,Titular
5385,1546,PJS,Conselho do Projeto Jovem Senador,SF,Titular
5385,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
5385,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Titular
5385,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5385,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5385,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5385,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5385,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
5385,1611,CMO2012,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização 2012",CN,Titular
5385,1716,CSF,Comissão Senado do Futuro,SF,Titular
5385,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5385,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Titular
5385,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
5385,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
5385,47,CE,Comissão de Educação e Cultura,SF,Titular
5385,40,CAS,Comissão de Assuntos Sociais,SF,Titular
5385,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5385,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5385,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5385,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5385,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
5385,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5385,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
5385,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
5385,2269,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,Titular
5385,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
5385,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5385,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
5385,1722,COI,Comitê de Avaliação das Inform. sobre Obras e Serviços com Indícios de Irregularidades Graves,CN,Titular
5385,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5385,1701,CAR,Comitê de Avaliação da Receita,CN,Titular
5385,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
5385,2553,GPBAHREIN,Grupo Parlamentar Brasil - Bahrein,CN,Titular
5385,2433,GPEMIRADOSARABES,Grupo Parlamentar Brasil - Emirados Árabes Unidos,CN,Titular
5385,2056,GPSINGAPURA,Grupo Parlamentar Brasil - Singapura,CN,Titular
5385,2054,GPPARAGUAI,Grupo Parlamentar Brasil - Paraguai,CN,Titular
5385,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
