codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6010,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
6010,2429,CSP,Comissão de Segurança Pública,SF,Suplente
6010,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6010,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6010,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6010,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6010,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6010,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
6010,47,CE,Comissão de Educação e Cultura,SF,Suplente
6010,47,CE,Comissão de Educação e Cultura,SF,Suplente
6010,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
6010,47,CE,Comissão de Educação e Cultura,SF,Titular
6010,40,CAS,Comissão de Assuntos Sociais,SF,Titular
6010,40,CAS,Comissão de Assuntos Sociais,SF,Titular
6010,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
6010,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
6010,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
