codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
4770,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
4770,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Suplente
4770,2152,CRCN,Comissão Representativa do Congresso Nacional,CN,Suplente
4770,1645,CR,Comissão Representativa do Congresso Nacional,CN,Suplente
4770,2621,CREDC,Subcomissão Permanente de Defesa Cibernética,SF,Suplente
4770,2285,CTFCGPCC,Subcomissão Temporária sobre a Qualidade dos Gastos Públicos e Combate à Corrupção,SF,Suplente
4770,2257,CRAFUND,Subcomissão Temporária sobre a Regularização Fundiária,SF,Suplente
4770,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
4770,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4770,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4770,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4770,2629,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil,SF,Suplente
4770,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
4770,2422,CTCOVID19,Comissão Temporária COVID-19,SF,Suplente
4770,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
4770,2110,CPMI - JBS,Comissão Parlamentar Mista de Inquérito da JBS - 2017,CN,Suplente
4770,1801,CPMI-PETRO,CPMI - PETROBRAS - 2014,CN,Suplente
4770,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
4770,2429,CSP,Comissão de Segurança Pública,SF,Suplente
4770,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
4770,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
4770,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
4770,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
4770,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4770,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4770,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4770,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4770,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4770,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4770,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4770,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4770,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4770,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4770,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4770,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
4770,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
4770,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
4770,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
4770,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
4770,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
4770,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
4770,2152,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
4770,2152,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
4770,1752,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
4770,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
4770,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
4770,1859,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
4770,1684,CRCN,Comissão Representativa do Congresso Nacional,CN,Titular
4770,2465,CMABIOPANT,Subcomissão Permanente de Proteção ao Pantanal,SF,Titular
4770,2590,CEENSINO,Subcomissão Temporária para debater e avaliar o Ensino Médio no Brasil,SF,Titular
4770,2342,CN-Covid19,Comissão Mista  destinada a acompanhar a situação fiscal e a execução orçamentária e financeira das medidas relacionadas ao coronavírus (Covid-19),CN,Titular
4770,1775,CMCPLP,Comissão Mista do Congresso Nacional de Assuntos Relacionados à Comunidade dos Países de Língua Portuguesa,CN,Titular
4770,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
4770,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
4770,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
