codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
35,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
35,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
35,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Suplente
35,1313,CAEAM,Subcomissão Permanente - Assuntos Municipais,SF,Suplente
35,288,POBREZA,CMESP -  Combate à Pobreza - 1999,CN,Suplente
35,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
35,2301,CMMIR,Comissão Mista Permanente sobre Migrações Internacionais e Refugiados,CN,Suplente
35,1908,CMO17,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização de 2017",CN,Suplente
35,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
35,590,CODTRANS,CESP - Código de Trânsito - 1994,SF,Suplente
35,310,CTNO,CT - Desenvolvimento do Nordeste - 1996,SF,Suplente
35,2441,CPIPANDEMIA,CPI da Pandemia,SF,Suplente
35,309,BANCOS,CPI - Bancos - 1999,SF,Suplente
35,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
35,50,CMA,Comissão de Meio Ambiente,SF,Suplente
35,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
35,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
35,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
35,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
35,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
35,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
35,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
35,47,CE,Comissão de Educação e Cultura,SF,Suplente
35,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
35,1940,PJRM,Conselho do Prêmio Jornalista Roberto Marinho de Mérito Jornalístico,SF,Titular
35,1902,CEPSF,Conselho de Estudos Políticos,SF,Titular
35,1932,CTREFORMA,Comissão da  Reforma Política do Senado Federal - 2015,SF,Titular
35,1760,CTRCC,Comissão Temporária para Reforma do Código Comercial (Art. 374-RISF) - 2014,SF,Titular
35,1951,CEDN,Comissão Especial do Desenvolvimento Nacional,SF,Titular
35,628,CTRPP,CT - Reforma Político-Partidária - 1995,SF,Titular
35,408,CESPAM,CESP - Amazônia Urgente - 1996,SF,Titular
35,2246,CPIBRUM,CPI de Brumadinho,SF,Titular
35,647,TITULOSPUB,CPI - Títulos Públicos - 1996,SF,Titular
35,289,SISTFIN,CPI - Sistema Financeiro - 1996,SF,Titular
35,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
35,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
35,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
35,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
35,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
35,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
35,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
35,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
35,50,CMA,Comissão de Meio Ambiente,SF,Titular
35,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
35,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
35,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
35,47,CE,Comissão de Educação e Cultura,SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
35,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
35,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
35,2666,GPJAPÃO,Grupo Parlamentar Brasil - Japão,CN,Titular
35,2657,GPLÍBANO,Grupo Parlamentar Brasil - Líbano,CN,Titular
