codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6340,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
6340,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
6340,2617,CDD,Comissão de Defesa da Democracia,SF,Suplente
6340,2429,CSP,Comissão de Segurança Pública,SF,Suplente
6340,2429,CSP,Comissão de Segurança Pública,SF,Suplente
6340,1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",SF,Suplente
6340,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6340,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
6340,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6340,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
6340,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
6340,2597,CPIONGS,CPI DAS ONGS,SF,Titular
6340,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
6340,50,CMA,Comissão de Meio Ambiente,SF,Titular
6340,47,CE,Comissão de Educação e Cultura,SF,Titular
6340,47,CE,Comissão de Educação e Cultura,SF,Titular
6340,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
6340,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
6340,2627,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,Titular
6340,2657,GPLÍBANO,Grupo Parlamentar Brasil - Líbano,CN,Titular
6340,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
6340,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
