codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6351,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
6351,2618,CEIDCERTA,Subcomissão Permanente da Alfabetização na Idade Certa,SF,Suplente
6351,2641,CTI200CONFEQ,Comissão Temporária Interna em Comemoração aos 200 anos da Confederação do Equador,SF,Suplente
6351,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Suplente
6351,2429,CSP,Comissão de Segurança Pública,SF,Suplente
6351,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
6351,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
6351,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
6351,2684,CEEJA,Subcomissão Permanente para acompanhar as políticas de Educação de Jovens e Adultos,SF,Titular
6351,2590,CEENSINO,Subcomissão Temporária para debater e avaliar o Ensino Médio no Brasil,SF,Titular
6351,47,CE,Comissão de Educação e Cultura,SF,Titular
6351,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
6351,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
6351,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
6351,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
