codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
581,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
581,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Suplente
581,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
581,2251,CRESTV,Subcomissão Temporária sobre a Venezuela,SF,Suplente
581,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
581,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
581,2429,CSP,Comissão de Segurança Pública,SF,Suplente
581,50,CMA,Comissão de Meio Ambiente,SF,Suplente
581,47,CE,Comissão de Educação e Cultura,SF,Suplente
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
581,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
581,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
581,2305,CTEOLEO,Comissão Temporária Externa para acompanhar as ações de enfrentamento às manchas de óleo no litoral brasileiro.,SF,Titular
581,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
581,2325,CRCN,Comissão Representativa do Congresso Nacional - CRCN,CN,Titular
581,2293,CRESTL,Subcomissão Temporária sobre o favorecimento à Leros,SF,Titular
581,2299,CMABSXXI,Subcomissão Temporária do Grande Impulso para a Sustentabilidade,SF,Titular
581,2334,CM-ReformaTributária,Comissão Mista Temporária da Reforma Tributária,CN,Titular
581,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
581,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
581,2608,CTIADMTR,Comissão Temporária para exame de projetos de reforma dos Processos Administrativo e Tributário Nacional,SF,Titular
581,2253,CEPREV,"Comissão Especial destinada a acompanhar a PEC 6, de 2019",SF,Titular
581,2246,CPIBRUM,CPI de Brumadinho,SF,Titular
581,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
581,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
581,50,CMA,Comissão de Meio Ambiente,SF,Titular
581,50,CMA,Comissão de Meio Ambiente,SF,Titular
581,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
581,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
581,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
581,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Titular
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
581,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
581,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
581,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
581,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
581,2525,FPCONTROLE,"Frente Parlamentar pelo Controle de Armas e Munições, pela Paz e Pela Vida",CN,Titular
581,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
581,2436,FPMA,Frente Parlamentar Mista Antirracismo,CN,Titular
581,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
581,2453,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,Titular
581,2443,FPD,Frente Parlamentar pelo Desarmamento,CN,Titular
581,2277,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,Titular
581,2610,GP-BRICS-SF,Grupo Parlamentar de Relacionamento com o BRICS,CN,Titular
581,2319,GPPARABES,Grupo Parlamentar Brasil - Países Árabes,CN,Titular
581,2400,GPOTCAM,Grupo Parlamentar da Organização do Tratado de Cooperação Amazônica,CN,Titular
581,2400,GPOTCAM,Grupo Parlamentar da Organização do Tratado de Cooperação Amazônica,CN,Titular
581,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
581,2306,GPPANAMÁ,Grupo Parlamentar Brasil - Panamá,CN,Titular
581,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
581,2043,GPCAZAQUISTÃO,Grupo Parlamentar Brasil - Cazaquistão,CN,Titular
581,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
581,2055,GPVENEZUELA,Grupo Parlamentar Brasil - Venezuela,CN,Titular
581,2053,GPGUIANA,Grupo Parlamentar Brasil - Guiana,CN,Titular
581,2053,GPGUIANA,Grupo Parlamentar Brasil - Guiana,CN,Titular
581,2044,GPCHINA,Grupo Parlamentar Brasil - China,CN,Titular
581,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
581,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
581,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
581,2042,GPAZERBAIJÃO,Grupo Parlamentar Brasil - Azerbaijão,CN,Titular
