codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
4531,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
4531,2386,CTEPANTANAL,Comissão Temporária Externa para acompanhar as ações de enfrentamento aos incêndios detectados no bioma Pantanal,SF,Suplente
4531,2456,CTECRHE,Comissão Temporária Externa para averiguar as causas e efeitos da crise hidroenergética.,SF,Suplente
4531,1582,CTERIO20,Comissão Externa para representar o Senado na Conferência da ONU - Rio+20,SF,Suplente
4531,1916,CPCMS,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
4531,1607,RBPM,Representação Brasileira no Parlamento do Mercosul,CN,Suplente
4531,1660,CAEECON,Subcomissão Permanente para tratar dos Temas Estruturais e de Longo Prazo da Economia Brasileira,SF,Suplente
4531,1674,CIPOSECA,Subcomissão Permanente sobre Obras de Preparação para a Seca,SF,Suplente
4531,1523,CMACOPOLIM,Subcomissão Permanente de Acompanhamento da Copa do Mundo de 2014 e das Olimpíadas de 2016,SF,Suplente
4531,1323,CASDEF,Subcomissão Permanente de Assuntos Sociais das Pessoas com Deficiência,SF,Suplente
4531,1636,FIPA,Comissão Mista Representativa do Congresso Nacional no Fórum Interparlamentar das Américas,CN,Suplente
4531,1636,FIPA,Comissão Mista Representativa do Congresso Nacional no Fórum Interparlamentar das Américas,CN,Suplente
4531,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4531,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4531,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
4531,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
4531,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Suplente
4531,1603,CTRCP,CT - Reforma do Código Penal Brasileiro - PLS 236/2012 (art. 374-RISF),SF,Suplente
4531,1449,CTIREGCONST,CESP - Identificar dispositivos constitucionais sujeitos à regulação - 2009,SF,Suplente
4531,2642,CPIBRASKEM,CPI DA BRASKEM,SF,Suplente
4531,1804,CPI-PETRO,CPI - PETROBRAS - 2014,SF,Suplente
4531,2615,CEsp,Comissão de Esporte,SF,Suplente
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Suplente
4531,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
4531,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Suplente
4531,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4531,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4531,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4531,50,CMA,Comissão de Meio Ambiente,SF,Suplente
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
4531,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4531,54,CRE,Comissão de Relações Exteriores e Defesa Nacional,SF,Suplente
4531,47,CE,Comissão de Educação e Cultura,SF,Suplente
4531,47,CE,Comissão de Educação e Cultura,SF,Suplente
4531,47,CE,Comissão de Educação e Cultura,SF,Suplente
4531,47,CE,Comissão de Educação e Cultura,SF,Suplente
4531,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4531,40,CAS,Comissão de Assuntos Sociais,SF,Suplente
4531,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4531,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4531,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Suplente
4531,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
4531,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
4531,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Suplente
4531,1587,CTS,CT- Destinada a propor soluções ao Financiamento do Sistema de Saúde do Brasil,SF,Titular
4531,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
4531,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
4531,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
4531,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
4531,768,COCN,Conselho da Ordem do Congresso Nacional,CN,Titular
4531,1569,CTESEGPUBLICA,CTEX -  Segurança Pública - 2011,SF,Titular
4531,1325,CASPREV,Subcomissão Permanente do Trabalho e Previdência,SF,Titular
4531,1325,CASPREV,Subcomissão Permanente do Trabalho e Previdência,SF,Titular
4531,1426,CTEINPE,CTEX - Risco Ambiental em Municípios Relacionados pelo INPE,SF,Titular
4531,2465,CMABIOPANT,Subcomissão Permanente de Proteção ao Pantanal,SF,Titular
4531,2591,CMABIOPAN,Subcomissão Permanente do Bioma Pantanal.,SF,Titular
4531,1584,CISPEL,Subcomissão Permanente para o acompanhamento das atividades da Eletrobrás Distribuição,SF,Titular
4531,1313,CAEAM,Subcomissão Permanente - Assuntos Municipais,SF,Titular
4531,1536,CRASTCO,Subcomissão Temporária - Irrigação na Região Centro-Oeste,SF,Titular
4531,1534,CMABMONTE,Subcomissão Temporária para acompanhar a execução das obras da Usina de Belo Monte,SF,Titular
4531,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
4531,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Titular
4531,1450,CMMC,Comissão Mista Permanente sobre Mudanças Climáticas,CN,Titular
4531,449,CCAI,Comissão Mista de Controle das Atividades de Inteligência,CN,Titular
4531,1834,VET 18/2014,"Veto Parcial nº 18, de 2014",CN,Titular
4531,1721,VET 37/2013,Veto nº 37 de 2013,CN,Titular
4531,1842,VET 25/2014,"Veto Total nº 25, de 2014",CN,Titular
4531,1800,VET 3/2014,"Veto Parcial nº 3, de 2014",CN,Titular
4531,1851,VET 31/2014,"Veto Total nº 31, de 2014",CN,Titular
4531,1820,VET 9/2014,"Veto Parcial nº 9, de 2014",CN,Titular
4531,1690,Vet 12/2013,Veto Parcial nº 12/2013,CN,Titular
4531,1697,VET 23/2013,Veto Parcial nº 23 de 2013,CN,Titular
4531,1801,CPMI-PETRO,CPMI - PETROBRAS - 2014,CN,Titular
4531,1589,CPMIVEGAS,CPMI - Vegas (Cachoeira) - 2012,CN,Titular
4531,1656,CPIVDHS,Violação do Direito Humano à Saúde,SF,Titular
4531,1462,CPIAM2009,CPI - Amazônia - 2009,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
4531,50,CMA,Comissão de Meio Ambiente,SF,Titular
4531,50,CMA,Comissão de Meio Ambiente,SF,Titular
4531,50,CMA,Comissão de Meio Ambiente,SF,Titular
4531,50,CMA,Comissão de Meio Ambiente,SF,Titular
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
4531,59,CI,Comissão de Serviços de Infraestrutura,SF,Titular
4531,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4531,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4531,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4531,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4531,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4531,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4531,40,CAS,Comissão de Assuntos Sociais,SF,Titular
4531,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
4531,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Titular
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
4531,38,CAE,Comissão de Assuntos Econômicos,SF,Titular
4531,834,CDH,Comissão de Direitos Humanos e Legislação Participativa,SF,Titular
4531,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
4531,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
