codigoParlamentar,CodigoComissao,SiglaComissao,NomeComissao,SiglaCasaComissao,DescricaoParticipacao
6342,2175,GPARABIASAUDITA,Grupo Parlamentar Brasil - Reino da Arábia Saudita,CN,Titular
6342,2591,CMABIOPAN,Subcomissão Permanente do Bioma Pantanal.,SF,Suplente
6342,1664,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização",CN,Suplente
6342,2606,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023,CN,Suplente
6342,2614,CCDD,Comissão de Comunicação e Direito Digital,SF,Suplente
6342,1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",SF,Suplente
6342,50,CMA,Comissão de Meio Ambiente,SF,Suplente
6342,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6342,59,CI,Comissão de Serviços de Infraestrutura,SF,Suplente
6342,34,CCJ,"Comissão de Constituição, Justiça e Cidadania",SF,Suplente
6342,445,CEDP,Conselho de Ética e Decoro Parlamentar,SF,Titular
6342,2637,CMAATIVOS,Subcomissão Temporária para discutir e analisar o Mercado de Ativos Ambientais Brasileiros,SF,Titular
6342,1774,CMCVM,Comissão Permanente Mista de Combate à Violência contra a Mulher,CN,Titular
6342,2429,CSP,Comissão de Segurança Pública,SF,Titular
6342,1307,CRA,Comissão de Agricultura e Reforma Agrária,SF,Titular
6342,1306,CDR,Comissão de Desenvolvimento Regional e Turismo,SF,Titular
6342,2619,FPCULTURA,Frente Parlamentar da Cultura,CN,Titular
6342,2594,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,Titular
6342,2628,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,Titular
6342,2635,FPEMBRAPA,Frente Parlamentar Mista pelo Fortalecimento da Empresa Brasileira de Pesquisa Agropecuária (Embrapa),CN,Titular
6342,2627,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,Titular
6342,2452,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,Titular
6342,2583,FPE,Frente Parlamentar Evangélica,CN,Titular
6342,2523,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,Titular
6342,2270,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,Titular
6342,2666,GPJAPÃO,Grupo Parlamentar Brasil - Japão,CN,Titular
6342,2657,GPLÍBANO,Grupo Parlamentar Brasil - Líbano,CN,Titular
6342,2553,GPBAHREIN,Grupo Parlamentar Brasil - Bahrein,CN,Titular
6342,2316,GPEUA,Grupo Parlamentar Brasil - Estados Unidos da América,CN,Titular
6342,2307,GPISRAEL,Grupo Parlamentar Brasil - Israel,CN,Titular
6342,2115,GPRCOREIA,Grupo Parlamentar Brasil - República da Coreia,CN,Titular
